Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/08/18 00:05:18,301,  3.311,  0.175,  8.500,
    25,07/08/18 00:05:58,301,  3.273,  0.169,  8.750,
    31,07/08/18 00:06:37,301,  3.255,  0.172,  9.250,
    37,07/08/18 00:07:16,301,  3.288,  0.146,  8.750,
    43,07/08/18 00:07:55,301,  3.245,  0.165,  9.250,
    49,07/08/18 00:10:13,301,  3.301,  0.142,  8.750,
    55,07/08/18 00:10:53,301,  3.284,  0.154,  7.250,
    61,07/08/18 00:11:32,301,  3.298,  0.163,  6.500,
    67,07/08/18 00:12:11,301,  3.241,  0.203,  6.250,
    73,07/08/18 00:12:50,301,  3.259,  0.177,  6.250,
    79,07/08/18 00:15:08,301,  3.288,  0.165,  7.000,
    85,07/08/18 00:15:47,301,  3.294,  0.157,  7.500,
    91,07/08/18 00:16:26,301,  3.318,  0.145,  7.500,
    97,07/08/18 00:17:06,301,  3.262,  0.190,  7.000,
   103,07/08/18 00:17:45,301,  3.324,  0.157,  6.250,
   109,07/08/18 00:20:02,301,  3.326,  0.175,  4.750,
   115,07/08/18 00:20:41,301,  3.305,  0.201,  4.500,
   121,07/08/18 00:21:20,301,  3.342,  0.170,  4.750,
   127,07/08/18 00:21:59,301,  3.366,  0.149,  5.000,
   133,07/08/18 00:22:38,301,  3.294,  0.200,  5.000,
   139,07/08/18 00:24:57,301,  3.359,  0.154,  3.500,
   145,07/08/18 00:25:36,301,  3.305,  0.183,  3.500,
   151,07/08/18 00:26:16,301,  3.340,  0.184,  3.000,
   157,07/08/18 00:26:55,301,  3.333,  0.192,  3.000,
   163,07/08/18 00:27:34,301,  3.371,  0.163,  3.250,
   169,07/08/18 00:29:51,301,  3.335,  0.202,  3.500,
   175,07/08/18 00:30:31,301,  3.391,  0.174,  3.250,
   181,07/08/18 00:31:10,301,  3.313,  0.220,  3.250,
   187,07/08/18 00:31:49,301,  3.325,  0.165,  3.250,
   193,07/08/18 00:32:28,301,  3.302,  0.197,  3.250,
   199,07/08/18 00:34:46,301,  3.299,  0.224,  3.250,
   205,07/08/18 00:35:25,301,  3.332,  0.199,  3.250,
   211,07/08/18 00:36:05,301,  3.299,  0.207,  3.500,
   217,07/08/18 00:36:45,301,  3.285,  0.203,  4.250,
   223,07/08/18 00:37:25,301,  3.334,  0.163,  7.500,
   229,07/08/18 00:39:42,301,  3.289,  0.213,  3.750,
   235,07/08/18 00:40:22,301,  3.277,  0.226,  4.250,
   241,07/08/18 00:41:01,301,  3.356,  0.174,  4.750,
   247,07/08/18 00:41:40,301,  3.328,  0.182,  4.750,
   253,07/08/18 00:42:20,301,  3.300,  0.195,  3.750,
   259,07/08/18 00:44:38,301,  3.324,  0.187,  4.750,
   265,07/08/18 00:45:16,301,  3.319,  0.178,  5.000,
   271,07/08/18 00:45:56,301,  3.306,  0.182,  5.500,
   277,07/08/18 00:46:35,301,  3.296,  0.193,  3.750,
   283,07/08/18 00:47:14,301,  3.332,  0.192,  3.500,
   289,07/08/18 00:49:31,301,  3.323,  0.193,  4.250,
