HGT,time,P,Pm,Pc,Temp,PotTemp,PEPT,Dewp,VirT,RH,SatVapP,VapP,SpHum,MixR,Den,RI,MRI,Speed,Dir,Ecomp,Ncomp,Lon,Lat,Alt,MSL,GPSALT,GPSMSL,Geop,AscRate,Azimuth,Elev,Range
m,sec,hPa,hPa,hPa,degC,degC,degC,degC,degC,%,hPa,hPa,g/kg,g/kg,g/m3,none,none,m/s,deg,m/s,m/s,deg,deg,m,m,m,m,gpm,m/s,deg,deg,m
0,0.00000,992.20000,992.20000,nan,27.20000,27.90000,27.30000,20.90000,30.10000,69.00000,35.90000,24.60000,15.56400,15.81000,1138.60000,357.00000,357.00000,3.70000,350.02794,0.64000,-3.64000,127.21135,34.76267,0.00000,3.00000,0.00000,3.00000,nan,0.00000,0.00000,nan,0.00000
10,1.00000,991.10000,991.10000,nan,27.30000,28.10000,27.50000,21.10000,30.30000,68.00000,36.20000,24.80000,15.71100,15.96000,1136.70000,357.00000,359.00000,3.40000,342.19813,1.05000,-3.27000,127.21123,34.76266,10.00000,13.00000,4.00000,7.00000,nan,17.00000,241.20500,nan,21.99800
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2.00000,989.20000,989.20000,nan,27.50000,28.40000,27.60000,21.20000,30.40000,68.00000,36.50000,25.00000,15.84200,16.10000,1134.00000,357.00000,361.00000,3.50000,336.02074,1.41000,-3.17000,127.21117,34.76262,27.00000,30.00000,11.00000,14.00000,nan,17.00000,235.78600,nan,36.98800
40,3.00000,987.80000,987.80000,nan,27.50000,28.50000,27.60000,21.10000,30.40000,68.00000,36.50000,24.90000,15.85400,16.11000,1132.30000,357.00000,363.00000,3.70000,333.50465,1.64000,-3.29000,127.21116,34.76258,40.00000,43.00000,18.00000,21.00000,nan,12.70000,230.13600,nan,43.59100
50,4.00000,986.80000,986.80000,nan,27.40000,28.60000,27.60000,21.10000,30.40000,68.00000,36.40000,24.90000,15.82700,16.08000,1131.40000,356.00000,364.00000,4.00000,333.04563,1.79000,-3.52000,127.21120,34.76254,48.00000,51.00000,24.00000,27.00000,nan,8.30000,223.39700,nan,44.74200
60,5.50000,985.75000,985.75000,nan,27.35000,28.60000,27.50000,21.05000,30.30000,68.00000,36.25000,24.75000,15.78300,16.03500,1130.50000,355.50000,364.50000,4.45000,333.40598,1.98000,-3.95500,127.21129,34.76250,58.50000,61.50000,31.50000,34.50000,nan,6.75000,210.73350,nan,43.22100
70,7.00000,984.70000,984.70000,nan,27.30000,28.60000,27.40000,21.00000,30.20000,68.00000,36.10000,24.70000,15.75900,16.01000,1129.60000,355.00000,366.00000,4.90000,333.53969,2.18000,-4.38000,127.21136,34.76243,68.00000,71.00000,40.00000,43.00000,nan,6.00000,198.36700,nan,46.02900
80,9.00000,983.56667,983.56667,nan,27.26667,28.70000,27.40000,21.00000,30.20000,68.33333,36.03333,24.66667,15.74833,16.00000,1128.43333,355.00000,366.66667,5.50000,333.49726,2.44667,-4.90667,127.21141,34.76230,77.33333,80.33333,50.00000,53.00000,nan,4.93333,190.18533,nan,59.16500
90,11.00000,982.40000,982.40000,nan,27.20000,28.70000,27.40000,20.90000,30.10000,69.00000,35.90000,24.60000,15.73000,15.98000,1127.30000,354.00000,368.00000,6.10000,333.43495,2.71000,-5.42000,127.21147,34.76216,88.00000,91.00000,61.00000,64.00000,nan,5.90000,184.09100,nan,73.99900
100,12.00000,981.60000,981.60000,nan,27.10000,28.70000,27.30000,20.90000,30.00000,69.00000,35.70000,24.60000,15.70900,15.96000,1126.70000,354.00000,369.00000,6.30000,333.39454,2.84000,-5.67000,127.21151,34.76211,95.00000,98.00000,67.00000,70.00000,nan,7.00000,180.53300,nan,79.19700
110,13.50000,980.40000,980.40000,nan,27.05000,28.75000,27.20000,20.85000,29.95000,69.00000,35.55000,24.50000,15.68000,15.93000,1125.65000,353.50000,370.50000,6.75000,333.37782,3.01500,-6.01500,127.21157,34.76205,106.00000,109.00000,80.00000,83.00000,nan,7.05000,177.28500,nan,86.74550
120,15.50000,979.05000,979.05000,nan,26.95000,28.80000,27.15000,20.80000,29.85000,69.00000,35.35000,24.40000,15.66100,15.91000,1124.35000,353.00000,371.50000,7.20000,333.41720,3.23000,-6.45500,127.21160,34.76194,119.00000,122.00000,98.00000,101.00000,nan,6.30000,176.04700,nan,97.91850
130,17.00000,977.90000,977.90000,nan,26.90000,28.80000,27.10000,20.80000,29.80000,69.00000,35.20000,24.40000,15.64000,15.89000,1123.40000,353.00000,373.00000,7.50000,333.46891,3.37000,-6.75000,127.21166,34.76186,129.00000,132.00000,107.00000,110.00000,nan,6.60000,173.26300,nan,107.93600
140,18.50000,976.90000,976.90000,nan,26.80000,28.85000,27.00000,20.75000,29.70000,69.00000,35.10000,24.30000,15.62850,15.88000,1122.45000,352.00000,374.00000,7.85000,333.51657,3.50000,-7.02500,127.21173,34.76176,138.00000,141.00000,113.50000,116.50000,nan,6.25000,170.94950,nan,120.57250
150,20.00000,975.90000,975.90000,nan,26.80000,28.90000,27.00000,20.70000,29.70000,69.00000,35.00000,24.30000,15.62900,15.88000,1121.50000,352.00000,375.00000,8.10000,333.52960,3.62000,-7.27000,127.21178,34.76163,147.00000,150.00000,124.00000,127.00000,nan,5.80000,169.88200,nan,134.94300
160,21.50000,974.95000,974.95000,nan,26.75000,28.95000,27.00000,20.70000,29.65000,69.00000,34.95000,24.25000,15.62300,15.87000,1120.50000,351.50000,376.00000,8.35000,333.67993,3.71000,-7.50000,127.21183,34.76150,156.00000,159.00000,141.50000,144.50000,nan,5.95000,169.28250,nan,150.85950
170,23.50000,973.75000,973.75000,nan,26.65000,29.00000,26.90000,20.70000,29.55000,70.00000,34.75000,24.20000,15.60550,15.85500,1119.40000,351.00000,377.50000,8.65000,333.83478,3.81500,-7.76500,127.21187,34.76130,166.50000,169.50000,166.00000,169.00000,nan,5.20000,169.43600,nan,172.60900
180,25.50000,972.70000,972.70000,nan,26.60000,29.00000,26.80000,20.60000,29.50000,70.00000,34.60000,24.15000,15.59100,15.84000,1118.55000,351.00000,378.50000,8.85000,334.05457,3.89000,-7.99500,127.21193,34.76109,176.50000,179.50000,183.50000,186.50000,nan,4.70000,169.06350,nan,196.10950
190,27.00000,971.70000,971.70000,nan,26.50000,29.00000,26.80000,20.60000,29.40000,70.00000,34.50000,24.10000,15.58000,15.83000,1117.70000,351.00000,380.00000,9.00000,334.19922,3.94000,-8.15000,127.21204,34.76098,185.00000,188.00000,188.00000,191.00000,nan,6.40000,166.92800,nan,210.11100
200,28.50000,970.45000,970.45000,nan,26.45000,29.00000,26.70000,20.55000,29.30000,70.00000,34.30000,24.05000,15.55150,15.80000,1116.60000,350.00000,380.50000,9.15000,334.39723,3.97000,-8.28500,127.21214,34.76091,197.00000,200.00000,194.00000,197.00000,nan,7.80000,165.03700,nan,220.95300
210,30.00000,969.10000,969.10000,nan,26.30000,29.00000,26.60000,20.50000,29.20000,70.00000,34.10000,24.00000,15.52000,15.77000,1115.40000,349.00000,382.00000,9.30000,334.61869,3.99000,-8.41000,127.21219,34.76082,209.00000,212.00000,206.00000,209.00000,nan,8.50000,164.68300,nan,230.98900
220,31.00000,968.20000,968.20000,nan,26.20000,29.00000,26.50000,20.50000,29.10000,70.00000,33.90000,23.90000,15.49700,15.74000,1114.70000,349.00000,383.00000,9.40000,334.85409,3.99000,-8.50000,127.21219,34.76074,218.00000,221.00000,218.00000,221.00000,nan,8.50000,165.12400,nan,239.06500
230,32.00000,967.30000,967.30000,nan,26.20000,29.00000,26.40000,20.40000,29.00000,71.00000,33.70000,23.80000,15.47800,15.72000,1114.00000,349.00000,384.00000,9.50000,335.05993,3.99000,-8.58000,127.21220,34.76065,225.00000,228.00000,231.00000,234.00000,nan,7.80000,165.69000,nan,249.40200
240,33.50000,966.15000,966.15000,nan,26.05000,29.00000,26.35000,20.40000,28.95000,71.00000,33.55000,23.80000,15.47200,15.71500,1113.10000,348.50000,385.50000,9.55000,335.41959,3.97500,-8.69000,127.21222,34.76049,235.50000,238.50000,245.00000,248.00000,nan,6.75000,166.15750,nan,266.52350
