HGT,time,P,Pm,Pc,Temp,PotTemp,PEPT,Dewp,VirT,RH,SatVapP,VapP,SpHum,MixR,Den,RI,MRI,Speed,Dir,Ecomp,Ncomp,Lon,Lat,Alt,MSL,GPSALT,GPSMSL,Geop,AscRate,Azimuth,Elev,Range
m,sec,hPa,hPa,hPa,degC,degC,degC,degC,degC,%,hPa,hPa,g/kg,g/kg,g/m3,none,none,m/s,deg,m/s,m/s,deg,deg,m,m,m,m,gpm,m/s,deg,deg,m
0,0.00000,1001.60000,1001.60000,nan,25.20000,25.10000,25.20000,21.70000,28.20000,81.00000,31.90000,25.80000,16.20800,16.48000,1156.70000,367.00000,367.00000,2.60000,86.02445,-2.59000,-0.18000,127.21135,34.76267,0.00000,3.00000,0.00000,3.00000,nan,0.00000,0.00000,nan,0.00000
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,1.00000,999.60000,999.60000,nan,25.20000,25.30000,25.30000,21.70000,28.30000,81.00000,32.00000,25.90000,16.24900,16.52000,1154.10000,367.00000,370.00000,2.80000,82.72062,-2.74000,-0.35000,127.21125,34.76266,18.00000,21.00000,6.00000,9.00000,nan,17.30000,251.31200,nan,13.32300
30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,2.50000,997.40000,997.40000,nan,25.30000,25.50000,25.35000,21.80000,28.30000,81.00000,32.05000,25.90000,16.29850,16.56500,1151.45000,366.00000,372.00000,3.00000,78.74629,-2.94000,-0.58500,127.21110,34.76265,37.00000,40.00000,15.00000,18.00000,nan,10.30000,251.06550,nan,32.46250
50,4.50000,996.50000,996.50000,nan,25.30000,25.65000,25.40000,21.75000,28.35000,80.50000,32.10000,25.85000,16.30000,16.57000,1150.15000,366.00000,373.00000,3.30000,74.48050,-3.20500,-0.89000,127.21090,34.76262,45.50000,48.50000,27.00000,30.00000,nan,4.60000,250.64100,nan,57.76150
60,6.50000,995.25000,995.25000,nan,25.35000,25.75000,25.40000,21.70000,28.40000,80.00000,32.15000,25.75000,16.26850,16.54000,1148.75000,365.00000,374.00000,3.65000,71.41636,-3.46500,-1.16500,127.21070,34.76258,56.00000,59.00000,40.00000,43.00000,nan,5.60000,250.00600,nan,82.63750
70,8.50000,994.05000,994.05000,nan,25.25000,25.80000,25.35000,21.60000,28.25000,80.00000,32.00000,25.70000,16.22300,16.49000,1147.70000,365.00000,375.00000,3.95000,69.39320,-3.71000,-1.39500,127.21049,34.76252,66.50000,69.50000,54.50000,57.50000,nan,5.15000,249.13750,nan,106.92050
80,10.50000,992.90000,992.90000,nan,25.15000,25.80000,25.25000,21.60000,28.15000,81.00000,31.75000,25.60000,16.20550,16.47000,1146.80000,364.00000,376.50000,4.25000,68.12332,-3.93500,-1.58000,127.21027,34.76243,77.00000,80.00000,70.50000,73.50000,nan,5.15000,248.02000,nan,130.46400
