HGT,time,P,Pm,Pc,Temp,PotTemp,PEPT,Dewp,VirT,RH,SatVapP,VapP,SpHum,MixR,Den,RI,MRI,Speed,Dir,Ecomp,Ncomp,Lon,Lat,Alt,MSL,GPSALT,GPSMSL,Geop,AscRate,Azimuth,Elev,Range
m,sec,hPa,hPa,hPa,degC,degC,degC,degC,degC,%,hPa,hPa,g/kg,g/kg,g/m3,none,none,m/s,deg,m/s,m/s,deg,deg,m,m,m,m,gpm,m/s,deg,deg,m
0,0.00000,1017.00000,1017.00000,nan,22.00000,20.60000,21.90000,20.50000,24.70000,91.00000,26.30000,24.00000,14.78800,15.01000,1188.20000,369.00000,369.00000,2.00000,112.06790,-1.85000,0.75000,127.21135,34.76267,0.00000,3.00000,0.00000,3.00000,nan,0.00000,0.00000,nan,0.00000
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,1.50000,1014.95000,1014.95000,nan,22.20000,20.95000,22.15000,20.45000,24.95000,90.00000,26.65000,23.95000,14.80350,15.03000,1184.95000,367.50000,370.50000,3.60000,88.56191,-3.58500,-0.09000,127.21124,34.76265,17.50000,20.50000,12.50000,15.50000,nan,10.00000,241.29250,nan,22.14200
30,3.00000,1013.50000,1013.50000,nan,22.20000,21.00000,22.10000,20.40000,24.80000,90.00000,26.60000,23.80000,14.72800,14.95000,1183.60000,367.00000,372.00000,4.70000,82.33320,-4.68000,-0.63000,127.21112,34.76265,30.00000,33.00000,22.00000,25.00000,nan,7.60000,244.04100,nan,38.82600
40,4.00000,1012.70000,1012.70000,nan,22.20000,21.10000,22.10000,20.30000,24.80000,89.00000,26.60000,23.70000,14.71500,14.94000,1182.70000,366.00000,372.00000,5.10000,80.79494,-5.06000,-0.82000,127.21104,34.76265,37.00000,40.00000,27.00000,30.00000,nan,6.60000,246.74500,nan,47.76700
50,5.50000,1011.80000,1011.80000,nan,22.20000,21.20000,22.10000,20.30000,24.90000,89.00000,26.60000,23.70000,14.71250,14.93000,1181.45000,366.00000,373.00000,5.30000,80.18070,-5.20000,-0.90000,127.21095,34.76267,45.50000,48.50000,35.50000,38.50000,nan,5.50000,251.68800,nan,55.92800
60,8.00000,1010.33333,1010.33333,nan,22.10000,21.23333,22.06667,20.26667,24.80000,89.00000,26.53333,23.66667,14.69333,14.91333,1180.10000,365.33333,374.33333,5.30000,80.21759,-5.22000,-0.90000,127.21089,34.76271,57.00000,60.00000,49.33333,52.33333,nan,4.86667,257.30100,nan,59.43700
70,10.00000,1009.20000,1009.20000,nan,22.00000,21.30000,22.00000,20.20000,24.70000,89.00000,26.40000,23.60000,14.69300,14.91000,1179.00000,365.00000,376.00000,5.40000,80.34459,-5.29000,-0.90000,127.21082,34.76268,67.00000,70.00000,60.00000,63.00000,nan,5.10000,255.89100,nan,66.69800
80,11.50000,1008.30000,1008.30000,nan,22.00000,21.35000,22.00000,20.20000,24.70000,90.00000,26.40000,23.60000,14.71200,14.93500,1177.95000,365.00000,376.50000,5.45000,80.37323,-5.36500,-0.91000,127.21075,34.76261,75.50000,78.50000,66.50000,69.50000,nan,5.20000,251.45600,nan,75.44050
