Record,DateTime,50,Azdeg,Eldeg,TkBBK,Ch22.000,Ch22.234,Ch22.500,Ch23.000,Ch23.034,Ch23.500,Ch23.834,Ch24.000,Ch24.500,Ch25.000,Ch25.500,Ch26.000,Ch26.234,Ch26.500,Ch27.000,Ch27.500,Ch28.000,Ch28.500,Ch29.000,Ch29.500,Ch30.000,Ch51.248,Ch51.760,Ch52.280,Ch52.804,Ch53.336,Ch53.848,Ch54.400,Ch54.940,Ch55.500,Ch56.020,Ch56.660,Ch57.288,Ch57.964,Ch58.800,Ch
     1,07/10/18 00:05:13,51,  0.00, 90.00,309.721,, 86.597, 83.583,, 79.702,, 68.920,,, 54.563,,, 45.039,,,, 37.509,,,, 34.132,136.511,150.444,175.449,205.924,240.176,268.494,284.716,290.265,293.382,291.817,293.863,294.065,294.536,294.602,
     3,07/10/18 00:05:53,51,  0.00, 90.00,309.743,, 85.772, 83.386,, 79.308,, 69.128,,, 54.668,,, 44.714,,,, 37.578,,,, 34.182,134.729,150.052,173.368,206.608,240.369,266.072,284.277,291.490,293.507,292.384,292.926,294.704,295.003,293.719,
     5,07/10/18 00:06:34,51,  0.00, 90.00,309.741,, 85.736, 82.773,, 78.574,, 68.533,,, 53.868,,, 44.262,,,, 36.914,,,, 33.807,133.609,150.593,174.178,203.491,239.449,267.092,283.441,291.202,292.073,292.251,292.789,294.145,295.915,295.769,
     7,07/10/18 00:07:13,51,  0.00, 90.00,309.776,, 86.317, 83.138,, 78.799,, 68.433,,, 54.421,,, 44.818,,,, 36.671,,,, 34.245,133.784,147.372,170.336,202.295,237.469,268.630,286.834,289.934,290.577,290.834,292.049,293.099,293.830,293.856,
     9,07/10/18 00:07:53,51,  0.00, 90.00,309.766,, 86.233, 82.568,, 79.385,, 68.230,,, 53.880,,, 44.163,,,, 37.539,,,, 33.731,134.855,150.487,171.992,199.881,236.242,269.174,286.291,289.944,292.387,296.264,294.770,293.160,294.143,293.072,
    11,07/10/18 00:10:11,51,  0.00, 90.00,309.823,, 85.915, 83.169,, 79.131,, 68.889,,, 54.598,,, 44.863,,,, 37.310,,,, 33.882,134.031,147.366,169.233,202.363,236.378,265.743,284.071,287.186,291.397,293.507,291.505,290.705,294.054,293.988,
    13,07/10/18 00:10:50,51,  0.00, 90.00,309.859,, 85.951, 83.129,, 78.975,, 68.135,,, 54.227,,, 44.179,,,, 36.656,,,, 33.556,133.451,150.663,175.671,204.072,236.894,264.742,282.224,288.840,292.638,293.033,293.156,294.304,294.859,295.032,
    15,07/10/18 00:11:29,51,  0.00, 90.00,309.856,, 86.460, 83.117,, 79.378,, 68.967,,, 54.356,,, 44.471,,,, 37.476,,,, 34.070,134.927,148.304,171.027,203.976,239.763,267.464,283.581,287.910,291.934,294.141,294.305,293.299,293.786,295.008,
    17,07/10/18 00:12:08,51,  0.00, 90.00,309.862,, 86.735, 83.561,, 79.876,, 68.962,,, 54.542,,, 45.094,,,, 37.452,,,, 34.221,133.261,147.847,173.051,206.782,238.840,264.924,284.701,293.591,292.453,292.129,295.229,295.763,294.627,293.993,
    19,07/10/18 00:12:47,51,  0.00, 90.00,309.901,, 86.307, 83.693,, 79.282,, 68.927,,, 54.883,,, 44.877,,,, 37.677,,,, 34.428,134.869,151.428,171.383,201.546,237.916,267.066,283.770,288.225,290.265,293.168,293.869,291.813,292.797,295.689,
    21,07/10/18 00:15:05,51,  0.00, 90.00,309.949,, 87.137, 83.884,, 79.707,, 69.201,,, 54.785,,, 44.804,,,, 37.950,,,, 34.501,134.968,151.724,172.584,201.918,237.911,266.024,283.232,289.842,292.165,291.247,292.563,294.671,293.964,292.464,
    23,07/10/18 00:15:44,51,  0.00, 90.00,309.974,, 86.486, 84.116,, 79.789,, 68.755,,, 54.508,,, 44.358,,,, 37.103,,,, 33.908,134.352,150.647,176.133,207.095,238.477,265.855,283.071,290.090,292.350,292.872,293.202,293.034,293.717,294.065,
    25,07/10/18 00:16:23,51,  0.00, 90.00,309.976,, 86.747, 83.825,, 79.987,, 69.229,,, 54.950,,, 44.706,,,, 37.573,,,, 33.900,135.429,149.145,169.921,202.518,240.083,268.682,283.234,287.094,292.293,295.077,292.721,291.190,292.657,294.501,
    27,07/10/18 00:17:02,51,  0.00, 90.00,310.012,, 86.764, 83.754,, 79.326,, 68.800,,, 54.794,,, 44.626,,,, 37.119,,,, 34.388,134.122,148.148,173.236,205.228,237.155,263.487,281.749,291.088,292.162,295.366,295.059,292.452,293.918,296.394,
    29,07/10/18 00:17:41,51,  0.00, 90.00,310.015,, 87.341, 83.735,, 80.229,, 68.985,,, 54.697,,, 45.614,,,, 37.387,,,, 34.099,134.564,150.451,176.744,206.727,236.544,265.475,283.443,291.508,295.290,294.655,293.681,294.294,292.840,292.705,
    31,07/10/18 00:19:59,51,  0.00, 90.00,310.078,, 87.459, 84.367,, 80.131,, 69.345,,, 54.923,,, 44.961,,,, 37.769,,,, 34.086,133.589,149.898,175.598,204.383,236.422,263.795,281.541,291.967,294.763,294.475,294.172,292.967,294.416,294.902,
    33,07/10/18 00:20:43,51,  0.00, 90.00,310.094,, 87.348, 84.384,, 79.992,, 69.891,,, 55.145,,, 44.985,,,, 37.270,,,, 34.066,134.746,150.625,172.919,203.185,237.171,265.344,283.165,287.668,290.201,295.637,295.448,294.147,293.847,293.094,
    35,07/10/18 00:21:22,51,  0.00, 90.00,310.121,, 87.414, 84.212,, 80.989,, 69.653,,, 55.045,,, 44.820,,,, 38.011,,,, 33.844,130.319,149.039,172.365,198.922,233.349,264.761,282.870,287.014,289.609,293.238,292.151,291.212,290.737,292.385,
    37,07/10/18 00:22:04,51,  0.00, 90.00,310.143,, 87.375, 84.204,, 79.819,, 69.287,,, 54.807,,, 45.011,,,, 37.342,,,, 34.391,133.290,149.572,172.232,203.683,237.322,266.160,283.084,288.372,292.804,293.751,293.250,295.329,296.898,294.775,
    39,07/10/18 00:22:43,51,  0.00, 90.00,310.149,, 87.598, 85.063,, 80.956,, 69.727,,, 55.556,,, 44.845,,,, 37.432,,,, 34.447,135.468,149.306,171.135,201.481,234.921,264.059,282.114,291.972,295.125,293.945,293.505,296.865,295.136,293.639,
    41,07/10/18 00:25:01,51,  0.00, 90.00,310.213,, 88.061, 84.731,, 80.310,, 70.623,,, 55.026,,, 45.081,,,, 37.412,,,, 34.037,133.352,150.176,173.536,203.061,236.767,265.993,284.891,290.598,292.807,293.291,294.255,295.833,296.939,295.535,
    43,07/10/18 00:25:41,51,  0.00, 90.00,310.202,, 87.915, 84.810,, 80.315,, 69.167,,, 55.302,,, 45.170,,,, 37.644,,,, 33.971,131.991,147.256,173.519,205.648,236.935,267.382,286.175,288.228,291.956,293.196,293.012,292.596,294.548,295.365,
    45,07/10/18 00:26:20,51,  0.00, 90.00,310.228,, 87.588, 84.566,, 80.120,, 69.128,,, 55.634,,, 44.737,,,, 37.467,,,, 33.852,133.707,151.358,173.981,202.422,236.364,265.448,282.388,289.832,293.788,292.314,293.939,294.628,294.738,293.973,
    47,07/10/18 00:26:59,51,  0.00, 90.00,310.241,, 87.249, 84.714,, 80.006,, 69.524,,, 54.724,,, 44.530,,,, 37.698,,,, 33.968,132.383,150.266,174.533,203.062,236.003,265.396,284.151,289.287,290.491,292.935,293.794,294.203,293.513,295.610,
    49,07/10/18 00:27:38,51,  0.00, 90.00,310.248,, 87.692, 84.454,, 80.481,, 69.682,,, 54.609,,, 44.991,,,, 37.990,,,, 34.145,131.555,147.319,174.540,204.113,234.399,265.361,286.201,291.284,292.304,291.495,291.924,293.238,294.820,294.828,
    51,07/10/18 00:29:56,51,  0.00, 90.00,310.321,, 88.063, 85.287,, 80.711,, 69.803,,, 55.865,,, 45.474,,,, 37.721,,,, 34.543,136.052,151.169,175.666,205.104,236.623,263.916,283.244,290.654,292.169,292.935,291.946,295.357,296.813,292.745,
    53,07/10/18 00:30:35,51,  0.00, 90.00,310.322,, 88.223, 85.074,, 80.755,, 70.077,,, 55.783,,, 44.904,,,, 38.482,,,, 34.489,130.992,147.572,173.257,203.407,235.039,264.688,284.346,289.513,289.624,291.291,292.960,293.606,295.317,294.385,
    55,07/10/18 00:31:15,51,  0.00, 90.00,310.333,, 89.050, 85.375,, 81.505,, 70.615,,, 55.908,,, 45.841,,,, 38.600,,,, 35.089,133.645,150.965,174.513,204.638,238.505,265.080,286.259,291.956,290.770,291.874,294.455,294.053,291.658,292.442,
    57,07/10/18 00:31:54,51,  0.00, 90.00,310.349,, 88.403, 85.694,, 81.035,, 70.542,,, 55.555,,, 45.328,,,, 38.032,,,, 34.999,137.796,151.256,174.331,207.326,240.915,266.571,283.093,289.397,291.530,293.404,294.537,295.207,294.322,294.651,
    59,07/10/18 00:32:34,51,  0.00, 90.00,310.352,, 89.069, 86.191,, 81.509,, 71.252,,, 56.037,,, 46.136,,,, 38.444,,,, 34.780,136.459,148.770,170.284,202.495,236.923,265.029,284.008,290.405,290.713,289.963,290.977,293.343,296.470,294.770,
    61,07/10/18 00:34:52,51,  0.00, 90.00,310.423,, 89.384, 86.174,, 81.554,, 71.215,,, 56.175,,, 45.899,,,, 39.187,,,, 35.482,139.815,154.850,174.175,203.844,238.767,267.344,284.431,290.953,292.935,293.908,293.653,294.102,294.027,294.505,
    63,07/10/18 00:35:31,51,  0.00, 90.00,310.439,, 89.976, 86.155,, 82.081,, 71.642,,, 57.158,,, 45.896,,,, 38.382,,,, 35.343,137.582,153.159,174.290,203.122,237.444,266.655,283.750,293.084,293.691,292.556,293.962,294.889,295.003,293.661,
