Record,DateTime,40,TambK,Rh,Presmb,TirK,Rain
     2,07/10/18 00:05:15,41, 298.2630,  97.9200,1015.9500, 292.6700,0
     4,07/10/18 00:05:54,41, 298.1930,  97.9200,1016.0500, 293.0300,0
     6,07/10/18 00:06:36,41, 298.1380,  97.9200,1016.0500, 293.9100,0
     8,07/10/18 00:07:15,41, 298.1930,  97.9200,1016.0500, 293.4600,0
    10,07/10/18 00:07:54,41, 298.2630,  97.9200,1016.0500, 293.0700,0
    12,07/10/18 00:10:12,41, 298.3060,  97.9200,1015.9500, 292.1300,0
    14,07/10/18 00:10:51,41, 298.3060,  97.9200,1016.0500, 292.7600,0
    16,07/10/18 00:11:30,41, 298.2480,  97.9200,1016.0500, 293.4400,0
    18,07/10/18 00:12:10,41, 298.3340,  97.9200,1016.0500, 293.4600,0
    20,07/10/18 00:12:49,41, 298.2750,  97.9200,1016.0500, 293.2500,0
    22,07/10/18 00:15:06,41, 298.2050,  97.9200,1016.0500, 293.4000,0
    24,07/10/18 00:15:45,41, 298.1500,  97.9200,1016.1500, 292.8000,0
    26,07/10/18 00:16:24,41, 298.2360,  97.9200,1016.0500, 293.3500,0
    28,07/10/18 00:17:03,41, 298.1500,  97.9200,1016.0500, 292.7600,0
    30,07/10/18 00:17:43,41, 298.0410,  97.9200,1016.0500, 293.2700,0
    32,07/10/18 00:20:01,41, 298.1500,  97.9200,1016.0500, 289.5100,0
    34,07/10/18 00:20:45,41, 298.2050,  97.9200,1016.1500, 289.7300,0
    36,07/10/18 00:21:24,41, 298.2630,  97.9200,1016.1500, 287.8300,0
    38,07/10/18 00:22:06,41, 298.1380,  97.9200,1016.1500, 290.2400,0
    40,07/10/18 00:22:45,41, 298.2050,  97.9200,1016.1500, 291.7000,0
    42,07/10/18 00:25:03,41, 298.1230,  97.9200,1016.1500, 288.0700,0
    44,07/10/18 00:25:42,41, 298.1770,  97.9200,1016.1500, 290.1800,0
    46,07/10/18 00:26:21,41, 298.2630,  97.9200,1016.1500, 285.3500,0
    48,07/10/18 00:27:01,41, 298.2360,  97.9200,1016.1500, 286.9900,0
    50,07/10/18 00:27:40,41, 298.3060,  97.9200,1016.0500, 283.4200,0
    52,07/10/18 00:29:57,41, 298.4160,  97.9200,1016.1500, 291.3500,0
    54,07/10/18 00:30:37,41, 298.5840,  97.9200,1016.1500, 289.8200,0
    56,07/10/18 00:31:17,41, 298.7240,  97.9200,1016.1500, 291.9800,0
    58,07/10/18 00:31:56,41, 298.7130,  97.9200,1016.1500, 288.7400,0
    60,07/10/18 00:32:35,41, 298.7130,  97.9200,1016.2500, 289.0200,0
    62,07/10/18 00:34:54,41, 298.7400,  97.9200,1016.1500, 292.7700,0
    64,07/10/18 00:35:33,41, 298.7130,  97.9200,1016.1500, 291.9100,0
    66,07/10/18 00:36:12,41, 298.7130,  97.9200,1016.1500, 293.1500,0
    68,07/10/18 00:36:51,41, 298.7520,  97.9200,1016.1500, 292.2300,0
    70,07/10/18 00:37:31,41, 298.7830,  97.9200,1016.1500, 292.5900,0
    72,07/10/18 00:39:49,41, 298.6700,  97.9200,1016.1500, 291.1000,0
    74,07/10/18 00:40:29,41, 298.5840,  97.9200,1016.1500, 291.7700,0
    76,07/10/18 00:41:08,41, 298.5560,  97.9200,1016.1500, 290.4400,0
    78,07/10/18 00:41:47,41, 298.4740,  97.9200,1016.2500, 290.7200,0
    80,07/10/18 00:42:26,41, 298.4740,  97.9200,1016.1500, 290.3800,0
    82,07/10/18 00:44:44,41, 298.3060,  97.9200,1016.2500, 290.8200,0
    84,07/10/18 00:45:23,41, 298.2480,  97.9200,1016.3500, 292.3500,0
    86,07/10/18 00:46:02,41, 298.3060,  97.9200,1016.2500, 292.5600,0
    88,07/10/18 00:46:41,41, 298.2050,  97.9200,1016.2500, 291.7200,0
    90,07/10/18 00:47:20,41, 298.2050,  97.9200,1016.2500, 291.8500,0
    92,07/10/18 00:49:38,41, 298.2360,  97.9200,1016.2500, 292.9100,0
    94,07/10/18 00:50:17,41, 298.2630,  97.9200,1016.3500, 293.6800,0
    96,07/10/18 00:50:57,41, 298.2630,  97.9200,1016.3500, 293.3400,0
    98,07/10/18 00:51:36,41, 298.2630,  97.9200,1016.3500, 293.4700,0
   100,07/10/18 00:52:15,41, 298.2480,  97.9200,1016.3500, 293.2100,0
   102,07/10/18 00:54:34,41, 298.1500,  97.9200,1016.3500, 291.5800,0
   104,07/10/18 00:55:13,41, 298.1930,  97.9200,1016.3500, 292.0500,0
   106,07/10/18 00:55:53,41, 298.0520,  97.9200,1016.4500, 291.3300,0
   108,07/10/18 00:56:33,41, 298.1380,  97.9200,1016.3500, 291.7300,0
   110,07/10/18 00:57:12,41, 298.2050,  97.9200,1016.3500, 289.5900,0
   112,07/10/18 00:59:30,41, 298.2750,  97.9200,1016.3500, 291.7200,0
   114,07/10/18 01:00:09,41, 298.2630,  97.9200,1016.3500, 290.7000,0
   116,07/10/18 01:00:51,41, 298.3450,  97.9200,1016.3500, 291.6500,0
   118,07/10/18 01:01:30,41, 298.2750,  97.9200,1016.3500, 292.1700,0
   120,07/10/18 01:02:09,41, 298.3180,  97.9200,1016.3500, 291.2400,0
   122,07/10/18 01:04:27,41, 298.2630,  97.9200,1016.2500, 291.6600,0
   124,07/10/18 01:05:06,41, 298.2630,  97.9200,1016.4500, 293.1900,0
   126,07/10/18 01:05:46,41, 298.2910,  97.9200,1016.3500, 293.1600,0
   128,07/10/18 01:06:26,41, 298.3610,  97.9200,1016.4500, 293.5100,0
   130,07/10/18 01:07:05,41, 298.2750,  97.9200,1016.4500, 293.3000,0
   132,07/10/18 01:09:25,41, 298.3060,  97.9200,1016.4500, 292.8000,0
   134,07/10/18 01:10:05,41, 298.3610,  97.9200,1016.4500, 293.3200,0
   136,07/10/18 01:10:44,41, 298.3770,  97.9200,1016.3500, 292.9500,0
   138,07/10/18 01:11:24,41, 298.5130,  97.9200,1016.3500, 293.4300,0
   140,07/10/18 01:12:03,41, 298.4590,  97.9200,1016.4500, 293.0400,0
   142,07/10/18 01:14:20,41, 298.4860,  97.9200,1016.3500, 292.9300,0
   144,07/10/18 01:15:00,41, 298.5990,  97.9200,1016.4500, 292.8700,0
   146,07/10/18 01:15:39,41, 298.5560,  97.9200,1016.4500, 293.0000,0
   148,07/10/18 01:16:19,41, 298.5840,  97.9200,1016.4500, 293.2300,0
   150,07/10/18 01:16:58,41, 298.5130,  97.9200,1016.4500, 293.2700,0
   152,07/10/18 01:19:16,41, 298.6420,  97.9200,1016.5500, 292.9100,0
   154,07/10/18 01:19:55,41, 298.5290,  97.9200,1016.5500, 292.6800,0
   156,07/10/18 01:20:35,41, 298.6150,  97.9200,1016.5500, 292.6500,0
   158,07/10/18 01:21:15,41, 298.6270,  97.9200,1016.4500, 293.4900,0
   160,07/10/18 01:21:54,41, 298.5560,  97.9200,1016.3500, 293.2200,0
   162,07/10/18 01:24:12,41, 298.4740,  97.9200,1016.4500, 293.1900,0
   164,07/10/18 01:24:51,41, 298.4590,  97.9200,1016.5500, 293.1100,0
   166,07/10/18 01:25:30,41, 298.4590,  97.9200,1016.4500, 293.3000,0
   168,07/10/18 01:26:09,41, 298.4590,  97.9200,1016.4500, 293.2400,0
   170,07/10/18 01:26:49,41, 298.5450,  97.9200,1016.5500, 293.3400,0
   172,07/10/18 01:29:06,41, 298.6270,  97.9200,1016.5500, 291.3300,0
   174,07/10/18 01:29:46,41, 298.6970,  97.9200,1016.4500, 292.2100,0
   176,07/10/18 01:30:26,41, 298.7950,  97.9200,1016.4500, 292.4600,0
   178,07/10/18 01:31:05,41, 298.8380,  97.9200,1016.4500, 287.5700,0
   180,07/10/18 01:31:44,41, 298.8920,  97.9200,1016.4500, 291.7100,0
   182,07/10/18 01:34:01,41, 298.8650,  97.9200,1016.5500, 291.7100,0
   184,07/10/18 01:34:41,41, 298.8650,  97.9200,1016.4500, 291.5000,0
   186,07/10/18 01:35:20,41, 298.9630,  97.9200,1016.3500, 291.4300,0
   188,07/10/18 01:35:59,41, 299.0210,  97.9200,1016.3500, 276.0700,0
   190,07/10/18 01:36:38,41, 299.0210,  97.9200,1016.3500, 291.7900,0
   192,07/10/18 01:38:56,41, 299.3690,  97.9200,1016.4500, 283.8500,0
   194,07/10/18 01:39:35,41, 299.3420,  97.9200,1016.4500, 285.8600,0
   196,07/10/18 01:40:14,41, 299.3420,  97.9200,1016.3500, 286.0600,0
   198,07/10/18 01:40:54,41, 299.3960,  97.9200,1016.3500, 290.7200,0
   200,07/10/18 01:41:34,41, 299.3690,  97.9200,1016.3500, 282.1700,0
   202,07/10/18 01:43:51,41, 299.3140,  97.9200,1016.3500, 293.5100,0
   204,07/10/18 01:44:30,41, 299.2870,  97.9200,1016.3500, 293.4400,0
   206,07/10/18 01:45:10,41, 299.4270,  97.9200,1016.3500, 292.3700,0
   208,07/10/18 01:45:49,41, 299.2710,  97.9200,1016.3500, 293.2400,0
   210,07/10/18 01:46:28,41, 299.2440,  97.9200,1016.3500, 293.9500,0
   212,07/10/18 01:48:46,41, 299.2710,  97.9200,1016.2500, 293.4200,0
   214,07/10/18 01:49:25,41, 299.2010,  97.9200,1016.3500, 292.6800,0
   216,07/10/18 01:50:05,41, 299.1740,  97.9200,1016.4500, 291.9800,0
   218,07/10/18 01:50:45,41, 299.2870,  97.9200,1016.3500, 285.4400,0
   220,07/10/18 01:51:25,41, 299.2710,  97.9200,1016.3500, 293.1900,0
   222,07/10/18 01:53:42,41, 299.2440,  97.9200,1016.2500, 293.9700,0
   224,07/10/18 01:54:21,41, 299.1620,  97.9200,1016.2500, 293.7000,0
   226,07/10/18 01:55:01,41, 299.1740,  97.9200,1016.3500, 293.8100,0
   228,07/10/18 01:55:40,41, 299.1890,  97.9200,1016.2500, 293.5100,0
   230,07/10/18 01:56:20,41, 299.1890,  97.9200,1016.3500, 293.2200,0
   232,07/10/18 01:58:37,41, 299.2170,  97.9200,1016.3500, 293.8800,0
   234,07/10/18 01:59:16,41, 299.3300,  97.9200,1016.1500, 293.8800,0
   236,07/10/18 01:59:55,41, 299.2710,  97.9200,1016.2500, 293.5400,0
   238,07/10/18 02:00:35,41, 299.2170,  97.9200,1016.2500, 293.6400,0
   240,07/10/18 02:01:14,41, 299.2710,  97.9200,1016.3500, 293.7700,0
   242,07/10/18 02:03:32,41, 299.6770,  97.9200,1016.2500, 291.8900,0
   244,07/10/18 02:04:11,41, 299.8180,  97.9200,1016.3500, 291.3700,0
   246,07/10/18 02:04:50,41, 299.9160,  97.9200,1016.3500, 292.6600,0
   248,07/10/18 02:05:30,41, 299.8450,  97.9200,1016.2500, 288.9800,0
   250,07/10/18 02:06:09,41, 300.0020,  97.8900,1016.3500, 288.9000,0
   252,07/10/18 02:08:27,41, 299.9160,  95.4700,1016.3500, 293.0300,0
   254,07/10/18 02:09:06,41, 299.9590,  96.2500,1016.3500, 294.0000,0
   256,07/10/18 02:09:45,41, 300.0290,  96.9200,1016.3500, 293.6800,0
   258,07/10/18 02:10:25,41, 299.9160,  96.3800,1016.3500, 290.7600,0
   260,07/10/18 02:11:06,41, 300.0410,  97.0100,1016.2500, 290.1500,0
   262,07/10/18 02:13:24,41, 299.7910,  95.8900,1016.2500, 291.8900,0
   264,07/10/18 02:14:03,41, 299.8180,  96.1000,1016.3500, 292.8500,0
   266,07/10/18 02:14:42,41, 299.8450,  96.6700,1016.2500, 291.7300,0
   268,07/10/18 02:15:21,41, 299.8450,  96.3700,1016.2500, 293.6100,0
   270,07/10/18 02:16:01,41, 299.8450,  97.1500,1016.2500, 293.7000,0
   272,07/10/18 02:18:19,41, 299.7910,  96.4200,1016.2500, 292.0900,0
   274,07/10/18 02:18:58,41, 299.8770,  97.6600,1016.1500, 293.5700,0
   276,07/10/18 02:19:38,41, 300.0290,  97.9200,1016.1500, 292.2200,0
   278,07/10/18 02:20:17,41, 299.9590,  97.1900,1016.1500, 293.6100,0
   280,07/10/18 02:21:01,41, 299.9430,  97.3200,1016.0500, 290.7700,0
   282,07/10/18 02:23:20,41, 299.9310,  96.6800,1016.1500, 293.1200,0
   284,07/10/18 02:23:59,41, 299.9160,  96.5200,1016.1500, 289.3800,0
   286,07/10/18 02:24:38,41, 300.0130,  97.3800,1016.0500, 288.4100,0
   288,07/10/18 02:25:17,41, 299.9860,  96.1900,1016.0500, 286.3700,0
   290,07/10/18 02:25:57,41, 299.9430,  96.1900,1016.0500, 289.5200,0
   292,07/10/18 02:28:14,41, 299.9160,  96.7900,1016.1500, 290.5300,0
   294,07/10/18 02:28:54,41, 299.9160,  96.4900,1016.1500, 286.1100,0
   296,07/10/18 02:29:32,41, 299.9040,  96.4700,1016.1500, 290.4600,0
   298,07/10/18 02:30:12,41, 299.7910,  95.4000,1016.1500, 289.9200,0
   300,07/10/18 02:30:52,41, 299.7750,  96.1900,1016.0500, 289.3200,0
   302,07/10/18 02:33:09,41, 299.7750,  96.5400,1016.0500, 289.6400,0
