Record,DateTime,90,RainV,V1,V2,TkBB1K,TkBB2K,TCabK,Tirt0K,Tirt1K,T5K,T6K,T7K,Vdist,12V,8V,5V,3.3V,2.5V,5V,2.5VR,PresTK,PresV,PresrefV,Presmb,TambK,Rh,TirtK,TECV0,TEC0,Tant0K,Tknd0K,Tif0K,TCase0K,RCV08V,Vnd0on,Vnd0off,TECV1,TEC1,Tant1K,Tknd1K,Tif1K,TCase1K,RCV18V,Vnd1on,Vnd1off,R44,EWTilt,NSTilt,R47
 4837,07/07/2018 17:41:20,91,   0.35256,   0.00135,   0.00087, 308.17400, 308.11700,   0.00100, 303.40100, 299.31700,   0.00000,   0.00100,   0.01000,  24.32591,  12.07565,   8.04307,   4.99415,   3.28023,   2.47973,  -4.67554,   2.50186, 309.83200,   1.75439,   2.49636,1011.87000, 294.77800,  86.19900, 281.14000,  -2.50930,  -3.59000, 322.99600, 323.16200, 326.04600, 308.72900,   8.13170,   9.39406,   2.33161,  -2.50909,  -3.56000, 322.45100, 323.14000, 326.19200, 308.76800,   8.02102,   9.90170,   2.43453, 270.00000,  -0.14115,   0.26453,9999.99000
 4859,07/07/2018 17:46:15,91,   0.37562,   0.00100,   0.00079, 308.17700, 308.07400,   0.00200, 303.35800, 299.26300,   0.00000,   0.00000,   0.00000,  24.32887,  12.07576,   8.04293,   4.99407,   3.28019,   2.47986,  -4.67552,   2.50181, 309.80800,   1.75441,   2.49631,1011.94000, 294.90700,  83.15200, 272.92000,  -2.78837,  -4.49400, 323.01700, 323.14600, 326.06300, 308.66300,   8.13086,   9.37552,   2.33127,  -2.34775,  -2.94000, 322.48700, 323.16600, 326.23500, 308.75100,   8.02001,   9.90095,   2.43184, 270.00000,  -0.16230,   0.26453,9999.99000
 4881,07/07/2018 17:51:10,91,   0.36376,   0.00168,   0.00056, 308.14600, 308.06500,   0.00100, 303.36100, 299.26600,   0.00400,   0.00200,   0.00200,  24.32722,  12.07691,   8.04327,   4.99454,   3.28029,   2.47999,  -4.67437,   2.50198, 309.77300,   1.75411,   2.49644,1011.88000, 294.93500,  81.42500, 282.20000,  -2.40303,  -3.24700, 323.01400, 323.17200, 326.05700, 308.65300,   8.13128,   9.37451,   2.35611,  -2.42179,  -3.19100, 322.41000, 323.15900, 326.21600, 308.68700,   8.01959,   9.89893,   2.43285, 270.00000,  -0.16230,   0.27510,9999.99000
 4903,07/07/2018 17:56:09,91,   0.40623,   0.00177,   0.00111, 308.07000, 307.99600,   0.00100, 303.19300, 298.97400,   0.00200,   0.00100,   0.00300,  24.33100,  12.07563,   8.04332,   4.99416,   3.28022,   2.47969,  -4.67523,   2.50184, 309.66100,   1.75326,   2.49630,1011.77000, 294.86400,  81.38600, 244.00000,  -2.98277,  -5.24700, 323.01500, 323.13500, 325.99800, 308.60900,   8.13279,   9.37686,   2.33346,  -2.15359,  -2.34300, 322.46000, 323.19400, 326.19400, 308.61800,   8.02152,   9.89952,   2.43218, 270.00000,  -0.14115,   0.26453,9999.99000
 4925,07/07/2018 18:01:05,91,   0.39870,   0.00186,   0.00114, 307.99100, 307.89200,   0.00100, 303.01800, 298.72000,   0.00000,   0.00100,   0.00400,  24.33024,  12.07589,   8.04282,   4.99442,   3.28006,   2.47981,  -4.67504,   2.50182, 309.49300,   1.75335,   2.49617,1011.79000, 294.66900,  82.14800, 243.72000,  -3.10258,  -5.67200, 323.02800, 323.16400, 326.02800, 308.43500,   8.13262,   9.37401,   2.33681,  -2.17922,  -2.21600, 322.48400, 323.14800, 326.22400, 308.50600,   8.02035,   9.90028,   2.43696, 270.00000,  -0.19402,   0.25395,9999.99000
 4947,07/07/2018 18:06:00,91,   0.35508,   0.00212,   0.00075, 307.88800, 307.82200,   0.00000, 302.90800, 298.54000,   0.00100,   0.00700,   0.00000,  24.32867,  12.07610,   8.04317,   4.99405,   3.28020,   2.47977,  -4.67506,   2.50187, 309.37100,   1.75419,   2.49638,1011.90000, 294.66900,  79.77300, 254.89000,  -2.51506,  -3.48700, 322.99600, 323.17500, 326.04600, 308.33100,   8.13203,   9.37308,   2.34235,  -2.18297,  -2.20800, 322.40200, 323.14300, 326.23000, 308.30500,   8.01993,   9.91731,   2.43293, 270.00000,  -0.13057,   0.27510,9999.99000
 4969,07/07/2018 18:10:54,91,   0.39637,   0.00167,   0.00076, 307.76600, 307.71000,   0.00300, 302.83100, 298.55300,   0.00000,   0.00200,   0.00000,  24.33017,  12.07573,   8.04324,   4.99413,   3.28013,   2.47965,  -4.67606,   2.50183, 309.24000,   1.75393,   2.49636,1011.86000, 294.65300,  80.16400, 271.29000,  -2.72703,  -4.18600, 323.00400, 323.19100, 325.98500, 308.27400,   8.13270,   9.37350,   2.32935,  -2.19824,  -2.41200, 322.42400, 323.17500, 326.23200, 308.24100,   8.02186,   9.89944,   2.41825, 270.00000,  -0.16230,   0.26453,9999.99000
 4991,07/07/2018 18:15:48,91,   0.37496,   0.00199,   0.00081, 307.66000, 307.58800,   0.00100, 302.74700, 298.59600,   0.00100,   0.00000,   0.00000,  24.33026,  12.07519,   8.04319,   4.99376,   3.28003,   2.47958,  -4.67614,   2.50176, 309.11400,   1.75478,   2.49626,1012.00000, 294.57100,  82.42900, 257.03000,  -2.61327,  -3.82300, 322.99600, 323.17500, 325.98200, 308.25800,   8.13170,   9.37258,   2.33463,  -2.61539,  -3.78600, 322.44000, 323.17400, 326.21900, 308.17000,   8.02136,   9.90002,   2.43125, 270.00000,  -0.12000,   0.30683,9999.99000
 5013,07/07/2018 18:20:44,91,   0.38533,   0.00222,   0.00062, 307.59200, 307.50200,   0.00200, 302.75700, 298.66800,   0.00500,   0.00100,   0.00100,  24.33262,  12.07559,   8.04320,   4.99339,   3.28008,   2.47974,  -4.67493,   2.50187, 309.04300,   1.75478,   2.49626,1012.00000, 294.55600,  82.60900, 264.40000,  -2.95138,  -5.21200, 323.02600, 323.12900, 326.04400, 308.11000,   8.12968,   9.37317,   2.25787,  -3.01553,  -5.43900, 322.41000, 323.17700, 326.22100, 308.15000,   8.02035,   9.90011,   2.43436, 270.00000,  -0.15172,   0.28568,9999.99000
 5035,07/07/2018 18:25:44,91,   0.38357,   0.00209,   0.00077, 307.50800, 307.44000,   0.00200, 302.77700, 298.68500,   0.00100,   0.00000,   0.00100,  24.33234,  12.07575,   8.04365,   4.99409,   3.28019,   2.47975,  -4.67549,   2.50189, 309.00900,   1.75538,   2.49633,1012.08000, 294.57100,  82.42900, 268.20000,  -2.66943,  -3.78100, 323.01200, 323.11500, 326.01500, 308.14900,   8.13153,   9.37225,   2.34629,  -2.54567,  -3.63400, 322.41600, 323.13700, 326.22200, 308.15300,   8.02119,   9.89709,   2.43377, 270.00000,  -0.16230,   0.29625,9999.99000
 5057,07/07/2018 18:30:41,91,   0.40026,   0.00171,   0.00117, 307.45000, 307.39100,   0.00200, 302.78400, 298.73600,   0.00100,   0.00100,   0.00500,  24.33185,  12.07590,   8.04352,   4.99389,   3.28029,   2.47976,  -4.67538,   2.50188, 308.98400,   1.75564,   2.49639,1012.12000, 294.57100,  82.95700, 270.20000,  -2.53119,  -3.22500, 323.03400, 323.18300, 326.01100, 308.15100,   8.13144,   9.37426,   2.33379,  -2.48517,  -1.60400, 322.46000, 323.14800, 326.21400, 308.09600,   8.02152,   9.89960,   2.42974, 270.00000,  -0.17287,   0.27510,9999.99000
 5079,07/07/2018 18:35:35,91,   0.37429,   0.00098,   0.00079, 307.40400, 307.34400,   0.00100, 302.78500, 298.75000,   0.00000,   0.00000,   0.00100,  24.32860,  12.07571,   8.04334,   4.99355,   3.28017,   2.47966,  -4.67595,   2.50183, 308.97400,   1.75647,   2.49634,1012.25000, 294.55600,  83.55000, 286.09000,  -2.84972,  -4.66400, 322.98800, 323.13200, 326.01900, 308.19700,   8.13136,   9.37560,   2.33740,  -2.50332,  -3.37400, 322.40800, 323.14000, 326.24100, 308.14000,   8.02152,   9.91689,   2.42991, 270.00000,  -0.12000,   0.26453,9999.99000
 5101,07/07/2018 18:40:29,91,   0.38483,   0.00184,   0.00107, 307.40000, 307.30000,   0.00200, 302.84100, 299.04300,   0.00100,   0.00000,   0.00100,  24.33085,  12.07608,   8.04260,   4.99413,   3.27990,   2.47976,  -4.67601,   2.50178, 308.96800,   1.75611,   2.49611,1012.22000, 294.51300,  83.83200, 286.12000,  -2.59426,  -3.61000, 322.99300, 323.16800, 326.03000, 308.26900,   8.13010,   9.37208,   2.33278,  -2.48863,  -3.46900, 322.42900, 323.14000, 326.22900, 308.24100,   8.02069,   9.89969,   2.43301, 270.00000,  -0.14115,   0.27510,9999.99000
 5123,07/07/2018 18:45:23,91,   0.37887,   0.00091,   0.00118, 307.40300, 307.32400,   0.00500, 302.93900, 299.14100,   0.00200,   0.00100,   0.00200,  24.32952,  12.07582,   8.04337,   4.99366,   3.28021,   2.47977,  -4.67571,   2.50187, 309.04300,   1.75635,   2.49637,1012.23000, 294.57100,  81.95300, 287.99000,  -3.08530,  -5.76200, 322.96300, 323.13500, 326.00300, 308.28700,   8.13144,   9.37376,   2.26198,  -2.56382,  -3.67000, 322.42400, 323.06900, 326.19400, 308.21000,   8.02001,   9.89977,   2.43058, 270.00000,  -0.15172,   0.29625,9999.99000
 5145,07/07/2018 18:50:16,91,   0.39123,   0.00227,   0.00068, 307.37200, 307.31900,   0.00100, 302.96500, 299.15800,   0.00700,   0.00100,   0.00000,  24.33006,  12.07503,   8.04277,   4.99333,   3.28005,   2.47954,  -4.67623,   2.50168, 309.05300,   1.75558,   2.49617,1012.13000, 294.62600,  81.91400, 288.39000,  -2.97816,  -5.47600, 323.00400, 323.16100, 326.00400, 308.31800,   8.13212,   9.39330,   2.33614,  -2.24059,  -2.35200, 322.43700, 323.15600, 326.25400, 308.29200,   8.02043,   9.90103,   2.43343, 270.00000,  -0.14115,   0.29625,9999.99000
 5167,07/07/2018 18:55:10,91,   0.39229,   0.00223,   0.00066, 307.40900, 307.32300,   0.00100, 302.99500, 299.23100,   0.00000,   0.00100,   0.00300,  24.32936,  12.07493,   8.04262,   4.99372,   3.27992,   2.47964,  -4.67653,   2.50169, 309.08500,   1.75563,   2.49607,1012.15000, 294.66900,  81.12800, 289.06000,  -3.17947,  -6.13400, 322.99500, 323.14900, 326.01900, 308.38000,   8.13220,   9.37510,   2.33362,  -1.92600,  -1.59700, 322.44800, 323.15500, 326.23300, 308.40000,   8.02035,   9.89877,   2.43343, 270.00000,  -0.14115,   0.27510,9999.99000
 5189,07/07/2018 19:00:05,91,   0.38893,   0.00216,   0.00059, 307.42200, 307.36900,   0.00000, 303.07200, 299.31200,   0.00100,   0.00200,   0.00000,  24.32795,  12.07564,   8.04330,   4.99386,   3.28016,   2.47969,  -4.67543,   2.50178, 309.14100,   1.75591,   2.49632,1012.17000, 294.66900,  80.44900, 286.97000,  -3.00523,  -5.33700, 323.01700, 323.15700, 326.03800, 308.43700,   8.13061,   9.37560,   2.34973,  -2.78651,  -4.52200, 322.44300, 323.19700, 326.22200, 308.42600,   8.02295,   9.89969,   2.43780, 270.00000,  -0.16230,   0.29625,9999.99000
 5211,07/07/2018 19:05:00,91,   0.36952,   0.00223,   0.00086, 307.48700, 307.39800,   0.00300, 303.04800, 299.07500,   0.00500,   0.00500,   0.00200,  24.33140,  12.07665,   8.04367,   4.99479,   3.28028,   2.48003,  -4.67431,   2.50202, 309.15700,   1.75611,   2.49635,1012.19000, 294.64200,  80.64000, 285.53000,  -2.62997,  -3.64600, 322.98200, 323.12100, 326.01700, 308.42900,   8.13178,   9.37325,   2.33622,  -1.80212,  -1.07600, 322.45100, 323.15600, 326.23300, 308.37000,   8.02001,   9.90053,   2.43276, 270.00000,  -0.15172,   0.30683,9999.99000
 5233,07/07/2018 19:09:55,91,   0.37704,   0.00096,   0.00082, 307.48100, 307.38800,   0.03400, 303.03300, 299.06500,   0.00300,   0.00100,   0.00100,  24.33101,  12.07634,   8.04319,   4.99425,   3.28010,   2.47995,  -4.67475,   2.50188, 309.15100,   1.75583,   2.49629,1012.16000, 294.64200,  80.28100, 286.64000,  -2.35551,  -2.76100, 323.00200, 323.12300, 326.02300, 308.37200,   8.13203,   9.37476,   2.32951,  -2.57160,  -3.65000, 322.47000, 323.13700, 326.20500, 308.38200,   8.02085,   9.91773,   2.42907, 270.00000,  -0.12000,   0.28568,9999.99000
 5255,07/07/2018 19:14:51,91,   0.36805,   0.00114,   0.00114, 307.46800, 307.38100,   0.00100, 303.02500, 299.01600,   0.00100,   0.00200,   0.00100,  24.32556,  12.07584,   8.04249,   4.99416,   3.27986,   2.47973,  -4.67582,   2.50174, 309.15100,   1.75636,   2.49608,1012.26000, 294.58300,  80.98800, 288.17000,  -2.66540,  -3.90100, 323.01200, 323.13700, 325.97800, 308.44000,   8.13027,   9.37560,   2.25670,  -2.85334,  -4.84400, 322.43800, 323.14300, 326.21600, 308.32800,   8.02018,   9.90002,   2.41371, 270.00000,  -0.15172,   0.28568,9999.99000
 5277,07/07/2018 19:19:47,91,   0.35918,   0.00121,   0.00105, 307.46300, 307.40800,   0.00400, 303.05800, 299.06400,   0.00100,   0.00200,   0.00900,  24.32467,  12.07506,   8.04271,   4.99406,   3.27995,   2.47952,  -4.67605,   2.50163, 309.19100,   1.75680,   2.49621,1012.31000, 294.52800,  81.68300, 288.26000,  -2.55711,  -3.37000, 323.02500, 323.15300, 325.99300, 308.44000,   8.13262,   9.37459,   2.33278,  -2.57448,  -3.78700, 322.44100, 323.19100, 326.24900, 308.39600,   8.01892,   9.90019,   2.43251, 270.00000,  -0.15172,   0.27510,9999.99000
 5299,07/07/2018 19:24:42,91,   0.36378,   0.00213,   0.00075, 307.52600, 307.44000,   0.00100, 303.08700, 299.16500,   0.00000,   0.00100,   0.00300,  24.33018,  12.07675,   8.04317,   4.99473,   3.28009,   2.47994,  -4.67462,   2.50193, 309.23800,   1.75620,   2.49633,1012.21000, 294.51300,  83.15200, 286.70000,  -3.16939,  -6.22000, 323.02300, 323.15400, 326.04600, 308.35100,   8.13102,   9.37367,   2.34361,  -2.38953,  -2.90600, 322.45700, 323.16700, 326.21800, 308.38200,   8.02203,   9.90070,   2.43276, 270.00000,  -0.14115,   0.31740,9999.99000
 5321,07/07/2018 19:29:36,91,   0.35438,   0.00207,   0.00080, 307.52500, 307.47600,   0.00400, 303.11200, 299.09700,   0.00400,   0.01000,   0.00400,  24.32878,  12.07593,   8.04332,   4.99413,   3.28026,   2.47972,  -4.67575,   2.50186, 309.29600,   1.75535,   2.49634,1012.08000, 294.48500,  81.21800, 285.99000,  -2.62133,  -3.69900, 322.96900, 323.11800, 326.03100, 308.48300,   8.13237,   9.39355,   2.33354,  -2.83894,  -4.78800, 322.42900, 323.11800, 326.18700, 308.41900,   8.02119,   9.89960,   2.43629, 270.00000,  -0.12000,   0.27510,9999.99000
 5343,07/07/2018 19:34:30,91,   0.36992,   0.00129,   0.00072, 307.55700, 307.49800,   0.00500, 303.10200, 299.13500,   0.00400,   0.00500,   0.00700,  24.33041,  12.07577,   8.04376,   4.99435,   3.28040,   2.47982,  -4.67459,   2.50198, 309.33100,   1.75575,   2.49644,1012.13000, 294.48500,  82.33900, 285.81000,  -3.04958,  -5.82800, 322.96100, 323.14300, 325.99000, 308.44300,   8.13337,   9.37367,   2.26693,  -2.27602,  -2.50800, 322.44800, 323.12600, 326.17600, 308.45800,   8.02236,   9.90078,   2.42907, 270.00000,  -0.15172,   0.25395,9999.99000
 5365,07/07/2018 19:39:24,91,   0.38398,   0.00159,   0.00068, 307.55800, 307.50700,   0.00000, 303.14300, 299.19400,   0.00000,   0.00000,   0.00200,  24.32867,  12.07507,   8.04268,   4.99403,   3.28006,   2.47952,  -4.67608,   2.50170, 309.33800,   1.75575,   2.49630,1012.15000, 294.43100,  83.30400, 280.91000,  -3.09537,  -5.82800, 323.00600, 323.16400, 326.01100, 308.43100,   8.12968,   9.37409,   2.33153,  -2.88561,  -5.18100, 322.40200, 323.14300, 326.22500, 308.48200,   8.01934,   9.89935,   2.43411, 270.00000,  -0.15172,   0.26453,9999.99000
 5387,07/07/2018 19:44:19,91,   0.37966,   0.00159,   0.00054, 307.62300, 307.53100,   0.00200, 303.15100, 299.22600,   0.00100,   0.00100,   0.00200,  24.32772,  12.07606,   8.04294,   4.99385,   3.28009,   2.47981,  -4.67512,   2.50184, 309.38000,   1.75633,   2.49623,1012.24000, 294.43100,  83.79200, 283.34000,  -3.05448,  -5.64600, 322.99100, 323.14200, 326.03300, 308.51700,   8.13329,   9.37510,   2.33950,  -2.40508,  -2.95300, 322.42600, 323.14000, 326.21300, 308.54200,   8.02144,   9.91731,   2.43016, 270.00000,  -0.14115,   0.27510,9999.99000
 5409,07/07/2018 19:49:14,91,   0.36135,   0.00169,   0.00088, 307.64400, 307.58900,   0.00200, 303.23600, 299.32700,   0.00000,   0.00200,   0.00000,  24.32900,  12.07580,   8.04321,   4.99378,   3.28026,   2.47963,  -4.67598,   2.50185, 309.44800,   1.75606,   2.49641,1012.18000, 294.41500,  84.81200, 280.30000,  -2.67144,  -4.19200, 323.04800, 323.18600, 326.03600, 308.53600,   8.13279,   9.37577,   2.33488,  -2.78737,  -4.65100, 322.42700, 323.16600, 326.22200, 308.53200,   8.01909,   9.91538,   2.43562, 270.00000,  -0.15172,   0.28568,9999.99000
 5431,07/07/2018 19:54:08,91,   0.37339,   0.00121,   0.00083, 307.71200, 307.61500,   0.00300, 303.26500, 299.37500,   0.00000,   0.00100,   0.00100,  24.32806,  12.07561,   8.04284,   4.99404,   3.28004,   2.47984,  -4.67544,   2.50183, 309.50500,   1.75649,   2.49622,1012.27000, 294.38800,  83.96000, 282.54000,  -2.50268,  -3.63000, 323.04000, 323.16100, 325.98700, 308.61100,   8.13128,   9.39381,   2.33295,  -2.34516,  -2.96100, 322.44600, 323.15500, 326.18400, 308.66400,   8.02144,   9.91471,   2.43008, 270.00000,  -0.18345,   0.29625,9999.99000
 5453,07/07/2018 19:59:03,91,   0.38755,   0.00202,   0.00114, 307.75000, 307.68300,   0.00200, 303.26800, 299.31500,   0.00300,   0.00300,   0.00300,  24.33103,  12.07578,   8.04355,   4.99432,   3.28032,   2.47981,  -4.67482,   2.50188, 309.56200,   1.75673,   2.49636,1012.29000, 294.43100,  83.69100, 279.77000,  -2.50498,  -3.40300, 323.01800, 323.13200, 326.04200, 308.69800,   8.13102,   9.37610,   2.33362,  -2.45003,  -3.38000, 322.47300, 323.14200, 326.25500, 308.64200,   8.02085,   9.89902,   2.43134, 270.00000,  -0.14115,   0.29625,9999.99000
 5475,07/07/2018 20:03:59,91,   0.39672,   0.00217,   0.00107, 307.80600, 307.71000,   0.00300, 303.26800, 299.31600,   0.00300,   0.00200,   0.00200,  24.33103,  12.07713,   8.04333,   4.99451,   3.28030,   2.48005,  -4.67485,   2.50201, 309.56500,   1.75645,   2.49638,1012.25000, 294.38800,  84.68300, 275.29000,  -2.59196,  -3.71600, 323.00900, 323.14200, 326.01100, 308.69900,   8.13161,   9.39146,   2.32800,  -2.41056,  -3.09500, 322.45200, 323.15100, 326.25700, 308.60500,   8.02052,   9.90153,   2.43360, 270.00000,  -0.18345,   0.28568,9999.99000
 5497,07/07/2018 20:08:53,91,   0.36166,   0.00186,   0.00100, 307.78500, 307.72400,   0.00200, 303.24300, 299.24800,   0.00300,   0.00200,   0.00300,  24.32821,  12.07616,   8.04278,   4.99397,   3.28009,   2.47971,  -4.67548,   2.50182, 309.54700,   1.75580,   2.49631,1012.15000, 294.33300,  84.44900, 266.38000,  -2.77771,  -4.43800, 323.00600, 323.17600, 326.06300, 308.64900,   8.12951,   9.37594,   2.33497,  -2.42381,  -3.23600, 322.43000, 323.14500, 326.21900, 308.66000,   8.02169,   9.91614,   2.43679, 270.00000,  -0.12000,   0.28568,9999.99000
 5519,07/07/2018 20:13:49,91,   0.35934,   0.00140,   0.00114, 307.80100, 307.74600,   0.00400, 303.22800, 299.18100,   0.00700,   0.00200,   0.00100,  24.32569,  12.07606,   8.04305,   4.99446,   3.28025,   2.47980,  -4.67569,   2.50180, 309.55600,   1.75613,   2.49642,1012.19000, 294.23200,  85.98400, 269.47000,  -3.22094,  -6.33200, 322.99300, 323.17000, 326.02000, 308.68300,   8.13119,   9.37459,   2.33522,  -2.23684,  -1.36700, 322.47000, 323.14700, 326.27100, 308.65700,   8.02127,   9.89944,   2.42874, 270.00000,  -0.16230,   0.25395,9999.99000
 5541,07/07/2018 20:18:43,91,   0.37372,   0.00142,   0.00102, 307.83000, 307.74600,   0.00300, 303.21700, 299.19100,   0.00200,   0.00000,   0.00100,  24.32821,  12.07558,   8.04322,   4.99415,   3.28027,   2.47979,  -4.67520,   2.50183, 309.58300,   1.75560,   2.49632,1012.12000, 294.20400,  85.76100, 275.33000,  -2.34111,  -2.66900, 323.01400, 323.13700, 326.00300, 308.60900,   8.13270,   9.37275,   2.35787,  -2.67070,  -4.44100, 322.41500, 323.13400, 326.22100, 308.68900,   8.02094,   9.91857,   2.43385, 270.00000,  -0.14115,   0.25395,9999.99000
 5563,07/07/2018 20:23:37,91,   0.37052,   0.00170,   0.00168, 307.83800, 307.76400,   0.00100, 303.22300, 299.16600,   0.00100,   0.00300,   0.00000,  24.32862,  12.07533,   8.04302,   4.99410,   3.28016,   2.47964,  -4.67538,   2.50174, 309.59100,   1.75698,   2.49630,1012.34000, 294.23200,  86.53500, 278.74000,  -2.62767,  -4.02300, 323.04000, 323.13400, 326.02800, 308.62800,   8.13237,   9.37199,   2.33203,  -1.92715,  -1.74700, 322.44600, 323.12600, 326.24800, 308.63200,   8.02136,   9.91563,   2.43243, 270.00000,  -0.15172,   0.30683,9999.99000
 5585,07/07/2018 20:28:31,91,   0.35571,   0.00148,   0.00066, 307.83600, 307.77800,   0.00000, 303.26100, 299.22400,   0.00000,   0.00100,   0.00200,  24.32490,  12.07556,   8.04276,   4.99387,   3.28008,   2.47967,  -4.67642,   2.50174, 309.60700,   1.75597,   2.49633,1012.18000, 294.26300,  88.18300, 274.74000,  -2.70716,  -4.29100, 323.00100, 323.14900, 326.03000, 308.70200,   8.13170,   9.37418,   2.34495,  -2.25816,  -2.57000, 322.45600, 323.15600, 326.23200, 308.66200,   8.02127,   9.90019,   2.43117, 270.00000,  -0.16230,   0.27510,9999.99000
 5607,07/07/2018 20:33:26,91,   0.37863,   0.00183,   0.00080, 307.87300, 307.80400,   0.00800, 303.30200, 299.33600,   0.00100,   0.00100,   0.00100,  24.32729,  12.07579,   8.04276,   4.99396,   3.28004,   2.47965,  -4.67537,   2.50172, 309.62000,   1.75651,   2.49622,1012.27000, 294.19200,  88.89000, 276.42000,  -3.09711,  -5.83800, 323.00200, 323.12900, 326.00900, 308.68300,   8.13245,   9.37527,   2.33169,  -2.57044,  -3.83400, 322.45100, 323.16900, 326.26700, 308.71300,   8.02186,   9.90028,   2.43360, 270.00000,  -0.14115,   0.31740,9999.99000
 5629,07/07/2018 20:38:20,91,   0.38707,   0.00150,   0.00060, 307.92200, 307.83200,   0.00700, 303.32700, 299.40000,   0.00500,   0.00500,   0.00400,  24.33119,  12.07619,   8.04368,   4.99405,   3.28025,   2.47998,  -4.67459,   2.50196, 309.67900,   1.75704,   2.49638,1012.34000, 294.19200,  88.39000, 276.56000,  -3.09221,  -5.79900, 322.99500, 323.12400, 326.07100, 308.76700,   8.13212,   9.37518,   2.35057,  -1.64224,  -0.78100, 322.45400, 323.12600, 326.24600, 308.77400,   8.02186,   9.89877,   2.43327, 270.00000,  -0.15172,   0.29625,9999.99000
 5651,07/07/2018 20:43:14,91,   0.37923,   0.00087,   0.00105, 307.91500, 307.83400,   0.00000, 303.25700, 299.11800,   0.00000,   0.00000,   0.00000,  24.32581,  12.07472,   8.04236,   4.99373,   3.27988,   2.47960,  -4.67661,   2.50161, 309.67500,   1.75684,   2.49625,1012.32000, 294.27500,  84.91400, 268.94000,  -2.79154,  -4.49300, 323.01200, 323.14900, 326.05700, 308.73600,   8.13128,   9.37359,   2.33832,  -2.44916,  -3.22700, 322.44000, 323.09600, 326.20500, 308.71000,   8.02278,   9.89969,   2.43436, 270.00000,  -0.16230,   0.30683,9999.99000
 5673,07/07/2018 20:48:08,91,   0.37145,   0.00193,   0.00057, 307.91600, 307.83700,   0.00300, 303.22300, 299.08600,   0.00100,   0.00000,   0.00300,  24.32541,  12.07606,   8.04250,   4.99450,   3.28000,   2.47980,  -4.67516,   2.50174, 309.62200,   1.75677,   2.49622,1012.31000, 294.20400,  87.79600, 273.78000,  -3.27134,  -6.82200, 322.98700, 323.11800, 326.00400, 308.74500,   8.13153,   9.37585,   2.33178,  -2.50130,  -3.70600, 322.46400, 323.17200, 326.22700, 308.63700,   8.02312,   9.89935,   2.43402, 270.00000,  -0.13057,   0.26453,9999.99000
 5695,07/07/2018 20:53:02,91,   0.37441,   0.00100,   0.00080, 307.91900, 307.82500,   0.00200, 303.21900, 299.12100,   0.00100,   0.00300,   0.00100,  24.32663,  12.07628,   8.04264,   4.99416,   3.27996,   2.47981,  -4.67567,   2.50181, 309.61000,   1.75757,   2.49622,1012.43000, 294.27500,  86.10900, 280.28000,  -2.91394,  -5.06800, 322.97600, 323.16100, 325.98700, 308.64100,   8.13027,   9.37501,   2.33497,  -2.12881,  -2.03000, 322.47500, 323.12100, 326.23600, 308.63200,   8.02169,   9.89944,   2.41632, 270.00000,  -0.14115,   0.29625,9999.99000
 5717,07/07/2018 20:57:56,91,   0.37836,   0.00169,   0.00056, 307.88900, 307.82900,   0.00300, 303.23600, 299.11300,   0.00200,   0.00500,   0.00700,  24.32846,  12.07597,   8.04347,   4.99438,   3.28035,   2.47982,  -4.67511,   2.50189, 309.60000,   1.75721,   2.49644,1012.36000, 294.33300,  86.04600, 287.02000,  -2.70572,  -4.42600, 323.01200, 323.16200, 326.00400, 308.61900,   8.13304,   9.37426,   2.34730,  -2.40969,  -3.46900, 322.40800, 323.14500, 326.26200, 308.61800,   8.02102,   9.89977,   2.42697, 270.00000,  -0.15172,   0.31740,9999.99000
 5739,07/07/2018 21:02:51,91,   0.38330,   0.00141,   0.00089, 307.86800, 307.79400,   0.00400, 303.15800, 299.06700,   0.01000,   0.00100,   0.00100,  24.32813,  12.07567,   8.04325,   4.99432,   3.28021,   2.47971,  -4.67566,   2.50186, 309.52400,   1.75632,   2.49631,1012.23000, 294.29000,  86.67500, 268.16000,  -2.69305,  -4.29300, 323.01000, 323.13400, 326.03800, 308.49100,   8.13253,   9.37451,   2.33807,  -2.02914,  -1.80000, 322.45400, 323.15300, 326.27100, 308.56400,   8.02228,   9.89918,   2.42991, 270.00000,  -0.15172,   0.28568,9999.99000
 5761,07/07/2018 21:07:45,91,   0.38761,   0.00202,   0.00056, 307.81900, 307.76000,   0.00000, 303.12400, 299.06700,   0.00100,   0.00000,   0.00000,  24.32750,  12.07576,   8.04322,   4.99424,   3.28022,   2.47969,  -4.67535,   2.50183, 309.45700,   1.75626,   2.49640,1012.21000, 294.26300,  86.03500, 277.96000,  -2.98334,  -5.45300, 322.97200, 323.17200, 326.04200, 308.54800,   8.13136,   9.37141,   2.33983,  -2.11009,  -1.86700, 322.45600, 323.12800, 326.23500, 308.50900,   8.02085,   9.89952,   2.42941, 270.00000,  -0.14115,   0.28568,9999.99000
