Record,DateTime,40,TambK,Rh,Presmb,TirK,Rain
     2,07/03/18 00:05:14,41, 300.3920,  88.6100, 998.8500, 278.3500,0
     4,07/03/18 00:05:53,41, 300.4200,  87.8600, 998.8500, 279.4100,0
     6,07/03/18 00:06:32,41, 300.3650,  87.9200, 998.8500, 286.3600,0
     8,07/03/18 00:07:11,41, 300.3650,  88.5700, 998.7500, 286.9500,0
    10,07/03/18 00:07:50,41, 300.4200,  88.2000, 998.7500, 283.3900,0
    12,07/03/18 00:10:08,41, 300.5330,  89.8800, 998.6500, 290.2700,0
    14,07/03/18 00:10:47,41, 300.4900,  88.4000, 998.7500, 290.2400,0
    16,07/03/18 00:11:26,41, 300.4900,  87.9400, 998.7500, 284.4800,0
    18,07/03/18 00:12:06,41, 300.4510,  87.9400, 998.6500, 286.0500,0
    20,07/03/18 00:12:45,41, 300.4200,  87.0000, 998.7500, 289.9000,0
    22,07/03/18 00:15:03,41, 300.4200,  88.3500, 998.6500, 291.9600,0
    24,07/03/18 00:15:41,41, 300.4200,  88.5700, 998.6500, 293.6500,0
    26,07/03/18 00:16:21,41, 300.4200,  87.8200, 998.6500, 292.7300,0
    28,07/03/18 00:17:00,41, 300.4510,  88.1300, 998.6500, 286.8600,0
    30,07/03/18 00:17:39,41, 300.4510,  88.7200, 998.5500, 292.0700,0
    32,07/03/18 00:19:57,41, 300.3380,  87.9400, 998.5500, 285.7300,0
    34,07/03/18 00:20:36,41, 300.3380,  88.1100, 998.5500, 290.0700,0
    36,07/03/18 00:21:15,41, 300.3650,  88.9300, 998.5500, 284.0600,0
    38,07/03/18 00:21:55,41, 300.3530,  88.1300, 998.5500, 285.3000,0
    40,07/03/18 00:22:35,41, 300.4510,  87.9700, 998.4500, 291.7800,0
    42,07/03/18 00:24:54,41, 300.4510,  87.9900, 998.5500, 288.4900,0
    44,07/03/18 00:25:33,41, 300.4350,  87.4600, 998.5500, 292.4300,0
    46,07/03/18 00:26:12,41, 300.4780,  87.8900, 998.4500, 293.2200,0
    48,07/03/18 00:26:51,41, 300.4900,  87.9500, 998.3500, 293.0700,0
    50,07/03/18 00:27:31,41, 300.5210,  87.6700, 998.4500, 291.8200,0
    52,07/03/18 00:29:48,41, 300.3220,  87.3100, 998.5500, 292.0400,0
    54,07/03/18 00:30:28,41, 300.2670,  87.0400, 998.3500, 293.8600,0
    56,07/03/18 00:31:07,41, 300.2670,  86.9700, 998.3500, 292.7300,0
    58,07/03/18 00:31:46,41, 300.2400,  87.4000, 998.4500, 293.5900,0
    60,07/03/18 00:32:26,41, 300.2130,  88.2600, 998.4500, 293.6800,0
    62,07/03/18 00:34:44,41, 300.1810,  87.2800, 998.3500, 292.2300,0
    64,07/03/18 00:35:23,41, 300.1810,  87.6700, 998.3500, 293.4600,0
    66,07/03/18 00:36:02,41, 300.2130,  87.8400, 998.3500, 293.6000,0
    68,07/03/18 00:36:41,41, 300.2130,  88.3900, 998.2500, 292.8300,0
    70,07/03/18 00:37:21,41, 300.2830,  88.6800, 998.2500, 291.6000,0
    72,07/03/18 00:39:39,41, 300.2950,  88.2500, 998.2500, 293.0800,0
    74,07/03/18 00:40:19,41, 300.3380,  88.3100, 998.3500, 293.2800,0
    76,07/03/18 00:41:02,41, 300.2950,  88.5900, 998.3500, 292.8600,0
    78,07/03/18 00:41:41,41, 300.3100,  87.9800, 998.3500, 289.5700,0
    80,07/03/18 00:42:20,41, 300.3920,  87.9900, 998.2500, 290.5900,0
    82,07/03/18 00:44:38,41, 300.4630,  87.0500, 998.2500, 291.1400,0
    84,07/03/18 00:45:17,41, 300.5330,  87.4600, 998.2500, 287.6600,0
    86,07/03/18 00:45:56,41, 300.4780,  87.0000, 998.2500, 291.3500,0
    88,07/03/18 00:46:35,41, 300.4630,  87.2700, 998.2500, 286.6100,0
    90,07/03/18 00:47:14,41, 300.5330,  87.1000, 998.2500, 293.1100,0
    92,07/03/18 00:49:32,41, 300.2950,  85.7000, 998.2500, 293.3300,0
    94,07/03/18 00:50:11,41, 300.2240,  85.5200, 998.2500, 293.6600,0
    96,07/03/18 00:50:50,41, 300.1420,  85.4700, 998.2500, 293.5500,0
    98,07/03/18 00:51:29,41, 300.1810,  87.1300, 998.2500, 293.4100,0
   100,07/03/18 00:52:08,41, 300.1540,  87.6400, 998.2500, 292.9300,0
   102,07/03/18 00:54:27,41, 300.1110,  87.5800, 998.1500, 288.7400,0
   104,07/03/18 00:55:06,41, 300.1420,  88.0700, 998.2500, 292.8600,0
   106,07/03/18 00:55:45,41, 300.1700,  88.5300, 998.1500, 293.6600,0
   108,07/03/18 00:56:24,41, 300.1110,  87.8500, 998.3500, 290.7700,0
   110,07/03/18 00:57:03,41, 300.1270,  88.9000, 998.1500, 293.8900,0
   112,07/03/18 00:59:20,41, 299.9590,  87.4300, 998.2500, 293.2600,0
   114,07/03/18 00:59:59,41, 300.0130,  87.6000, 998.1500, 293.5400,0
   116,07/03/18 01:00:38,41, 299.9590,  87.9500, 998.2500, 293.5000,0
   118,07/03/18 01:01:17,41, 299.9430,  88.3800, 998.0500, 292.9100,0
   120,07/03/18 01:01:57,41, 299.9430,  88.8400, 998.2500, 293.4200,0
   122,07/03/18 01:04:28,41, 299.9160,  88.8800, 998.1500, 293.9300,0
   124,07/03/18 01:05:07,41, 299.9160,  88.7000, 998.1500, 290.4400,0
   126,07/03/18 01:05:47,41, 299.9040,  88.5400, 998.0500, 293.8800,0
   128,07/03/18 01:06:26,41, 299.8880,  88.7700, 998.0500, 293.5500,0
   130,07/03/18 01:07:06,41, 299.9430,  89.1100, 998.1500, 294.1200,0
   132,07/03/18 01:09:24,41, 299.8180,  89.2900, 998.0500, 291.3600,0
   134,07/03/18 01:10:03,41, 299.8180,  88.9800, 998.0500, 288.9800,0
   136,07/03/18 01:10:43,41, 299.9040,  89.0600, 997.9500, 292.6700,0
   138,07/03/18 01:11:22,41, 299.9430,  89.1700, 997.9500, 293.1900,0
   140,07/03/18 01:12:01,41, 300.0130,  90.6300, 998.1500, 293.5200,0
   142,07/03/18 01:14:19,41, 299.9740,  88.2700, 998.0500, 292.1400,0
   144,07/03/18 01:14:59,41, 299.9860,  87.4900, 997.9500, 293.9300,0
   146,07/03/18 01:15:39,41, 299.9040,  86.9700, 997.9500, 293.1200,0
   148,07/03/18 01:16:18,41, 299.8450,  86.5800, 997.7500, 292.9500,0
   150,07/03/18 01:16:57,41, 299.8880,  87.5000, 997.9500, 293.5600,0
   152,07/03/18 01:19:15,41, 300.0020,  89.5200, 997.9500, 292.9200,0
   154,07/03/18 01:19:54,41, 300.0020,  89.2100, 997.8500, 292.4500,0
   156,07/03/18 01:20:33,41, 300.0130,  90.0000, 997.9500, 292.8500,0
   158,07/03/18 01:21:13,41, 300.0130,  89.2900, 997.9500, 291.2800,0
   160,07/03/18 01:21:54,41, 299.9590,  88.7500, 997.8500, 290.6200,0
   162,07/03/18 01:24:12,41, 299.9430,  89.0800, 997.9500, 293.5500,0
   164,07/03/18 01:24:51,41, 299.8880,  88.4900, 997.8500, 293.0000,0
   166,07/03/18 01:25:31,41, 299.8610,  89.0300, 997.8500, 293.3400,0
   168,07/03/18 01:26:09,41, 299.8060,  89.4800, 997.9500, 293.4900,0
   170,07/03/18 01:26:49,41, 299.8450,  90.9100, 997.8500, 293.4300,0
   172,07/03/18 01:29:06,41, 299.9160,  90.5600, 997.7500, 292.5100,0
   174,07/03/18 01:29:46,41, 299.9160,  90.9600, 997.7500, 293.4200,0
   176,07/03/18 01:30:25,41, 299.9160,  90.7900, 997.7500, 292.9900,0
   178,07/03/18 01:31:04,41, 299.9160,  90.2500, 997.7500, 291.9000,0
   180,07/03/18 01:31:43,41, 299.9430,  90.0500, 997.6500, 293.2200,0
   182,07/03/18 01:34:01,41, 299.8880,  89.4700, 997.5500, 293.4100,0
   184,07/03/18 01:34:40,41, 299.9740,  90.1900, 997.6500, 293.8300,0
   186,07/03/18 01:35:20,41, 299.9430,  89.8600, 997.4500, 286.8500,0
   188,07/03/18 01:35:59,41, 299.9590,  89.9700, 997.5500, 293.7200,0
   190,07/03/18 01:36:38,41, 299.9740,  90.6000, 997.5500, 293.4800,0
   192,07/03/18 01:38:55,41, 300.0020,  90.1100, 997.5500, 291.8700,0
   194,07/03/18 01:39:35,41, 299.9740,  89.6800, 997.4500, 292.9100,0
   196,07/03/18 01:40:14,41, 300.0410,  89.6400, 997.5500, 292.3900,0
   198,07/03/18 01:40:57,41, 300.0130,  89.7700, 997.4500, 292.5900,0
   200,07/03/18 01:41:36,41, 300.0130,  90.0100, 997.4500, 293.4200,0
   202,07/03/18 01:43:54,41, 300.0720,  87.5600, 997.3500, 293.8500,0
   204,07/03/18 01:44:33,41, 300.0840,  87.1800, 997.4500, 289.5400,0
   206,07/03/18 01:45:12,41, 300.1270,  86.9300, 997.4500, 292.3000,0
   208,07/03/18 01:45:52,41, 300.1420,  87.8800, 997.5500, 293.1100,0
   210,07/03/18 01:46:31,41, 300.1420,  88.1600, 997.4500, 288.6900,0
   212,07/03/18 01:48:49,41, 300.0560,  88.7400, 997.4500, 293.7000,0
   214,07/03/18 01:49:28,41, 300.0410,  88.5900, 997.3500, 293.1400,0
   216,07/03/18 01:50:08,41, 300.0410,  88.8800, 997.4500, 293.1200,0
   218,07/03/18 01:50:47,41, 300.0130,  89.1600, 997.3500, 294.0500,0
   220,07/03/18 01:51:26,41, 300.0130,  89.6400, 997.3500, 294.4600,0
   222,07/03/18 01:53:45,41, 300.0410,  89.0800, 997.3500, 292.7200,0
   224,07/03/18 01:54:24,41, 300.0410,  88.8500, 997.3500, 293.6800,0
   226,07/03/18 01:55:03,41, 300.0720,  89.2200, 997.2500, 289.6000,0
   228,07/03/18 01:55:43,41, 300.0990,  88.8400, 997.3500, 293.3500,0
   230,07/03/18 01:56:23,41, 300.0840,  89.2100, 997.2500, 294.1200,0
   232,07/03/18 01:58:41,41, 300.1970,  87.4500, 997.2500, 293.5300,0
   234,07/03/18 01:59:20,41, 300.2240,  87.1900, 997.2500, 293.6800,0
   236,07/03/18 01:59:59,41, 300.2830,  87.2200, 997.3500, 293.7400,0
   238,07/03/18 02:00:39,41, 300.3810,  87.9700, 997.1500, 293.6100,0
   240,07/03/18 02:01:18,41, 300.3100,  87.5600, 997.2500, 293.2200,0
   242,07/03/18 02:03:36,41, 300.3100,  88.0800, 997.2500, 293.8500,0
   244,07/03/18 02:04:15,41, 300.2240,  87.6000, 997.1500, 294.0700,0
   246,07/03/18 02:04:54,41, 300.2130,  88.0200, 997.1500, 293.9900,0
   248,07/03/18 02:05:34,41, 300.1970,  88.1600, 997.1500, 293.7200,0
   250,07/03/18 02:06:13,41, 300.1420,  87.5400, 997.0500, 294.0400,0
   252,07/03/18 02:08:31,41, 300.1270,  88.5700, 997.0500, 293.9200,0
   254,07/03/18 02:09:10,41, 300.0840,  88.0800, 997.1500, 293.9200,0
