Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/03/18 00:05:18,301,  5.884,  0.177,  3.500,
    25,07/03/18 00:05:57,301,  5.870,  0.211,  3.250,
    31,07/03/18 00:06:36,301,  5.795,  0.230,  2.000,
    37,07/03/18 00:07:15,301,  5.732,  0.267,  2.000,
    43,07/03/18 00:07:54,301,  5.852,  0.237,  2.750,
    49,07/03/18 00:10:12,301,  5.850,  0.331,  1.100,
    55,07/03/18 00:10:51,301,  5.814,  0.364,  1.200,
    61,07/03/18 00:11:30,301,  5.871,  0.261,  2.000,
    67,07/03/18 00:12:10,301,  5.862,  0.187,  2.000,
    73,07/03/18 00:12:49,301,  5.871,  0.226,  1.600,
    79,07/03/18 00:15:07,301,  5.932,  0.288,  0.900,
    85,07/03/18 00:15:45,301,  5.928,  0.539,  0.700,
    91,07/03/18 00:16:25,301,  5.897,  0.497,  0.900,
    97,07/03/18 00:17:04,301,  5.980,  0.387,  1.800,
   103,07/03/18 00:17:43,301,  5.869,  0.596,  1.200,
   109,07/03/18 00:20:01,301,  5.936,  0.305,  2.000,
   115,07/03/18 00:20:41,301,  5.915,  0.249,  1.500,
   121,07/03/18 00:21:19,301,  5.835,  0.230,  2.750,
   127,07/03/18 00:21:59,301,  5.855,  0.173,  2.500,
   133,07/03/18 00:22:39,301,  5.809,  0.233,  0.800,
   139,07/03/18 00:24:58,301,  5.807,  0.480,  1.500,
   145,07/03/18 00:25:37,301,  5.860,  0.831,  0.600,
   151,07/03/18 00:26:16,301,  5.887,  0.927,  0.500,
   157,07/03/18 00:26:55,301,  5.988,  0.971,  0.500,
   163,07/03/18 00:27:35,301,  6.079,  0.751,  1.000,
   169,07/03/18 00:29:52,301,  5.942,  0.944,  1.000,
   175,07/03/18 00:30:32,301,  5.964,  0.826,  0.600,
   181,07/03/18 00:31:11,301,  6.065,  0.594,  0.900,
   187,07/03/18 00:31:50,301,  5.935,  0.510,  0.900,
   193,07/03/18 00:32:30,301,  5.893,  0.578,  0.600,
   199,07/03/18 00:34:48,301,  5.919,  0.355,  0.900,
   205,07/03/18 00:35:27,301,  5.789,  0.504,  0.500,
   211,07/03/18 00:36:06,301,  5.990,  0.356,  0.800,
   217,07/03/18 00:36:45,301,  5.809,  0.378,  1.400,
   223,07/03/18 00:37:25,301,  5.954,  0.326,  1.300,
   229,07/03/18 00:39:43,301,  5.854,  0.584,  0.700,
   235,07/03/18 00:40:27,301,  5.993,  0.730,  0.800,
   241,07/03/18 00:41:06,301,  6.000,  0.681,  0.900,
   247,07/03/18 00:41:45,301,  5.986,  0.374,  1.400,
   253,07/03/18 00:42:24,301,  5.896,  0.211,  1.000,
