Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/06/18 00:05:19,301,  5.951,  1.213,  0.700,
    25,07/06/18 00:05:58,301,  6.001,  1.129,  0.600,
    31,07/06/18 00:06:37,301,  6.015,  1.127,  0.800,
    37,07/06/18 00:07:16,301,  5.970,  1.168,  0.700,
    43,07/06/18 00:07:55,301,  5.914,  1.215,  0.500,
    49,07/06/18 00:10:12,301,  6.075,  1.146,  0.800,
    55,07/06/18 00:10:52,301,  6.075,  1.061,  0.800,
    61,07/06/18 00:11:31,301,  6.048,  1.055,  1.000,
    67,07/06/18 00:12:10,301,  6.093,  0.997,  0.800,
    73,07/06/18 00:12:50,301,  6.061,  0.996,  0.500,
    79,07/06/18 00:15:08,301,  5.961,  1.001,  0.600,
    85,07/06/18 00:15:47,301,  5.958,  0.969,  1.000,
    91,07/06/18 00:16:26,301,  5.984,  0.937,  0.500,
    97,07/06/18 00:17:05,301,  5.939,  0.989,  0.400,
   103,07/06/18 00:17:44,301,  5.908,  1.075,  0.900,
   109,07/06/18 00:20:02,301,  5.956,  1.095,  0.600,
   115,07/06/18 00:20:42,301,  5.935,  0.922,  0.500,
   121,07/06/18 00:21:21,301,  5.944,  0.819,  0.900,
   127,07/06/18 00:22:01,301,  5.874,  0.799,  0.900,
   133,07/06/18 00:22:39,301,  5.948,  0.640,  0.900,
   139,07/06/18 00:24:57,301,  5.940,  0.536,  0.800,
   145,07/06/18 00:25:36,301,  5.879,  0.568,  0.600,
   151,07/06/18 00:26:15,301,  5.853,  0.530,  0.500,
   157,07/06/18 00:26:54,301,  5.802,  0.496,  0.800,
   163,07/06/18 00:27:34,301,  5.875,  0.376,  0.900,
   169,07/06/18 00:29:51,301,  5.808,  0.348,  0.700,
   175,07/06/18 00:30:31,301,  5.884,  0.289,  1.000,
   181,07/06/18 00:31:10,301,  5.797,  0.364,  0.450,
   187,07/06/18 00:31:49,301,  5.784,  0.422,  0.700,
