Record,DateTime,40,TambK,Rh,Presmb,TirK,Rain
     2,07/06/18 00:05:15,41, 296.7630,  97.9200,1005.9500, 291.7100,0
     4,07/06/18 00:05:54,41, 296.8060,  97.9200,1005.9500, 291.8400,0
     6,07/06/18 00:06:33,41, 296.7910,  97.9200,1005.9500, 291.7100,0
     8,07/06/18 00:07:12,41, 296.7910,  97.9200,1005.9500, 291.5600,0
    10,07/06/18 00:07:51,41, 296.8180,  97.9200,1005.9500, 291.7200,0
    12,07/06/18 00:10:08,41, 296.7790,  97.9200,1005.9500, 291.5200,0
    14,07/06/18 00:10:48,41, 296.7910,  97.9200,1005.9500, 291.5100,0
    16,07/06/18 00:11:27,41, 296.7480,  97.9200,1005.9500, 291.2600,0
    18,07/06/18 00:12:06,41, 296.7360,  97.9200,1005.9500, 291.5400,0
    20,07/06/18 00:12:45,41, 296.7360,  97.9200,1005.9500, 291.5900,0
    22,07/06/18 00:15:04,41, 296.6770,  97.9200,1005.9500, 291.9400,0
    24,07/06/18 00:15:43,41, 296.6230,  97.9200,1005.9500, 292.2900,0
    26,07/06/18 00:16:22,41, 296.6500,  97.9200,1005.8500, 292.4400,0
    28,07/06/18 00:17:01,41, 296.6070,  97.9200,1005.9500, 292.2200,0
    30,07/06/18 00:17:40,41, 296.5680,  97.9200,1005.8500, 291.9200,0
    32,07/06/18 00:19:58,41, 296.6500,  97.9200,1005.7500, 291.7000,0
    34,07/06/18 00:20:38,41, 296.6230,  97.9200,1005.7500, 291.8900,0
    36,07/06/18 00:21:17,41, 296.6070,  97.9200,1005.8500, 291.6300,0
    38,07/06/18 00:21:56,41, 296.6230,  97.9200,1005.7500, 291.6900,0
    40,07/06/18 00:22:35,41, 296.6230,  97.9200,1005.6500, 291.5300,0
    42,07/06/18 00:24:53,41, 296.6500,  97.9200,1005.6500, 291.8000,0
    44,07/06/18 00:25:32,41, 296.6770,  97.9200,1005.6500, 291.5200,0
    46,07/06/18 00:26:11,41, 296.6660,  97.9200,1005.6500, 291.7800,0
    48,07/06/18 00:26:50,41, 296.6770,  97.9200,1005.6500, 291.6400,0
    50,07/06/18 00:27:30,41, 296.6660,  97.9200,1005.6500, 291.5800,0
    52,07/06/18 00:29:48,41, 296.8180,  97.9200,1005.6500, 290.7900,0
    54,07/06/18 00:30:27,41, 296.8180,  97.9200,1005.7500, 291.2200,0
    56,07/06/18 00:31:06,41, 296.8490,  97.9200,1005.6500, 291.8900,0
