Record,DateTime,200,TambK,Rh,Presmb,TirK,Rain
    14,07/13/18 00:05:15,201, 304.2200,  70.8100,1013.6500, 258.6400,0
    20,07/13/18 00:05:54,201, 304.3880,  69.5200,1013.7500, 258.6100,0
    26,07/13/18 00:06:33,201, 304.5840,  68.1500,1013.6500, 257.6200,0
    32,07/13/18 00:07:12,201, 304.8650,  67.8200,1013.6500, 258.0000,0
    38,07/13/18 00:07:51,201, 305.1150,  66.3200,1013.7500, 260.3000,0
    44,07/13/18 00:10:09,201, 305.2010,  65.5200,1013.6500, 258.8600,0
    50,07/13/18 00:10:49,201, 305.1030,  66.1500,1013.6500, 259.3300,0
    56,07/13/18 00:11:28,201, 305.3690,  68.0500,1013.7500, 259.6400,0
    62,07/13/18 00:12:08,201, 305.5920,  67.4200,1013.7500, 260.0100,0
    68,07/13/18 00:12:47,201, 305.5210,  63.9100,1013.6500, 258.4000,0
    74,07/13/18 00:15:05,201, 305.2010,  64.4700,1013.7500, 261.6000,0
    80,07/13/18 00:15:46,201, 305.4390,  66.1500,1013.6500, 265.4300,0
    86,07/13/18 00:16:25,201, 305.6890,  65.6800,1013.6500, 270.9400,0
    92,07/13/18 00:17:04,201, 305.9000,  64.8600,1013.6500, 284.2500,0
    98,07/13/18 00:17:43,201, 305.9430,  64.4000,1013.6500, 259.2800,0
   104,07/13/18 00:20:01,201, 306.0840,  64.2300,1013.6500, 281.5700,0
   110,07/13/18 00:20:40,201, 306.1660,  64.0400,1013.6500, 278.7000,0
   116,07/13/18 00:21:19,201, 306.2360,  63.3200,1013.6500, 267.0500,0
   122,07/13/18 00:21:58,201, 306.3770,  63.6100,1013.5500, 269.4500,0
   128,07/13/18 00:22:38,201, 306.3650,  63.5300,1013.7500, 276.3600,0
   134,07/13/18 00:24:56,201, 306.1540,  61.7800,1013.5500, 262.5500,0
   140,07/13/18 00:25:35,201, 306.2360,  63.5200,1013.6500, 258.4700,0
   146,07/13/18 00:26:14,201, 306.1270,  64.9300,1013.6500, 259.2900,0
   152,07/13/18 00:26:54,201, 305.9430,  64.1200,1013.6500, 268.2500,0
   158,07/13/18 00:27:33,201, 305.7480,  64.2800,1013.6500, 276.3400,0
   164,07/13/18 00:29:51,201, 305.9000,  63.8300,1013.6500, 282.5900,0
   170,07/13/18 00:30:31,201, 305.7200,  63.0900,1013.6500, 291.1600,0
   176,07/13/18 00:31:10,201, 305.5800,  64.2100,1013.7500, 293.3000,0
   182,07/13/18 00:31:49,201, 305.7200,  64.4400,1013.5500, 293.2000,0
   188,07/13/18 00:32:29,201, 305.7200,  64.7400,1013.5500, 293.9500,0
   194,07/13/18 00:34:47,201, 305.7750,  65.1800,1013.6500, 289.1800,0
   200,07/13/18 00:35:26,201, 305.6230,  65.1900,1013.5500, 292.9500,0
   206,07/13/18 00:36:05,201, 305.5100,  65.0600,1013.6500, 288.4300,0
   212,07/13/18 00:36:44,201, 305.7050,  64.6300,1013.6500, 259.0200,0
   218,07/13/18 00:37:24,201, 305.7480,  65.0000,1013.6500, 258.0900,0
   224,07/13/18 00:39:41,201, 305.2830,  65.7300,1013.5500, 261.2300,0
   230,07/13/18 00:40:21,201, 305.5210,  65.8600,1013.6500, 256.5900,0
   236,07/13/18 00:41:00,201, 305.6500,  64.5200,1013.5500, 258.1200,0
   242,07/13/18 00:41:39,201, 305.7480,  63.7300,1013.5500, 257.0000,0
   248,07/13/18 00:42:18,201, 305.8730,  62.3800,1013.4500, 256.5100,0
   254,07/13/18 00:44:36,201, 306.2090,  61.0100,1013.5500, 259.3200,0
   260,07/13/18 00:45:16,201, 306.2790,  61.5300,1013.6500, 269.0300,0
   266,07/13/18 00:45:55,201, 306.3060,  61.7800,1013.5500, 258.1700,0
   272,07/13/18 00:46:34,201, 306.2670,  60.9200,1013.5500, 257.4000,0
   278,07/13/18 00:47:13,201, 306.2790,  60.2500,1013.4500, 267.4100,0
   284,07/13/18 00:49:31,201, 306.4900,  61.9900,1013.4500, 257.4400,0
   290,07/13/18 00:50:10,201, 306.5450,  62.3700,1013.4500, 257.0900,0
   296,07/13/18 00:50:50,201, 306.5600,  60.9300,1013.4500, 256.9800,0
   302,07/13/18 00:51:30,201, 306.6150,  61.0500,1013.5500, 257.2200,0
   308,07/13/18 00:52:09,201, 306.6850,  60.8800,1013.4500, 257.5700,0
   314,07/13/18 00:54:27,201, 306.8960,  60.4900,1013.4500, 257.8300,0
   320,07/13/18 00:55:06,201, 307.0210,  60.9000,1013.4500, 257.0400,0
   326,07/13/18 00:55:46,201, 306.6850,  58.9600,1013.4500, 256.5100,0
