Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,07/13/2018 00:04:33,11, 22.000,0, 0.990420,  -522821.18,  0.55631077E+02, -0.11298425E+01,  0.55395653E-02, -0.79484273E-05, 202.52
     2,07/13/2018 00:04:33,11, 22.234,0, 0.998330,  -526099.25, -0.58891494E+03,  0.61485492E+01, -0.21463852E-01,  0.25050048E-04, 201.80
     3,07/13/2018 00:04:33,11, 22.500,0, 0.998550,  -497896.31, -0.30719799E+02,  0.33228168E+00, -0.14761064E-02,  0.23985674E-05, 194.66
     4,07/13/2018 00:04:33,11, 23.000,0, 0.999350,  -491340.93, -0.26834972E+02,  0.23040528E+00, -0.69130142E-03,  0.74442946E-06, 164.51
     5,07/13/2018 00:04:33,11, 23.034,0, 0.998920,  -471854.14,  0.34570782E+03, -0.35843588E+01,  0.12177431E-01, -0.13545685E-04, 161.93
     6,07/13/2018 00:04:33,11, 23.500,0, 0.998000,  -458488.50, -0.18654943E+03,  0.19420094E+01, -0.67472235E-02,  0.78235354E-05, 139.23
     7,07/13/2018 00:04:33,11, 23.834,0, 0.998760,  -443142.39, -0.70008956E+03,  0.71579588E+01, -0.24371814E-01,  0.27633403E-04, 125.74
     8,07/13/2018 00:04:33,11, 24.000,0, 0.998930,  -425806.91, -0.78894634E+02,  0.79464585E+00, -0.27313362E-02,  0.32044246E-05, 121.57
     9,07/13/2018 00:04:33,11, 24.500,0, 0.996100,  -420555.62, -0.24482681E+03,  0.25028537E+01, -0.85575056E-02,  0.97866030E-05, 112.93
    10,07/13/2018 00:04:33,11, 25.000,0, 0.997900,  -419212.37, -0.21760618E+03,  0.22018348E+01, -0.74555551E-02,  0.84499679E-05, 111.01
    11,07/13/2018 00:04:33,11, 25.500,0, 0.996590,  -350355.50, -0.67040129E+02,  0.56843600E+00, -0.16372826E-02,  0.16355388E-05, 115.69
    12,07/13/2018 00:04:33,11, 26.000,0, 0.997270,  -405048.28,  0.37139994E+01, -0.13398144E+00,  0.69118214E-03, -0.94254786E-06, 135.47
    13,07/13/2018 00:04:33,11, 26.234,0, 0.998570,  -362499.16, -0.19960195E+03,  0.20529035E+01, -0.70823139E-02,  0.81956017E-05, 137.80
    14,07/13/2018 00:04:33,11, 26.500,0, 0.999160,  -381022.94, -0.11743274E+03,  0.11850354E+01, -0.40048155E-02,  0.45339070E-05, 136.17
    15,07/13/2018 00:04:33,11, 27.000,0, 0.997780,  -365182.85, -0.89628384E+02,  0.85141332E+00, -0.27462610E-02,  0.30209960E-05, 126.25
    16,07/13/2018 00:04:33,11, 27.500,0, 0.997640,  -342718.22, -0.46312602E+02,  0.45109653E+00, -0.15122384E-02,  0.17497174E-05, 113.23
    17,07/13/2018 00:04:33,11, 28.000,0, 0.998550,  -387690.38, -0.11710820E+03,  0.12131660E+01, -0.41884467E-02,  0.48193212E-05, 112.69
    18,07/13/2018 00:04:33,11, 28.500,0, 0.996380,  -378648.46, -0.11704098E+03,  0.11771544E+01, -0.39762234E-02,  0.45129605E-05,  96.42
    19,07/13/2018 00:04:33,11, 29.000,0, 0.996600,  -370650.60, -0.80617683E+02,  0.82249638E+00, -0.28337851E-02,  0.32971856E-05,  84.56
    20,07/13/2018 00:04:33,11, 29.500,0, 0.996140,  -381985.85, -0.12757593E+03,  0.12837891E+01, -0.43448930E-02,  0.49482388E-05, 103.93
    21,07/13/2018 00:04:33,11, 30.000,0, 0.998090,  -485519.98, -0.17352383E+03,  0.17292957E+01, -0.58248531E-02,  0.66381658E-05, 153.41
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    22,07/13/2018 00:09:34,31,315.587, 201.283, 0.999777, 193.754, 0.994524, 190.523, 0.999828, 162.888, 0.999902, 159.052, 0.999913, 137.835, 0.999881, 124.526, 0.999910, 121.168, 1.000000, 111.764, 0.999791, 110.598, 0.999904, 115.019, 0.999585, 134.649, 0.999808, 137.088, 0.999831, 136.023, 0.999884, 125.558, 0.999764, 112.647, 0.999802, 112.017, 0.999768,  95.885, 0.999785,  84.083, 0.999975, 103.831, 0.999747, 152.265, 0.999858
    23,07/13/2018 00:14:30,31,315.702, 199.515, 0.999784, 168.637, 0.919440, 189.629, 0.999648, 161.528, 0.999862, 158.280, 0.999793, 137.445, 0.999880, 123.770, 0.999731, 121.168, 1.000000, 111.388, 0.999874, 110.260, 0.999986, 114.397, 0.999862, 134.385, 0.999938, 136.482, 0.999886, 135.312, 0.999873, 125.037, 0.999875, 112.244, 0.999745, 111.463, 0.999847,  95.577, 0.999702,  83.726, 0.999944, 103.535, 0.999908, 151.577, 0.999931
    24,07/13/2018 00:19:26,31,315.840, 200.071, 0.999658, 194.192, 0.993043, 189.765, 0.999832, 161.740, 0.999830, 158.012, 0.999786, 137.090, 0.999850, 123.748, 0.999804, 121.349, 1.000000, 111.230, 0.999604, 109.990, 0.999774, 114.634, 0.999351, 134.386, 0.999604, 136.342, 0.999524, 135.393, 0.999726, 125.218, 0.999688, 112.384, 0.999889, 111.571, 0.999883,  95.562, 0.999922,  83.681, 0.999811, 103.410, 0.999695, 151.383, 0.999736
    25,07/13/2018 00:24:21,31,315.975, 200.379, 0.999385, 200.226, 0.999369, 190.841, 0.999723, 162.782, 0.999757, 158.940, 0.999610, 138.290, 0.999622, 124.083, 0.999708, 121.851, 1.000000, 111.598, 0.999406, 110.493, 0.999476, 114.874, 0.998786, 134.809, 0.999022, 136.800, 0.999217, 135.848, 0.999433, 125.244, 0.999255, 112.805, 0.999713, 112.180, 0.999546,  95.703, 0.999791,  84.065, 0.999312, 103.733, 0.998997, 152.016, 0.999251
    26,07/13/2018 00:29:16,31,316.127, 199.623, 0.999326, 193.708, 0.990960, 190.176, 0.999734, 161.881, 0.999651, 159.516, 0.999433, 137.903, 0.999419, 123.695, 0.999634, 120.907, 1.000000, 111.252, 0.999012, 110.096, 0.999138, 114.736, 0.998409, 134.506, 0.998684, 136.631, 0.998758, 135.449, 0.998804, 125.360, 0.998583, 112.853, 0.998393, 111.694, 0.998686,  95.610, 0.999224,  84.040, 0.998722, 103.450, 0.998170, 151.884, 0.998693
    27,07/13/2018 00:34:12,31,316.227, 199.598, 0.999726, 198.768, 0.999265, 189.318, 0.999869, 161.369, 0.999957, 157.664, 0.999898, 136.780, 0.999835, 123.630, 0.999874, 120.238, 1.000000, 110.991, 0.999807, 110.176, 0.999725, 114.545, 0.999410, 134.230, 0.999581, 136.440, 0.999558, 135.187, 0.999604, 125.055, 0.999641, 112.311, 0.999804, 111.542, 0.999811,  95.567, 0.999704,  83.724, 0.999735, 103.357, 0.999554, 151.626, 0.999841
    28,07/13/2018 00:39:07,31,316.344, 198.635, 0.999585, 192.459, 0.991783, 188.399, 0.999694, 160.568, 0.999774, 157.447, 0.999704, 136.661, 0.999685, 123.139, 0.999756, 119.632, 1.000000, 110.620, 0.999405, 109.868, 0.999343, 114.113, 0.998718, 133.889, 0.999109, 135.837, 0.998998, 134.725, 0.999216, 124.665, 0.999100, 111.768, 0.999256, 111.139, 0.999409,  95.200, 0.999654,  83.443, 0.999346, 103.155, 0.998534, 151.100, 0.998747
    29,07/13/2018 00:44:01,31,316.428, 198.244, 0.999671, 188.546, 0.986144, 188.151, 0.999400, 160.314, 0.999473, 156.701, 0.999468, 136.221, 0.999632, 122.847, 0.999585, 120.324, 1.000000, 110.574, 0.999523, 109.291, 0.999804, 114.000, 0.999481, 133.639, 0.999764, 135.921, 0.999709, 134.714, 0.999516, 124.579, 0.999734, 111.862, 0.999578, 111.049, 0.999766,  95.208, 0.999728,  83.480, 0.999774, 103.001, 0.999766, 151.230, 0.999595
    30,07/13/2018 00:48:56,31,316.526, 199.538, 0.999784, 193.585, 0.993711, 189.002, 0.999650, 161.105, 0.999687, 158.263, 0.999806, 137.239, 0.999785, 123.240, 0.999767, 120.535, 1.000000, 111.194, 0.999757, 109.890, 0.999931, 114.579, 0.999604, 134.220, 0.999740, 136.313, 0.999781, 135.278, 0.999813, 125.234, 0.999778, 112.308, 0.999908, 111.615, 0.999805,  95.572, 0.999893,  83.729, 0.999944, 103.540, 0.999758, 151.943, 0.999905
