Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,07/17/2018 00:04:32,11, 22.000,0, 0.990420,  -522821.18,  0.55631077E+02, -0.11298425E+01,  0.55395653E-02, -0.79484273E-05, 202.52
     2,07/17/2018 00:04:32,11, 22.234,0, 0.998330,  -526099.25, -0.58891494E+03,  0.61485492E+01, -0.21463852E-01,  0.25050048E-04, 201.80
     3,07/17/2018 00:04:32,11, 22.500,0, 0.998550,  -497896.31, -0.30719799E+02,  0.33228168E+00, -0.14761064E-02,  0.23985674E-05, 194.66
     4,07/17/2018 00:04:32,11, 23.000,0, 0.999350,  -491340.93, -0.26834972E+02,  0.23040528E+00, -0.69130142E-03,  0.74442946E-06, 164.51
     5,07/17/2018 00:04:32,11, 23.034,0, 0.998920,  -471854.14,  0.34570782E+03, -0.35843588E+01,  0.12177431E-01, -0.13545685E-04, 161.93
     6,07/17/2018 00:04:32,11, 23.500,0, 0.998000,  -458488.50, -0.18654943E+03,  0.19420094E+01, -0.67472235E-02,  0.78235354E-05, 139.23
     7,07/17/2018 00:04:32,11, 23.834,0, 0.998760,  -443142.39, -0.70008956E+03,  0.71579588E+01, -0.24371814E-01,  0.27633403E-04, 125.74
     8,07/17/2018 00:04:32,11, 24.000,0, 0.998930,  -425806.91, -0.78894634E+02,  0.79464585E+00, -0.27313362E-02,  0.32044246E-05, 121.57
     9,07/17/2018 00:04:32,11, 24.500,0, 0.996100,  -420555.62, -0.24482681E+03,  0.25028537E+01, -0.85575056E-02,  0.97866030E-05, 112.93
    10,07/17/2018 00:04:32,11, 25.000,0, 0.997900,  -419212.37, -0.21760618E+03,  0.22018348E+01, -0.74555551E-02,  0.84499679E-05, 111.01
    11,07/17/2018 00:04:32,11, 25.500,0, 0.996590,  -350355.50, -0.67040129E+02,  0.56843600E+00, -0.16372826E-02,  0.16355388E-05, 115.69
    12,07/17/2018 00:04:32,11, 26.000,0, 0.997270,  -405048.28,  0.37139994E+01, -0.13398144E+00,  0.69118214E-03, -0.94254786E-06, 135.47
    13,07/17/2018 00:04:32,11, 26.234,0, 0.998570,  -362499.16, -0.19960195E+03,  0.20529035E+01, -0.70823139E-02,  0.81956017E-05, 137.80
    14,07/17/2018 00:04:32,11, 26.500,0, 0.999160,  -381022.94, -0.11743274E+03,  0.11850354E+01, -0.40048155E-02,  0.45339070E-05, 136.17
    15,07/17/2018 00:04:32,11, 27.000,0, 0.997780,  -365182.85, -0.89628384E+02,  0.85141332E+00, -0.27462610E-02,  0.30209960E-05, 126.25
    16,07/17/2018 00:04:32,11, 27.500,0, 0.997640,  -342718.22, -0.46312602E+02,  0.45109653E+00, -0.15122384E-02,  0.17497174E-05, 113.23
    17,07/17/2018 00:04:32,11, 28.000,0, 0.998550,  -387690.38, -0.11710820E+03,  0.12131660E+01, -0.41884467E-02,  0.48193212E-05, 112.69
    18,07/17/2018 00:04:32,11, 28.500,0, 0.996380,  -378648.46, -0.11704098E+03,  0.11771544E+01, -0.39762234E-02,  0.45129605E-05,  96.42
    19,07/17/2018 00:04:32,11, 29.000,0, 0.996600,  -370650.60, -0.80617683E+02,  0.82249638E+00, -0.28337851E-02,  0.32971856E-05,  84.56
    20,07/17/2018 00:04:32,11, 29.500,0, 0.996140,  -381985.85, -0.12757593E+03,  0.12837891E+01, -0.43448930E-02,  0.49482388E-05, 103.93
    21,07/17/2018 00:04:32,11, 30.000,0, 0.998090,  -485519.98, -0.17352383E+03,  0.17292957E+01, -0.58248531E-02,  0.66381658E-05, 153.41
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    22,07/17/2018 00:09:33,31,316.925, 198.277, 0.999800, 198.745, 0.999586, 189.124, 0.999742, 160.777, 0.999812, 157.611, 0.999776, 136.666, 0.999786, 123.370, 0.999800, 119.657, 1.000000, 110.961, 0.999637, 109.903, 0.999910, 114.293, 0.999415, 134.052, 0.999776, 136.336, 0.999867, 135.088, 0.999683, 125.124, 0.999797, 112.139, 0.999922, 111.495, 0.999851,  95.547, 0.999782,  83.747, 0.999920, 103.412, 0.999698, 151.605, 0.999808
    23,07/17/2018 00:14:28,31,317.082, 198.847, 0.999794, 199.454, 0.999737, 189.030, 0.999802, 161.296, 0.999846, 157.897, 0.999819, 137.035, 0.999877, 123.240, 0.999767, 119.520, 1.000000, 111.012, 0.999722, 109.833, 0.999878, 114.305, 0.999734, 134.094, 0.999865, 136.123, 0.999765, 135.275, 0.999740, 124.988, 0.999797, 112.258, 0.999793, 111.461, 0.999872,  95.440, 0.999878,  83.662, 0.999961, 103.255, 0.999680, 151.750, 0.999888
    24,07/17/2018 00:19:23,31,317.275, 199.739, 0.999751, 199.930, 0.999690, 189.057, 0.999867, 161.380, 0.999886, 157.947, 0.999831, 136.869, 0.999841, 123.590, 0.999920, 119.150, 1.000000, 110.944, 0.999755, 109.973, 0.999840, 114.485, 0.999372, 134.299, 0.999627, 136.418, 0.999610, 135.305, 0.999554, 125.117, 0.999576, 112.373, 0.999864, 111.705, 0.999772,  95.700, 0.999800,  83.790, 0.999678, 103.222, 0.999425, 151.594, 0.999736
    25,07/17/2018 00:24:18,31,317.453, 198.999, 0.999671, 199.571, 0.999437, 188.756, 0.999599, 161.140, 0.999742, 157.524, 0.999679, 136.814, 0.999524, 123.189, 0.999696, 119.781, 1.000000, 111.018, 0.999559, 109.658, 0.999509, 114.367, 0.998936, 134.001, 0.999466, 136.234, 0.999227, 135.188, 0.999341, 124.954, 0.999376, 112.210, 0.999806, 111.565, 0.999762,  95.429, 0.999893,  83.740, 0.999721, 103.261, 0.999449, 151.627, 0.999524
    26,07/17/2018 00:29:14,31,317.609, 198.716, 0.999611, 198.996, 0.999511, 189.016, 0.999538, 161.119, 0.999814, 157.725, 0.999686, 136.595, 0.999778, 123.419, 0.999762, 119.361, 1.000000, 110.959, 0.999562, 109.940, 0.999710, 114.280, 0.999014, 134.079, 0.999457, 136.222, 0.999544, 135.051, 0.999488, 125.027, 0.999600, 111.942, 0.999702, 111.561, 0.999442,  95.654, 0.999644,  83.583, 0.999591, 103.202, 0.999433, 151.463, 0.999456
    27,07/17/2018 00:34:09,31,317.738, 199.564, 0.999633, 199.481, 0.999507, 189.907, 0.999852, 161.290, 0.999883, 158.026, 0.999742, 136.997, 0.999763, 123.528, 0.999819, 120.271, 1.000000, 111.023, 0.999440, 109.919, 0.999661, 114.438, 0.999398, 134.217, 0.999558, 136.316, 0.999316, 135.415, 0.999104, 125.196, 0.999344, 112.268, 0.999540, 111.478, 0.999482,  95.568, 0.999505,  83.753, 0.999550, 103.424, 0.999153, 151.559, 0.999447
    28,07/17/2018 00:39:06,31,317.859, 199.278, 0.999709, 198.720, 0.999727, 189.205, 0.999786, 160.948, 0.999844, 157.780, 0.999818, 136.708, 0.999678, 123.513, 0.999854, 119.521, 1.000000, 111.148, 0.999722, 109.921, 0.999704, 114.442, 0.999430, 133.984, 0.999656, 136.236, 0.999632, 135.250, 0.999677, 124.915, 0.999797, 112.117, 0.999873, 111.472, 0.999780,  95.684, 0.999882,  83.817, 0.999824, 103.223, 0.999696, 151.668, 0.999763
    29,07/17/2018 00:44:01,31,317.966, 200.077, 0.999408, 200.610, 0.999431, 190.249, 0.999734, 162.111, 0.999913, 158.405, 0.999818, 137.702, 0.999739, 123.984, 0.999871, 120.091, 1.000000, 111.565, 0.999488, 110.037, 0.999505, 114.635, 0.999183, 134.558, 0.999241, 136.557, 0.999323, 135.451, 0.999352, 125.266, 0.999237, 112.314, 0.999687, 111.743, 0.999546,  95.661, 0.999676,  83.985, 0.999632, 103.482, 0.999166, 151.768, 0.999364
    30,07/17/2018 00:48:57,31,318.100, 199.954, 0.999343, 199.954, 0.999371, 190.235, 0.999742, 161.835, 0.999766, 158.349, 0.999704, 137.447, 0.999659, 123.964, 0.999896, 119.805, 1.000000, 111.310, 0.999474, 110.266, 0.999495, 114.565, 0.998882, 134.448, 0.999332, 136.467, 0.999089, 135.297, 0.999450, 125.292, 0.999032, 112.356, 0.999519, 111.862, 0.999283,  95.605, 0.999317,  83.977, 0.999346, 103.579, 0.999261, 151.640, 0.999358
