Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/10/18 00:05:19,301,  4.599,  0.220,  1.000,
    25,07/10/18 00:05:59,301,  4.629,  0.180,  0.900,
    31,07/10/18 00:06:40,301,  4.583,  0.173,  0.450,
    37,07/10/18 00:07:19,301,  4.671,  0.101,  0.350,
    43,07/10/18 00:07:58,301,  4.622,  0.136,  1.100,
    49,07/10/18 00:10:16,301,  4.705,  0.103,  0.500,
    55,07/10/18 00:10:55,301,  4.579,  0.200,  0.500,
    61,07/10/18 00:11:34,301,  4.656,  0.139,  0.450,
    67,07/10/18 00:12:14,301,  4.688,  0.131,  0.900,
    73,07/10/18 00:12:53,301,  4.653,  0.163,  0.400,
    79,07/10/18 00:15:10,301,  4.653,  0.181,  0.350,
    85,07/10/18 00:15:49,301,  4.598,  0.219,  0.500,
    91,07/10/18 00:16:28,301,  4.698,  0.130,  0.400,
    97,07/10/18 00:17:07,301,  4.659,  0.152,  0.800,
   103,07/10/18 00:17:47,301,  4.641,  0.203,  0.900,
   109,07/10/18 00:20:09,301,  4.686,  0.175,  1.600,
   115,07/10/18 00:20:49,301,  4.701,  0.171,  1.400,
   121,07/10/18 00:21:30,301,  4.801,  0.090,  1.600,
   127,07/10/18 00:22:10,301,  4.708,  0.143,  1.300,
   133,07/10/18 00:22:49,301,  4.771,  0.127,  1.100,
   139,07/10/18 00:25:07,301,  4.764,  0.140,  2.000,
   145,07/10/18 00:25:46,301,  4.762,  0.117,  1.700,
   151,07/10/18 00:26:25,301,  4.696,  0.176,  2.250,
   157,07/10/18 00:27:05,301,  4.701,  0.162,  2.000,
   163,07/10/18 00:27:44,301,  4.760,  0.121,  3.000,
   169,07/10/18 00:30:01,301,  4.704,  0.218,  1.000,
   175,07/10/18 00:30:41,301,  4.829,  0.097,  1.300,
   181,07/10/18 00:31:21,301,  4.788,  0.160,  1.100,
   187,07/10/18 00:32:00,301,  4.690,  0.238,  1.900,
   193,07/10/18 00:32:39,301,  4.857,  0.131,  1.400,
   199,07/10/18 00:34:58,301,  4.724,  0.254,  0.900,
   205,07/10/18 00:35:37,301,  4.819,  0.194,  1.200,
   211,07/10/18 00:36:16,301,  4.843,  0.173,  0.600,
   217,07/10/18 00:36:55,301,  4.810,  0.201,  0.500,
   223,07/10/18 00:37:35,301,  4.835,  0.129,  1.200,
   229,07/10/18 00:39:53,301,  4.745,  0.204,  0.900,
   235,07/10/18 00:40:33,301,  4.816,  0.125,  1.600,
   241,07/10/18 00:41:12,301,  4.817,  0.141,  1.700,
   247,07/10/18 00:41:51,301,  4.881,  0.123,  1.100,
   253,07/10/18 00:42:30,301,  4.756,  0.187,  1.300,
   259,07/10/18 00:44:48,301,  4.812,  0.121,  1.600,
   265,07/10/18 00:45:27,301,  4.717,  0.262,  0.900,
   271,07/10/18 00:46:06,301,  4.742,  0.265,  0.450,
   277,07/10/18 00:46:45,301,  4.765,  0.197,  0.600,
   283,07/10/18 00:47:24,301,  4.823,  0.169,  0.450,
   289,07/10/18 00:49:42,301,  4.839,  0.172,  0.800,
   295,07/10/18 00:50:21,301,  4.860,  0.152,  0.500,
   301,07/10/18 00:51:01,301,  4.819,  0.180,  0.400,
   307,07/10/18 00:51:40,301,  4.811,  0.170,  0.350,
   313,07/10/18 00:52:19,301,  4.759,  0.220,  1.100,
   319,07/10/18 00:54:38,301,  4.781,  0.197,  1.500,
   325,07/10/18 00:55:17,301,  4.836,  0.148,  0.900,
   331,07/10/18 00:55:57,301,  4.875,  0.144,  1.300,
   337,07/10/18 00:56:37,301,  4.813,  0.188,  1.100,
   343,07/10/18 00:57:16,301,  4.798,  0.170,  1.600,
   349,07/10/18 00:59:34,301,  4.819,  0.183,  1.100,
   355,07/10/18 01:00:16,301,  4.877,  0.141,  1.400,
   361,07/10/18 01:00:55,301,  4.811,  0.196,  1.300,
   367,07/10/18 01:01:34,301,  4.818,  0.215,  1.100,
   373,07/10/18 01:02:13,301,  4.775,  0.188,  1.200,
   379,07/10/18 01:04:31,301,  4.868,  0.180,  1.500,
   385,07/10/18 01:05:10,301,  4.790,  0.242,  0.800,
   391,07/10/18 01:05:50,301,  4.918,  0.170,  0.450,
   397,07/10/18 01:06:30,301,  4.898,  0.229,  1.000,
   403,07/10/18 01:07:09,301,  4.784,  0.288,  0.500,
   409,07/10/18 01:09:29,301,  4.886,  0.240,  1.100,
   415,07/10/18 01:10:09,301,  4.826,  0.297,  0.700,
   421,07/10/18 01:10:49,301,  4.851,  0.241,  0.300,
   427,07/10/18 01:11:28,301,  4.892,  0.518,  0.400,
   433,07/10/18 01:12:07,301,  4.947,  0.368,  1.000,
   439,07/10/18 01:14:24,301,  4.762,  0.441,  0.500,
   445,07/10/18 01:15:04,301,  4.875,  0.357,  0.500,
   451,07/10/18 01:15:43,301,  4.953,  0.215,  1.100,
   457,07/10/18 01:16:23,301,  4.883,  0.257,  0.600,
   463,07/10/18 01:17:02,301,  4.807,  0.343,  0.400,
   469,07/10/18 01:19:20,301,  4.813,  0.290,  0.450,
   475,07/10/18 01:19:59,301,  4.937,  0.152,  1.200,
