Record,DateTime,40,TambK,Rh,Presmb,TirK,Rain
   130,07/11/18 01:06:56,41, 303.2790,  75.9200,1016.6500, 294.8600,0
   132,07/11/18 01:09:14,41, 302.8450,  77.7400,1016.7500, 295.6600,0
   134,07/11/18 01:09:54,41, 302.7200,  77.6600,1016.7500, 295.7100,0
   136,07/11/18 01:10:33,41, 302.5950,  77.5800,1016.6500, 295.2200,0
   138,07/11/18 01:11:12,41, 302.4550,  77.9000,1016.7500, 295.3800,0
   140,07/11/18 01:11:51,41, 302.3960,  79.5500,1016.7500, 295.5400,0
   142,07/11/18 01:14:10,41, 302.0600,  82.3500,1016.7500, 295.2900,0
   144,07/11/18 01:14:49,41, 302.0760,  84.0500,1016.7500, 295.2300,0
   146,07/11/18 01:15:29,41, 302.0760,  85.5300,1016.7500, 295.1300,0
   148,07/11/18 01:16:08,41, 302.0170,  84.3600,1016.6500, 295.5500,0
   150,07/11/18 01:16:47,41, 301.9900,  82.9600,1016.7500, 295.3100,0
   152,07/11/18 01:19:04,41, 302.1890,  81.9800,1016.6500, 295.1700,0
   154,07/11/18 01:19:43,41, 302.2010,  82.9100,1016.7500, 295.2400,0
   156,07/11/18 01:20:22,41, 302.0490,  80.7000,1016.6500, 295.4800,0
   158,07/11/18 01:21:03,41, 301.9900,  80.5500,1016.6500, 295.4600,0
   160,07/11/18 01:21:42,41, 301.9470,  81.3100,1016.6500, 295.2400,0
   162,07/11/18 01:23:59,41, 301.8380,  82.8200,1016.6500, 295.3300,0
   164,07/11/18 01:24:39,41, 301.8380,  83.6900,1016.6500, 295.6800,0
   166,07/11/18 01:25:18,41, 301.7950,  83.4600,1016.7500, 295.5100,0
   168,07/11/18 01:25:57,41, 301.8100,  82.4300,1016.6500, 295.9000,0
   170,07/11/18 01:26:36,41, 301.9200,  83.1100,1016.7500, 295.5700,0
   172,07/11/18 01:28:54,41, 302.1030,  82.1700,1016.7500, 294.9800,0
   174,07/11/18 01:29:33,41, 302.1460,  80.9200,1016.7500, 295.1800,0
   176,07/11/18 01:30:12,41, 302.1460,  81.2400,1016.8500, 294.8900,0
   178,07/11/18 01:30:51,41, 302.0600,  80.6700,1016.7500, 294.9400,0
   180,07/11/18 01:31:31,41, 302.0060,  80.8300,1016.8500, 295.0200,0
   182,07/11/18 01:33:48,41, 301.9350,  83.3100,1016.8500, 295.1700,0
   184,07/11/18 01:34:28,41, 301.8100,  83.8400,1016.7500, 295.6300,0
   186,07/11/18 01:35:07,41, 301.6810,  82.1600,1016.8500, 295.1500,0
   188,07/11/18 01:35:47,41, 301.7950,  84.4500,1016.8500, 295.0600,0
   190,07/11/18 01:36:26,41, 301.7950,  84.0400,1016.8500, 295.2200,0
   192,07/11/18 01:38:44,41, 301.8810,  84.2200,1016.8500, 295.2800,0
   194,07/11/18 01:39:23,41, 301.8380,  83.6900,1016.8500, 295.5100,0
   196,07/11/18 01:40:02,41, 301.7790,  83.3300,1016.8500, 295.1300,0
   198,07/11/18 01:40:42,41, 301.6810,  83.1100,1016.9500, 294.8800,0
   200,07/11/18 01:41:21,41, 301.6810,  84.5700,1016.8500, 295.3900,0
   202,07/11/18 01:43:39,41, 301.7790,  84.2700,1016.9500, 295.3800,0
   204,07/11/18 01:44:18,41, 301.7670,  84.0900,1016.9500, 295.9200,0
   206,07/11/18 01:44:57,41, 301.7400,  83.5000,1016.9500, 295.1700,0
   208,07/11/18 01:45:36,41, 301.6700,  82.9800,1016.9500, 295.1100,0
   210,07/11/18 01:46:15,41, 301.7130,  83.5900,1016.9500, 295.5400,0
   212,07/11/18 01:48:33,41, 301.7130,  83.2800,1016.9500, 295.3300,0
   214,07/11/18 01:49:13,41, 301.6810,  83.5400,1016.8500, 295.4500,0
   216,07/11/18 01:49:52,41, 301.7400,  84.4300,1016.8500, 295.7200,0
   218,07/11/18 01:50:31,41, 301.8100,  85.3300,1016.8500, 295.4700,0
   220,07/11/18 01:51:11,41, 301.7950,  84.0200,1016.9500, 295.5500,0
   222,07/11/18 01:53:28,41, 301.7670,  84.0500,1016.8500, 295.4900,0
   224,07/11/18 01:54:07,41, 301.7400,  83.9500,1016.9500, 295.1100,0
   226,07/11/18 01:54:47,41, 301.7240,  83.9000,1016.8500, 295.1900,0
   228,07/11/18 01:55:26,41, 301.7130,  84.0200,1016.8500, 295.5100,0
   230,07/11/18 01:56:05,41, 301.6540,  83.7700,1016.8500, 295.3700,0
   232,07/11/18 01:58:23,41, 301.5290,  85.5200,1016.8500, 295.6600,0
   234,07/11/18 01:59:02,41, 301.5020,  84.5000,1016.8500, 295.2800,0
   236,07/11/18 01:59:41,41, 301.5020,  84.5700,1016.7500, 294.8300,0
   238,07/11/18 02:00:21,41, 301.5290,  84.1800,1016.8500, 295.1100,0
   240,07/11/18 02:01:00,41, 301.5290,  83.6000,1016.8500, 294.6800,0
   242,07/11/18 02:03:18,41, 301.5290,  84.3900,1016.7500, 295.2900,0
   244,07/11/18 02:03:57,41, 301.6270,  83.7000,1016.8500, 295.4300,0
   246,07/11/18 02:04:36,41, 301.6110,  82.2500,1016.8500, 294.9200,0
   248,07/11/18 02:05:16,41, 301.5560,  82.5800,1016.8500, 294.9200,0
   250,07/11/18 02:05:55,41, 301.6110,  83.4500,1016.8500, 295.4500,0
   252,07/11/18 02:08:12,41, 301.7400,  85.3100,1016.7500, 295.0900,0
   254,07/11/18 02:08:51,41, 301.7670,  84.0900,1016.7500, 295.2500,0
   256,07/11/18 02:09:31,41, 301.7400,  84.1700,1016.8500, 295.4600,0
   258,07/11/18 02:10:10,41, 301.8100,  84.3100,1016.8500, 295.5100,0
   260,07/11/18 02:10:54,41, 301.8650,  84.0100,1016.7500, 295.4800,0
   262,07/11/18 02:13:13,41, 301.9630,  83.6000,1016.8500, 295.6200,0
   264,07/11/18 02:13:52,41, 302.0170,  83.8800,1016.7500, 295.5800,0
   266,07/11/18 02:14:31,41, 301.9900,  84.4800,1016.8500, 295.1500,0
   268,07/11/18 02:15:10,41, 301.9900,  84.5200,1016.8500, 295.3800,0
