Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800, Ch 
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
     1,07/15/18 00:05:13,51,  0.00, 90.00,316.554,, 75.566, 72.576,, 69.436,, 59.595,,, 46.403,,, 37.819,,,, 31.420,,,, 28.238,126.362,144.379,168.381,199.843,236.120,267.120,286.616,293.424,296.045,297.492,297.891,298.208,299.207,298.620,
     2,07/15/18 00:05:14,41, 304.9200,  75.3600,1012.8500, 252.9500,0
     3,07/15/18 00:05:52,51,  0.00, 90.00,316.567,, 75.628, 72.294,, 68.933,, 59.150,,, 46.721,,, 38.066,,,, 31.032,,,, 27.472,127.001,144.142,167.562,199.825,236.897,267.704,286.943,294.074,296.932,297.287,297.709,298.502,299.595,298.921,
     4,07/15/18 00:05:53,41, 304.5130,  75.2500,1013.0500, 252.6100,0
     5,07/15/18 00:06:31,51,  0.00, 90.00,316.581,, 75.145, 71.838,, 68.880,, 59.226,,, 45.945,,, 37.443,,,, 31.515,,,, 27.883,127.577,144.161,167.901,199.995,236.192,267.229,286.698,294.044,296.077,297.116,297.981,298.589,299.391,298.284,
     6,07/15/18 00:06:33,41, 304.3880,  77.2400,1012.9500, 252.2300,0
     7,07/15/18 00:07:10,51,  0.00, 90.00,316.603,, 75.210, 71.887,, 68.911,, 58.676,,, 46.455,,, 37.153,,,, 30.940,,,, 28.148,127.043,144.380,168.341,200.164,236.342,267.453,286.803,294.186,296.328,297.026,297.963,298.106,299.028,298.388,
     8,07/15/18 00:07:12,41, 304.3450,  77.9700,1012.9500, 252.3700,0
     9,07/15/18 00:07:50,51,  0.00, 90.00,316.598,, 75.438, 71.685,, 68.431,, 58.325,,, 46.138,,, 37.292,,,, 31.207,,,, 27.863,126.333,143.754,167.765,199.636,235.783,266.476,285.892,294.129,296.120,296.862,297.458,297.988,299.414,298.843,
    10,07/15/18 00:07:51,41, 304.1350,  79.4700,1012.9500, 251.8100,0
    11,07/15/18 00:10:07,51,  0.00, 90.00,316.637,, 74.827, 71.838,, 67.851,, 58.695,,, 45.668,,, 37.264,,,, 31.114,,,, 27.712,126.747,143.640,168.365,200.550,234.532,266.395,286.546,294.168,296.432,297.323,297.868,297.829,299.152,297.938,
    12,07/15/18 00:10:08,41, 304.0100,  81.1800,1012.9500, 252.0500,0
    13,07/15/18 00:10:46,51,  0.00, 90.00,316.643,, 75.948, 71.559,, 68.635,, 59.181,,, 46.058,,, 37.431,,,, 30.687,,,, 28.112,125.989,142.962,167.907,200.536,236.694,266.902,286.492,293.090,294.202,297.232,297.688,298.518,298.260,298.469,
    14,07/15/18 00:10:47,41, 303.7990,  79.8700,1012.9500, 252.1300,0
    15,07/15/18 00:11:25,51,  0.00, 90.00,316.639,, 74.592, 71.678,, 67.697,, 58.581,,, 46.145,,, 37.057,,,, 30.666,,,, 27.935,126.167,143.613,167.704,199.923,235.060,267.089,286.719,293.436,295.623,296.941,298.271,298.502,298.964,298.416,
    16,07/15/18 00:11:26,41, 303.7830,  80.2800,1012.9500, 252.4500,0
    17,07/15/18 00:12:04,51,  0.00, 90.00,316.640,, 75.502, 71.743,, 68.224,, 58.840,,, 46.378,,, 37.315,,,, 31.378,,,, 27.977,126.953,143.994,167.897,199.911,236.767,267.495,285.632,294.444,296.384,297.921,298.751,298.727,298.760,298.263,
    18,07/15/18 00:12:06,41, 303.7560,  80.8300,1012.9500, 251.8400,0
    19,07/15/18 00:12:43,51,  0.00, 90.00,316.654,, 75.214, 71.592,, 68.427,, 58.323,,, 46.538,,, 37.146,,,, 30.460,,,, 27.977,126.632,143.953,167.987,199.616,236.376,267.391,286.795,293.765,296.253,297.174,297.939,299.138,298.173,299.795,
    20,07/15/18 00:12:45,41, 303.7560,  81.2100,1013.0500, 251.5400,0
    21,07/15/18 00:15:01,51,  0.00, 90.00,316.689,, 74.911, 71.968,, 68.121,, 59.116,,, 45.997,,, 37.686,,,, 30.656,,,, 27.943,126.688,143.741,168.428,201.195,237.122,266.584,286.477,293.769,296.565,297.355,297.231,298.140,298.791,298.446,
    22,07/15/18 00:15:03,41, 303.4780,  80.2700,1012.9500, 252.4000,0
    23,07/15/18 00:15:41,51,  0.00, 90.00,316.682,, 74.799, 71.775,, 68.172,, 58.543,,, 45.706,,, 37.203,,,, 31.070,,,, 27.529,126.174,143.454,170.149,200.798,235.378,267.374,286.800,295.606,298.138,297.654,298.075,298.577,299.573,298.195,
    24,07/15/18 00:15:42,41, 303.4080,  81.4500,1012.9500, 251.4100,0
    25,07/15/18 00:16:20,51,  0.00, 90.00,316.682,, 75.044, 71.159,, 68.243,, 58.121,,, 46.074,,, 36.955,,,, 30.576,,,, 28.524,125.928,143.715,168.108,199.696,236.104,266.808,286.362,294.430,296.027,297.659,297.613,298.347,299.290,299.878,
    26,07/15/18 00:16:21,41, 303.3490,  80.9000,1012.9500, 251.5000,0
    27,07/15/18 00:16:59,51,  0.00, 90.00,316.684,, 74.627, 71.775,, 68.231,, 58.658,,, 45.288,,, 36.853,,,, 31.346,,,, 27.286,126.222,143.234,168.266,199.946,236.253,266.753,285.813,293.362,296.683,297.397,298.457,299.192,295.842,296.952,
    28,07/15/18 00:17:00,41, 303.3220,  80.9900,1012.9500, 251.1000,0
    29,07/15/18 00:17:38,51,  0.00, 90.00,316.675,, 75.002, 71.898,, 68.462,, 58.491,,, 45.716,,, 37.436,,,, 30.895,,,, 27.708,126.568,143.942,168.062,200.247,236.558,266.489,284.495,292.987,296.429,297.585,298.150,297.744,298.412,298.208,
    30,07/15/18 00:17:40,41, 303.3810,  82.2500,1012.9500, 251.9700,0
    31,07/15/18 00:19:56,51,  0.00, 90.00,316.682,, 75.705, 72.093,, 68.573,, 58.891,,, 46.107,,, 37.717,,,, 30.442,,,, 28.016,126.194,144.719,167.694,199.515,236.464,267.004,288.589,296.635,296.689,297.665,299.648,298.880,298.454,299.228,
    32,07/15/18 00:19:57,41, 303.4900,  79.7400,1012.9500, 252.2000,0
    33,07/15/18 00:20:35,51,  0.00, 90.00,316.683,, 75.533, 71.824,, 68.558,, 59.303,,, 46.351,,, 38.491,,,, 31.856,,,, 27.852,128.593,144.437,168.377,199.851,236.286,267.220,286.031,293.822,296.098,297.477,298.105,298.484,298.787,299.299,
    34,07/15/18 00:20:37,41, 303.4350,  80.5000,1012.9500, 252.3700,0
    35,07/15/18 00:21:15,51,  0.00, 90.00,316.671,, 75.242, 71.341,, 68.436,, 58.899,,, 45.641,,, 37.378,,,, 31.040,,,, 27.544,125.397,143.394,168.127,200.153,235.962,267.094,286.448,293.805,297.022,297.153,297.434,296.869,297.920,298.526,
    36,07/15/18 00:21:17,41, 303.4780,  81.1300,1012.9500, 251.9000,0
    37,07/15/18 00:21:55,51,  0.00, 90.00,316.673,, 74.484, 71.645,, 68.437,, 58.364,,, 46.461,,, 37.318,,,, 31.679,,,, 27.785,130.206,144.253,167.745,202.913,238.773,267.011,288.403,296.930,301.191,301.838,298.441,298.615,299.124,298.379,
    38,07/15/18 00:21:56,41, 303.5760,  80.9200,1012.9500, 252.1600,0
    39,07/15/18 00:22:34,51,  0.00, 90.00,316.652,, 74.958, 71.435,, 67.664,, 58.592,,, 45.885,,, 37.097,,,, 30.849,,,, 27.381,126.073,143.994,168.947,199.969,236.419,266.731,286.345,293.634,295.989,298.348,298.025,297.905,295.857,297.229,
    40,07/15/18 00:22:36,41, 303.6150,  79.7900,1012.9500, 252.2600,0
    41,07/15/18 00:24:52,51,  0.00, 90.00,316.630,, 74.678, 71.214,, 67.249,, 58.579,,, 46.109,,, 37.587,,,, 31.376,,,, 27.936,125.569,143.507,167.201,199.787,235.891,266.588,285.785,294.085,298.031,298.274,297.665,298.526,299.342,299.263,
    42,07/15/18 00:24:54,41, 303.6310,  80.1500,1012.9500, 252.0000,0
    43,07/15/18 00:25:31,51,  0.00, 90.00,316.629,, 74.960, 71.497,, 67.728,, 58.517,,, 45.741,,, 37.419,,,, 31.121,,,, 27.499,126.074,143.957,168.115,200.352,236.788,266.943,286.302,294.222,293.552,294.978,297.714,298.672,300.574,299.659,
    44,07/15/18 00:25:33,41, 303.6580,  80.8300,1012.8500, 251.4300,0
    45,07/15/18 00:26:11,51,  0.00, 90.00,316.625,, 74.373, 71.716,, 67.703,, 58.146,,, 46.070,,, 37.631,,,, 31.103,,,, 27.169,127.224,144.449,167.926,200.340,236.669,266.827,286.908,294.184,296.156,297.403,297.543,298.074,299.053,299.258,
    46,07/15/18 00:26:12,41, 303.6030,  80.8800,1012.8500, 251.7000,0
    47,07/15/18 00:26:49,51,  0.00, 90.00,316.632,, 74.913, 71.496,, 68.622,, 58.535,,, 46.300,,, 37.502,,,, 30.943,,,, 27.983,126.442,144.221,167.772,199.735,236.051,266.369,286.596,293.961,295.956,297.271,297.647,298.092,299.084,299.178,
    48,07/15/18 00:26:51,41, 303.6850,  80.8600,1012.9500, 252.8300,0
    49,07/15/18 00:27:29,51,  0.00, 90.00,316.614,, 74.888, 71.692,, 68.153,, 58.843,,, 46.095,,, 37.499,,,, 30.866,,,, 27.681,126.754,144.091,167.814,200.134,236.713,267.382,286.222,294.557,297.106,297.790,297.890,298.604,299.858,298.690,
    50,07/15/18 00:27:31,41, 303.8140,  81.4500,1012.7500, 252.4300,0
    51,07/15/18 00:29:47,51,  0.00, 90.00,316.589,, 74.083, 71.473,, 68.011,, 58.199,,, 45.423,,, 36.822,,,, 30.372,,,, 27.207,127.118,143.076,167.987,200.926,236.509,265.174,284.926,294.665,296.777,297.350,298.623,298.934,298.840,298.758,
    52,07/15/18 00:29:49,41, 303.8140,  80.9500,1012.8500, 251.9300,0
    53,07/15/18 00:30:26,51,  0.00, 90.00,316.587,, 74.818, 71.118,, 68.009,, 58.641,,, 45.748,,, 37.406,,,, 30.585,,,, 28.089,127.265,146.666,169.133,200.066,237.355,268.377,287.020,291.113,297.504,300.940,297.692,296.970,298.525,299.901,
    54,07/15/18 00:30:28,41, 303.7170,  79.7900,1012.7500, 252.1400,0
    55,07/15/18 00:31:06,51,  0.00, 90.00,316.576,, 74.896, 71.275,, 68.364,, 58.693,,, 45.517,,, 37.481,,,, 30.755,,,, 27.853,126.778,143.570,167.736,199.670,236.792,266.472,286.535,294.378,297.535,299.496,298.209,298.259,299.390,298.148,
    56,07/15/18 00:31:07,41, 303.8140,  82.1200,1012.9500, 252.2400,0
    57,07/15/18 00:31:45,51,  0.00, 90.00,316.585,, 74.169, 70.902,, 68.046,, 57.723,,, 45.084,,, 36.832,,,, 30.763,,,, 27.751,124.727,142.434,167.311,200.538,237.317,268.151,287.059,293.243,297.224,299.295,297.656,299.108,299.519,296.846,
    58,07/15/18 00:31:47,41, 303.7710,  79.8600,1012.8500, 251.6700,0
    59,07/15/18 00:32:24,51,  0.00, 90.00,316.563,, 74.494, 71.143,, 68.181,, 57.324,,, 45.968,,, 36.988,,,, 31.273,,,, 27.989,127.519,147.943,172.039,204.457,237.393,266.114,286.653,293.792,296.234,297.693,298.504,298.424,299.997,299.420,
    60,07/15/18 00:32:26,41, 303.8140,  80.7000,1012.8500, 251.9500,0
    61,07/15/18 00:34:51,51,  0.00, 90.00,316.531,, 74.271, 71.307,, 67.834,, 58.634,,, 45.611,,, 37.054,,,, 30.484,,,, 26.755,125.796,140.990,165.136,197.330,235.801,268.023,286.282,292.616,296.354,299.332,299.296,299.505,299.768,300.032,
    62,07/15/18 00:34:52,41, 303.8530,  80.5900,1012.7500, 251.7300,0
    63,07/15/18 00:35:30,51,  0.00, 90.00,316.525,, 74.608, 71.000,, 67.995,, 58.248,,, 46.419,,, 37.378,,,, 30.875,,,, 27.725,126.449,145.357,169.071,200.013,236.424,268.664,287.451,294.074,297.881,298.792,298.381,295.889,295.633,299.107,
    64,07/15/18 00:35:32,41, 303.7440,  80.2400,1012.8500, 252.3800,0
    65,07/15/18 00:36:10,51,  0.00, 90.00,316.524,, 74.023, 70.759,, 67.348,, 58.718,,, 45.765,,, 36.962,,,, 30.526,,,, 28.085,126.597,140.546,165.340,198.272,235.442,267.085,286.594,293.603,296.172,297.152,298.411,298.969,300.442,298.967,
    66,07/15/18 00:36:11,41, 303.6030,  79.9700,1012.7500, 252.5000,0
    67,07/15/18 00:36:49,51,  0.00, 90.00,316.523,, 73.774, 70.220,, 67.199,, 57.699,,, 45.871,,, 36.566,,,, 30.621,,,, 27.557,126.055,143.505,167.921,200.155,235.965,270.564,291.119,294.243,296.220,301.654,300.240,298.675,299.251,298.847,
    68,07/15/18 00:36:51,41, 303.6150,  80.9900,1012.8500, 251.7700,0
    69,07/15/18 00:37:28,51,  0.00, 90.00,316.512,, 74.186, 71.232,, 67.467,, 58.537,,, 45.480,,, 36.637,,,, 30.939,,,, 27.259,126.463,143.670,167.690,199.533,236.460,266.831,282.470,290.459,296.665,297.690,298.101,298.637,300.021,298.521,
    70,07/15/18 00:37:30,41, 303.7280,  81.6200,1012.8500, 250.7400,0
    71,07/15/18 00:40:02,51,  0.00, 90.00,316.467,, 73.655, 70.491,, 67.290,, 57.699,,, 45.277,,, 36.532,,,, 30.637,,,, 27.276,129.707,147.958,168.284,194.969,231.307,266.250,286.905,296.184,300.628,298.764,295.990,296.058,297.542,298.952,
    72,07/15/18 00:40:04,41, 303.7170,  80.5100,1012.8500, 251.6000,0
    73,07/15/18 00:40:44,51,  0.00, 90.00,316.454,, 73.745, 70.762,, 67.073,, 57.661,,, 45.311,,, 37.186,,,, 30.973,,,, 27.046,125.627,143.078,167.877,199.424,235.823,266.527,286.986,294.496,296.570,297.726,297.842,298.559,299.596,299.070,
    74,07/15/18 00:40:45,41, 303.7990,  82.6100,1012.7500, 251.3600,0
    75,07/15/18 00:41:24,51,  0.00, 90.00,316.462,, 73.519, 70.074,, 66.864,, 57.720,,, 45.613,,, 36.583,,,, 31.154,,,, 26.964,127.801,142.206,165.589,202.371,238.439,267.709,286.365,293.497,296.861,297.737,298.108,301.720,300.031,295.433,
    76,07/15/18 00:41:26,41, 303.8140,  81.9700,1012.6500, 251.0000,0
    77,07/15/18 00:42:03,51,  0.00, 90.00,316.447,, 73.737, 70.683,, 67.589,, 57.910,,, 45.052,,, 36.586,,,, 30.307,,,, 26.911,125.269,143.566,171.504,202.647,236.040,269.683,290.533,295.294,296.876,297.400,297.887,298.762,298.066,298.104,
    78,07/15/18 00:42:05,41, 303.9670,  82.7100,1012.7500, 252.1200,0
    79,07/15/18 00:42:43,51,  0.00, 90.00,316.438,, 73.461, 70.093,, 66.646,, 57.287,,, 45.435,,, 36.612,,,, 30.425,,,, 27.422,123.379,142.714,167.415,199.565,235.966,267.030,283.263,290.802,296.996,298.152,300.387,302.048,299.520,299.614,
    80,07/15/18 00:42:44,41, 303.9940,  80.3400,1012.8500, 250.5500,0
    81,07/15/18 00:45:00,51,  0.00, 90.00,316.417,, 74.186, 70.922,, 67.780,, 58.130,,, 45.719,,, 37.116,,,, 30.793,,,, 27.673,125.624,143.611,167.086,195.031,231.667,265.974,287.007,294.400,299.965,299.188,298.580,297.685,299.192,299.125,
    82,07/15/18 00:45:02,41, 303.9390,  80.0400,1012.7500, 251.3800,0
    83,07/15/18 00:45:39,51,  0.00, 90.00,316.404,, 73.603, 71.121,, 67.535,, 58.056,,, 45.469,,, 37.238,,,, 29.920,,,, 27.607,128.007,147.904,168.268,198.599,239.563,271.826,286.766,293.604,295.342,295.003,297.430,298.184,296.886,297.147,
    84,07/15/18 00:45:41,41, 303.9670,  80.6500,1012.8500, 251.9900,0
    85,07/15/18 00:46:18,51,  0.00, 90.00,316.394,, 74.173, 70.787,, 67.428,, 57.688,,, 45.960,,, 36.630,,,, 30.537,,,, 27.210,126.092,143.679,169.500,200.693,235.488,264.073,283.358,295.129,301.181,298.202,298.229,298.475,298.865,298.661,
    86,07/15/18 00:46:20,41, 303.9670,  79.5900,1012.8500, 251.9800,0
    87,07/15/18 00:46:57,51,  0.00, 90.00,316.406,, 74.545, 71.207,, 67.817,, 58.064,,, 45.173,,, 36.835,,,, 30.603,,,, 27.249,124.850,141.174,164.796,198.852,235.408,264.081,283.825,294.795,296.562,293.762,295.377,295.086,299.297,299.157,
    88,07/15/18 00:46:59,41, 303.9940,  79.9700,1012.8500, 252.2100,0
    89,07/15/18 00:47:37,51,  0.00, 90.00,316.387,, 74.227, 71.359,, 67.822,, 58.536,,, 46.191,,, 37.391,,,, 30.892,,,, 26.934,126.109,143.347,167.538,201.419,235.249,262.853,286.393,293.391,292.261,295.252,298.219,298.590,299.031,299.315,
    90,07/15/18 00:47:39,41, 303.9390,  79.8800,1012.8500, 251.5400,0
    91,07/15/18 00:49:54,51,  0.00, 90.00,316.374,, 74.563, 71.194,, 67.509,, 58.908,,, 45.650,,, 37.085,,,, 30.242,,,, 27.900,128.416,147.893,169.333,198.143,236.115,267.855,285.367,293.455,300.314,302.184,298.755,297.760,296.865,300.700,
