Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/07/18 00:05:22,301,  3.633,  0.114,  8.750,
    25,07/07/18 00:06:01,301,  3.569,  0.152,  8.000,
    31,07/07/18 00:06:41,301,  3.584,  0.136,  8.500,
    37,07/07/18 00:07:23,301,  3.607,  0.127,  9.000,
    43,07/07/18 00:08:03,301,  3.534,  0.172,  8.500,
    49,07/07/18 00:10:26,301,  3.510,  0.203,  8.750,
    55,07/07/18 00:11:05,301,  3.558,  0.156,  8.250,
    61,07/07/18 00:11:45,301,  3.619,  0.134,  8.500,
    67,07/07/18 00:12:30,301,  3.542,  0.172,  8.750,
    73,07/07/18 00:13:10,301,  3.568,  0.165,  8.500,
    79,07/07/18 00:15:28,301,  3.582,  0.131,  8.500,
    85,07/07/18 00:16:11,301,  3.519,  0.174,  9.000,
    91,07/07/18 00:16:50,301,  3.578,  0.139,  9.000,
    97,07/07/18 00:17:29,301,  3.534,  0.156,  9.000,
   103,07/07/18 00:18:08,301,  3.585,  0.127,  9.000,
   109,07/07/18 00:20:28,301,  3.551,  0.152,  9.000,
   115,07/07/18 00:21:08,301,  3.588,  0.132,  8.500,
   121,07/07/18 00:21:47,301,  3.540,  0.145,  8.750,
   127,07/07/18 00:22:27,301,  3.544,  0.145,  8.750,
   133,07/07/18 00:23:06,301,  3.532,  0.149,  9.000,
   139,07/07/18 00:25:23,301,  3.542,  0.137,  9.000,
   145,07/07/18 00:26:02,301,  3.480,  0.167,  9.000,
   151,07/07/18 00:26:42,301,  3.520,  0.159,  8.750,
   157,07/07/18 00:27:21,301,  3.544,  0.134,  8.750,
   163,07/07/18 00:28:00,301,  3.563,  0.124,  8.750,
   169,07/07/18 00:30:18,301,  3.464,  0.222,  8.250,
   175,07/07/18 00:30:57,301,  3.555,  0.153,  8.000,
   181,07/07/18 00:31:36,301,  3.530,  0.172,  7.500,
   187,07/07/18 00:32:16,301,  3.514,  0.188,  7.000,
   193,07/07/18 00:32:55,301,  3.488,  0.207,  8.500,
   199,07/07/18 00:35:13,301,  3.499,  0.186,  7.750,
   205,07/07/18 00:35:52,301,  3.495,  0.198,  6.750,
   211,07/07/18 00:36:31,301,  3.486,  0.228,  5.750,
   217,07/07/18 00:37:10,301,  3.532,  0.181,  6.500,
   223,07/07/18 00:37:49,301,  3.545,  0.174,  7.500,
   229,07/07/18 00:40:08,301,  3.627,  0.114,  7.250,
   235,07/07/18 00:40:47,301,  3.533,  0.179,  8.250,
   241,07/07/18 00:41:26,301,  3.554,  0.177,  7.750,
   247,07/07/18 00:42:05,301,  3.543,  0.164,  8.000,
   253,07/07/18 00:42:45,301,  3.492,  0.190,  8.500,
   259,07/07/18 00:45:03,301,  3.589,  0.125,  8.500,
   265,07/07/18 00:45:42,301,  3.529,  0.167,  8.750,
   271,07/07/18 00:46:21,301,  3.478,  0.179,  8.500,
   277,07/07/18 00:47:00,301,  3.565,  0.136,  8.750,
   283,07/07/18 00:47:39,301,  3.513,  0.158,  8.750,
   289,07/07/18 00:49:57,301,  3.485,  0.195,  9.000,
   295,07/07/18 00:50:36,301,  3.457,  0.210,  9.000,
   301,07/07/18 00:51:16,301,  3.566,  0.143,  8.750,
   307,07/07/18 00:51:55,301,  3.476,  0.209,  9.000,
   313,07/07/18 00:52:34,301,  3.485,  0.203,  9.000,
   319,07/07/18 00:54:52,301,  3.558,  0.142,  9.000,
   325,07/07/18 00:55:32,301,  3.514,  0.153,  9.250,
   331,07/07/18 00:56:11,301,  3.535,  0.129,  9.000,
   337,07/07/18 00:56:50,301,  3.513,  0.162,  9.000,
   343,07/07/18 00:57:30,301,  3.555,  0.129,  9.000,
   349,07/07/18 00:59:47,301,  3.534,  0.156,  9.250,
   355,07/07/18 01:00:27,301,  3.488,  0.178,  9.000,
   361,07/07/18 01:01:06,301,  3.565,  0.129,  8.750,
   367,07/07/18 01:01:45,301,  3.519,  0.151,  8.750,
   373,07/07/18 01:02:24,301,  3.535,  0.155,  9.000,
   379,07/07/18 01:04:42,301,  3.529,  0.146,  9.000,
   385,07/07/18 01:05:22,301,  3.548,  0.148,  8.750,
   391,07/07/18 01:06:00,301,  3.541,  0.147,  8.750,
   397,07/07/18 01:06:39,301,  3.528,  0.158,  9.000,
   403,07/07/18 01:07:19,301,  3.514,  0.167,  8.750,
   409,07/07/18 01:09:36,301,  3.525,  0.150,  8.750,
   415,07/07/18 01:10:15,301,  3.500,  0.176,  8.750,
   421,07/07/18 01:10:54,301,  3.530,  0.147,  8.750,
   427,07/07/18 01:11:34,301,  3.524,  0.135,  9.000,
   433,07/07/18 01:12:13,301,  3.526,  0.167,  9.250,
   439,07/07/18 01:14:30,301,  3.574,  0.155,  9.000,
   445,07/07/18 01:15:10,301,  3.522,  0.180,  8.750,
   451,07/07/18 01:15:49,301,  3.489,  0.186,  9.250,
   457,07/07/18 01:16:28,301,  3.599,  0.132,  8.750,
   463,07/07/18 01:17:08,301,  3.480,  0.189,  8.750,
   469,07/07/18 01:19:25,301,  3.589,  0.110,  8.750,
   475,07/07/18 01:20:04,301,  3.537,  0.143,  9.000,
   481,07/07/18 01:20:44,301,  3.516,  0.135,  9.000,
   487,07/07/18 01:21:23,301,  3.503,  0.165,  8.750,
   493,07/07/18 01:22:03,301,  3.463,  0.179,  9.000,
   499,07/07/18 01:24:21,301,  3.599,  0.119,  9.000,
   505,07/07/18 01:25:00,301,  3.541,  0.134,  9.250,
   511,07/07/18 01:25:39,301,  3.482,  0.168,  9.000,
   517,07/07/18 01:26:18,301,  3.540,  0.138,  9.000,
   523,07/07/18 01:26:57,301,  3.477,  0.173,  8.750,
   529,07/07/18 01:29:15,301,  3.470,  0.205,  9.000,
   535,07/07/18 01:29:55,301,  3.484,  0.177,  9.250,
   541,07/07/18 01:30:35,301,  3.515,  0.156,  8.750,
   547,07/07/18 01:31:14,301,  3.468,  0.174,  8.750,
   553,07/07/18 01:31:54,301,  3.489,  0.189,  8.750,
   559,07/07/18 01:34:11,301,  3.469,  0.187,  8.750,
   565,07/07/18 01:34:51,301,  3.510,  0.169,  8.750,
   571,07/07/18 01:35:30,301,  3.476,  0.190,  8.500,
   577,07/07/18 01:36:09,301,  3.523,  0.161,  9.000,
   583,07/07/18 01:36:48,301,  3.558,  0.132,  8.750,
   589,07/07/18 01:39:05,301,  3.622,  0.097,  9.000,
   595,07/07/18 01:39:44,301,  3.585,  0.139,  9.000,
   601,07/07/18 01:40:26,301,  3.512,  0.179,  9.000,
   607,07/07/18 01:41:05,301,  3.562,  0.139,  9.250,
   613,07/07/18 01:41:44,301,  3.543,  0.135,  9.000,
   619,07/07/18 01:44:02,301,  3.618,  0.102,  8.750,
   625,07/07/18 01:44:41,301,  3.613,  0.099,  9.000,
   631,07/07/18 01:45:20,301,  3.566,  0.119,  8.750,
   637,07/07/18 01:45:59,301,  3.569,  0.140,  9.000,
   643,07/07/18 01:46:39,301,  3.579,  0.106,  9.000,
   649,07/07/18 01:48:56,301,  3.522,  0.172,  8.750,
   655,07/07/18 01:49:36,301,  3.519,  0.125,  9.000,
   661,07/07/18 01:50:15,301,  3.471,  0.205,  9.250,
   667,07/07/18 01:50:54,301,  3.484,  0.180,  9.000,
   673,07/07/18 01:51:33,301,  3.496,  0.170,  9.000,
   679,07/07/18 01:53:51,301,  3.596,  0.090,  8.750,
   685,07/07/18 01:54:30,301,  3.508,  0.158,  9.000,
   691,07/07/18 01:55:09,301,  3.503,  0.180,  8.500,
   697,07/07/18 01:55:48,301,  3.535,  0.145,  9.000,
   703,07/07/18 01:56:27,301,  3.552,  0.145,  9.000,
   709,07/07/18 01:58:45,301,  3.580,  0.124,  9.000,
   715,07/07/18 01:59:24,301,  3.478,  0.212,  8.750,
   721,07/07/18 02:00:03,301,  3.479,  0.200,  9.250,
   727,07/07/18 02:00:43,301,  3.526,  0.145,  9.000,
   733,07/07/18 02:01:22,301,  3.537,  0.157,  8.750,
   739,07/07/18 02:03:40,301,  3.512,  0.161,  9.000,
   745,07/07/18 02:04:19,301,  3.471,  0.206,  9.000,
   751,07/07/18 02:04:58,301,  3.525,  0.143,  8.750,
   757,07/07/18 02:05:37,301,  3.568,  0.119,  8.500,
   763,07/07/18 02:06:17,301,  3.510,  0.162,  9.000,
   769,07/07/18 02:08:34,301,  3.554,  0.166,  8.750,
   775,07/07/18 02:09:13,301,  3.528,  0.177,  9.000,
   781,07/07/18 02:09:53,301,  3.552,  0.150,  8.750,
   787,07/07/18 02:10:32,301,  3.590,  0.093,  8.500,
   793,07/07/18 02:11:12,301,  3.493,  0.202,  8.750,
   799,07/07/18 02:13:30,301,  3.589,  0.143,  8.750,
   805,07/07/18 02:14:10,301,  3.531,  0.194,  9.000,
   811,07/07/18 02:14:49,301,  3.553,  0.159,  9.000,
   817,07/07/18 02:15:28,301,  3.593,  0.142,  8.500,
   823,07/07/18 02:16:07,301,  3.510,  0.196,  8.750,
   829,07/07/18 02:18:25,301,  3.592,  0.135,  9.000,
   835,07/07/18 02:19:04,301,  3.559,  0.158,  9.000,
   841,07/07/18 02:19:43,301,  3.524,  0.149,  8.750,
   847,07/07/18 02:20:22,301,  3.563,  0.150,  8.750,
   853,07/07/18 02:21:01,301,  3.557,  0.157,  8.750,
   859,07/07/18 02:23:19,301,  3.492,  0.218,  9.000,
   865,07/07/18 02:23:58,301,  3.515,  0.178,  9.000,
   871,07/07/18 02:24:38,301,  3.613,  0.087,  9.250,
   877,07/07/18 02:25:17,301,  3.526,  0.168,  9.000,
   883,07/07/18 02:25:56,301,  3.496,  0.176,  9.000,
   889,07/07/18 02:28:13,301,  3.514,  0.145,  8.750,
   895,07/07/18 02:28:53,301,  3.521,  0.174,  9.250,
   901,07/07/18 02:29:32,301,  3.548,  0.146,  9.250,
   907,07/07/18 02:30:12,301,  3.486,  0.212,  8.750,
   913,07/07/18 02:30:52,301,  3.598,  0.108,  8.500,
   919,07/07/18 02:33:10,301,  3.570,  0.161,  9.000,
   925,07/07/18 02:33:49,301,  3.599,  0.121,  8.750,
   931,07/07/18 02:34:28,301,  3.540,  0.151,  9.000,
   937,07/07/18 02:35:07,301,  3.531,  0.159,  9.250,
   943,07/07/18 02:35:47,301,  3.591,  0.155,  8.750,
   949,07/07/18 02:38:05,301,  3.540,  0.183,  9.000,
   955,07/07/18 02:38:44,301,  3.457,  0.261,  9.000,
   961,07/07/18 02:39:24,301,  3.544,  0.191,  8.750,
   967,07/07/18 02:40:03,301,  3.590,  0.135,  9.000,
   973,07/07/18 02:40:43,301,  3.534,  0.204,  8.750,
   979,07/07/18 02:43:00,301,  3.618,  0.132,  9.000,
   985,07/07/18 02:43:39,301,  3.549,  0.142,  8.750,
   991,07/07/18 02:44:18,301,  3.541,  0.187,  8.750,
   997,07/07/18 02:44:57,301,  3.465,  0.228,  9.000,
  1003,07/07/18 02:45:37,301,  3.573,  0.148,  8.750,
  1009,07/07/18 02:47:55,301,  3.557,  0.156,  8.750,
  1015,07/07/18 02:48:34,301,  3.494,  0.198,  9.000,
  1021,07/07/18 02:49:13,301,  3.586,  0.125,  9.000,
  1027,07/07/18 02:49:52,301,  3.513,  0.220,  8.500,
  1033,07/07/18 02:50:32,301,  3.587,  0.157,  8.750,
  1039,07/07/18 02:52:50,301,  3.562,  0.139,  8.750,
  1045,07/07/18 02:53:29,301,  3.556,  0.160,  9.000,
  1051,07/07/18 02:54:08,301,  3.590,  0.140,  9.000,
  1057,07/07/18 02:54:47,301,  3.555,  0.163,  9.000,
  1063,07/07/18 02:55:26,301,  3.626,  0.116,  8.500,
  1069,07/07/18 02:57:44,301,  3.582,  0.135,  9.250,
  1075,07/07/18 02:58:23,301,  3.491,  0.208,  9.250,
  1081,07/07/18 02:59:02,301,  3.537,  0.163,  8.750,
  1087,07/07/18 02:59:41,301,  3.583,  0.136,  9.250,
  1093,07/07/18 03:00:21,301,  3.592,  0.132,  9.000,
  1099,07/07/18 03:02:39,301,  3.611,  0.114,  9.000,
  1105,07/07/18 03:03:18,301,  3.520,  0.185,  9.000,
  1111,07/07/18 03:03:57,301,  3.512,  0.162,  9.000,
  1117,07/07/18 03:04:35,301,  3.588,  0.109,  8.250,
  1123,07/07/18 03:05:14,301,  3.628,  0.089,  8.750,
  1129,07/07/18 03:07:32,301,  3.555,  0.161,  8.250,
  1135,07/07/18 03:08:11,301,  3.536,  0.179,  9.000,
  1141,07/07/18 03:08:50,301,  3.553,  0.161,  8.750,
  1147,07/07/18 03:09:30,301,  3.510,  0.217,  8.750,
  1153,07/07/18 03:10:10,301,  3.592,  0.129,  9.000,
  1159,07/07/18 03:12:28,301,  3.637,  0.102,  8.750,
  1165,07/07/18 03:13:07,301,  3.586,  0.113,  9.000,
  1171,07/07/18 03:13:46,301,  3.550,  0.179,  9.000,
  1177,07/07/18 03:14:25,301,  3.572,  0.153,  9.000,
  1183,07/07/18 03:15:04,301,  3.581,  0.135,  8.750,
  1189,07/07/18 03:17:22,301,  3.662,  0.091,  8.500,
  1195,07/07/18 03:18:02,301,  3.616,  0.094,  9.000,
