Record,DateTime,50,Azdeg,Eldeg,TkBBK,Ch22.000,Ch22.234,Ch22.500,Ch23.000,Ch23.034,Ch23.500,Ch23.834,Ch24.000,Ch24.500,Ch25.000,Ch25.500,Ch26.000,Ch26.234,Ch26.500,Ch27.000,Ch27.500,Ch28.000,Ch28.500,Ch29.000,Ch29.500,Ch30.000,Ch51.248,Ch51.760,Ch52.280,Ch52.804,Ch53.336,Ch53.848,Ch54.400,Ch54.940,Ch55.500,Ch56.020,Ch56.660,Ch57.288,Ch57.964,Ch58.800,Ch
    41,07/07/18 00:25:18,51,  0.00, 90.00,307.916,, 69.554, 66.435,, 63.511,, 55.671,,, 44.167,,, 35.804,,,, 30.056,,,, 26.928,124.820,140.238,164.400,196.198,230.718,261.289,281.186,287.677,289.532,289.974,291.245,293.456,293.991,291.838,
    43,07/07/18 00:25:57,51,  0.00, 90.00,307.918,, 69.456, 66.370,, 63.460,, 55.029,,, 44.283,,, 35.200,,,, 29.693,,,, 26.706,125.660,141.930,164.398,196.224,232.475,261.823,281.201,288.078,289.980,290.677,291.263,291.902,292.353,291.898,
    45,07/07/18 00:26:36,51,  0.00, 90.00,307.924,, 69.654, 66.917,, 63.898,, 55.526,,, 43.892,,, 35.346,,,, 29.916,,,, 26.715,124.805,141.513,164.643,194.994,231.132,261.203,280.101,286.711,289.342,290.508,290.413,291.490,292.568,291.975,
    47,07/07/18 00:27:15,51,  0.00, 90.00,307.926,, 69.951, 66.080,, 64.392,, 55.578,,, 43.591,,, 35.553,,,, 29.949,,,, 27.222,124.223,140.545,164.384,195.986,230.505,260.747,280.881,287.392,289.763,291.185,291.637,291.689,292.274,294.430,
    49,07/07/18 00:27:54,51,  0.00, 90.00,307.915,, 69.924, 66.091,, 63.821,, 55.563,,, 44.200,,, 35.663,,,, 29.950,,,, 27.039,123.706,140.988,164.909,193.058,230.396,262.957,282.331,286.045,289.899,290.890,290.511,294.048,295.319,291.829,
    51,07/07/18 00:30:12,51,  0.00, 90.00,307.930,, 69.766, 66.823,, 64.014,, 56.111,,, 43.695,,, 35.359,,,, 30.937,,,, 27.442,125.348,144.259,167.039,195.710,231.955,263.297,279.016,287.086,289.685,290.238,290.868,289.576,289.397,291.150,
    53,07/07/18 00:30:52,51,  0.00, 90.00,307.940,, 69.995, 66.300,, 63.637,, 56.106,,, 44.388,,, 35.942,,,, 30.634,,,, 26.943,124.575,141.175,165.370,196.046,230.793,260.394,280.878,287.350,289.068,290.586,291.757,291.336,292.245,292.722,
    55,07/07/18 00:31:31,51,  0.00, 90.00,307.939,, 69.934, 66.887,, 63.608,, 55.313,,, 44.434,,, 35.830,,,, 29.858,,,, 27.280,123.907,142.366,165.997,195.784,230.829,261.216,280.573,287.082,289.271,292.229,290.663,291.214,291.411,291.503,
    57,07/07/18 00:32:10,51,  0.00, 90.00,307.932,, 69.497, 66.523,, 63.981,, 55.693,,, 43.934,,, 36.183,,,, 30.265,,,, 27.545,124.820,142.397,165.324,196.305,232.566,261.003,279.331,287.063,290.418,291.014,291.787,292.748,292.340,292.322,
    59,07/07/18 00:32:50,51,  0.00, 90.00,307.939,, 70.419, 66.431,, 64.119,, 55.419,,, 44.586,,, 35.917,,,, 30.702,,,, 27.166,125.087,142.155,167.766,198.562,231.545,261.236,280.520,287.714,288.750,290.328,290.861,291.438,292.141,292.065,
    61,07/07/18 00:35:07,51,  0.00, 90.00,307.991,, 69.877, 66.648,, 64.159,, 55.117,,, 43.746,,, 36.335,,,, 30.237,,,, 26.849,126.478,141.264,164.809,196.955,232.900,264.624,281.784,286.387,288.019,289.695,290.288,291.849,292.050,291.008,
    63,07/07/18 00:35:46,51,  0.00, 90.00,307.979,, 70.239, 66.358,, 63.830,, 55.794,,, 43.862,,, 36.037,,,, 30.392,,,, 27.299,125.436,142.216,165.453,197.376,231.540,260.074,280.581,286.912,289.755,290.593,290.030,290.634,291.022,291.308,
    65,07/07/18 00:36:25,51,  0.00, 90.00,307.996,, 70.775, 66.684,, 64.211,, 55.820,,, 43.912,,, 36.314,,,, 29.971,,,, 27.028,125.460,144.259,167.381,197.451,231.510,261.271,280.247,287.142,290.954,291.606,291.241,291.736,292.626,292.388,
    67,07/07/18 00:37:04,51,  0.00, 90.00,308.009,, 70.030, 66.097,, 64.537,, 55.731,,, 44.096,,, 35.953,,,, 30.351,,,, 27.320,124.923,142.072,165.672,196.023,229.896,261.134,280.356,286.462,289.131,290.116,291.251,291.635,291.292,291.834,
    69,07/07/18 00:37:44,51,  0.00, 90.00,307.996,, 70.611, 67.060,, 63.745,, 56.069,,, 44.103,,, 36.241,,,, 30.600,,,, 27.541,124.456,141.079,166.495,197.299,230.889,260.932,279.869,287.559,288.901,290.528,291.127,291.029,292.606,292.116,
    71,07/07/18 00:40:02,51,  0.00, 90.00,308.024,, 70.546, 67.133,, 64.216,, 56.004,,, 44.363,,, 36.269,,,, 30.050,,,, 27.568,121.153,139.978,165.969,196.241,231.162,261.134,279.816,287.586,289.118,290.481,290.925,290.918,291.899,292.292,
    73,07/07/18 00:40:41,51,  0.00, 90.00,308.044,, 70.188, 66.672,, 63.950,, 56.393,,, 44.131,,, 35.628,,,, 30.195,,,, 27.135,125.528,143.022,165.575,194.163,231.269,263.399,281.293,285.614,286.433,291.445,291.725,290.890,291.033,291.888,
    75,07/07/18 00:41:20,51,  0.00, 90.00,308.037,, 70.388, 67.322,, 64.424,, 55.599,,, 44.252,,, 36.402,,,, 30.420,,,, 26.744,125.641,141.057,164.658,196.301,230.908,260.692,277.809,284.111,289.229,290.393,290.929,290.716,295.067,293.886,
    77,07/07/18 00:41:59,51,  0.00, 90.00,308.055,, 70.145, 66.402,, 64.154,, 56.274,,, 44.444,,, 35.823,,,, 29.691,,,, 27.646,124.860,141.809,164.924,197.799,232.541,261.325,280.637,289.309,290.740,290.908,291.035,291.796,292.045,291.996,
    79,07/07/18 00:42:39,51,  0.00, 90.00,308.060,, 70.290, 66.568,, 63.940,, 55.552,,, 44.016,,, 35.966,,,, 30.033,,,, 26.973,124.924,141.510,166.842,198.509,231.193,261.411,280.547,288.452,289.754,289.182,291.154,291.443,291.779,292.030,
    81,07/07/18 00:44:57,51,  0.00, 90.00,308.082,, 69.864, 66.771,, 64.242,, 55.943,,, 44.773,,, 35.855,,,, 29.645,,,, 27.219,125.031,139.120,164.412,197.916,231.420,262.041,281.905,289.475,291.531,288.082,290.491,294.121,293.073,290.020,
    83,07/07/18 00:45:37,51,  0.00, 90.00,308.093,, 70.142, 66.748,, 63.966,, 56.078,,, 44.301,,, 35.683,,,, 30.281,,,, 27.163,125.397,142.184,164.632,195.805,231.917,261.835,280.114,287.193,289.864,290.666,291.260,291.863,292.300,292.716,
    85,07/07/18 00:46:15,51,  0.00, 90.00,308.121,, 70.282, 66.623,, 63.413,, 55.179,,, 43.556,,, 35.658,,,, 30.174,,,, 26.663,124.975,141.601,166.059,196.428,229.814,260.620,280.628,288.210,289.739,290.975,291.887,291.963,291.175,290.369,
