Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/09/18 00:05:19,301,  5.704,  0.613,  1.000,
    25,07/09/18 00:05:58,301,  5.712,  0.659,  0.800,
    31,07/09/18 00:06:37,301,  5.693,  0.636,  0.500,
    37,07/09/18 00:07:16,301,  5.616,  0.707,  0.450,
    43,07/09/18 00:07:55,301,  5.667,  0.662,  0.400,
    49,07/09/18 00:10:12,301,  5.637,  0.602,  0.800,
    55,07/09/18 00:10:52,301,  5.611,  0.625,  0.500,
    61,07/09/18 00:11:32,301,  5.646,  0.582,  0.400,
    67,07/09/18 00:12:11,301,  5.620,  0.590,  0.450,
    73,07/09/18 00:12:50,301,  5.611,  0.611,  0.500,
    79,07/09/18 00:15:08,301,  5.672,  0.633,  0.400,
    85,07/09/18 00:15:47,301,  5.672,  0.648,  0.800,
    91,07/09/18 00:16:26,301,  5.609,  0.684,  0.400,
    97,07/09/18 00:17:06,301,  5.620,  0.651,  0.500,
   103,07/09/18 00:17:45,301,  5.631,  0.625,  0.450,
   109,07/09/18 00:20:04,301,  5.632,  0.590,  0.450,
   115,07/09/18 00:20:43,301,  5.636,  0.599,  0.500,
   121,07/09/18 00:21:25,301,  5.635,  0.540,  0.450,
   127,07/09/18 00:22:04,301,  5.603,  0.593,  0.450,
   133,07/09/18 00:22:43,301,  5.612,  0.592,  0.900,
   139,07/09/18 00:25:00,301,  5.616,  0.508,  0.450,
   145,07/09/18 00:25:39,301,  5.598,  0.557,  0.900,
   151,07/09/18 00:26:19,301,  5.616,  0.532,  0.600,
   157,07/09/18 00:26:58,301,  5.632,  0.526,  0.500,
   163,07/09/18 00:27:37,301,  5.604,  0.548,  0.500,
   169,07/09/18 00:29:54,301,  5.641,  0.608,  0.500,
   175,07/09/18 00:30:33,301,  5.534,  0.586,  0.500,
   181,07/09/18 00:31:13,301,  5.579,  0.599,  0.400,
   187,07/09/18 00:31:52,301,  5.573,  0.636,  0.450,
   193,07/09/18 00:32:31,301,  5.577,  0.652,  0.450,
   199,07/09/18 00:34:48,301,  5.627,  0.642,  0.400,
   205,07/09/18 00:35:27,301,  5.614,  0.737,  0.450,
   211,07/09/18 00:36:06,301,  5.580,  0.756,  0.600,
   217,07/09/18 00:36:45,301,  5.613,  0.650,  0.450,
   223,07/09/18 00:37:24,301,  5.586,  0.709,  0.450,
   229,07/09/18 00:39:42,301,  5.677,  0.854,  0.450,
   235,07/09/18 00:40:24,301,  5.677,  0.811,  0.500,
   241,07/09/18 00:41:04,301,  5.634,  0.793,  0.450,
   247,07/09/18 00:41:43,301,  5.662,  0.777,  0.500,
   253,07/09/18 00:42:22,301,  5.654,  0.745,  0.600,
   259,07/09/18 00:44:39,301,  5.646,  0.926,  0.500,
   265,07/09/18 00:45:21,301,  5.667,  0.921,  0.400,
   271,07/09/18 00:46:01,301,  5.622,  0.971,  0.500,
   277,07/09/18 00:46:41,301,  5.607,  0.984,  0.400,
   283,07/09/18 00:47:20,301,  5.663,  0.885,  0.500,
   289,07/09/18 00:49:37,301,  5.722,  0.788,  0.900,
   295,07/09/18 00:50:17,301,  5.665,  0.779,  0.600,
   301,07/09/18 00:50:56,301,  5.661,  0.781,  0.500,
   307,07/09/18 00:51:35,301,  5.678,  0.692,  0.450,
   313,07/09/18 00:52:14,301,  5.678,  0.613,  0.450,
   319,07/09/18 00:54:32,301,  5.677,  0.608,  0.800,
   325,07/09/18 00:55:11,301,  5.630,  0.630,  0.800,
   331,07/09/18 00:55:50,301,  5.701,  0.556,  0.500,
   337,07/09/18 00:56:30,301,  5.667,  0.564,  0.800,
   343,07/09/18 00:57:09,301,  5.692,  0.585,  0.800,
   349,07/09/18 00:59:27,301,  5.706,  0.600,  0.800,
   355,07/09/18 01:00:06,301,  5.657,  0.664,  0.450,
   361,07/09/18 01:00:45,301,  5.705,  0.609,  0.800,
   367,07/09/18 01:01:25,301,  5.657,  0.670,  0.600,
   373,07/09/18 01:02:04,301,  5.668,  0.671,  0.500,
   379,07/09/18 01:04:22,301,  5.731,  0.715,  0.450,
   385,07/09/18 01:05:01,301,  5.706,  0.706,  0.450,
   391,07/09/18 01:05:40,301,  5.708,  0.732,  0.800,
   397,07/09/18 01:06:20,301,  5.669,  0.805,  0.500,
   403,07/09/18 01:06:59,301,  5.692,  0.875,  0.500,
   409,07/09/18 01:09:17,301,  5.716,  0.830,  0.350,
   415,07/09/18 01:09:56,301,  5.735,  0.830,  0.800,
   421,07/09/18 01:10:36,301,  5.744,  0.818,  0.500,
   427,07/09/18 01:11:15,301,  5.782,  0.887,  0.900,
   433,07/09/18 01:11:55,301,  5.840,  0.851,  0.600,
   439,07/09/18 01:14:12,301,  5.731,  1.211,  0.450,
   445,07/09/18 01:14:52,301,  5.741,  1.198,  0.450,
   451,07/09/18 01:15:31,301,  5.746,  1.144,  0.500,
   457,07/09/18 01:16:11,301,  5.738,  1.057,  0.400,
   463,07/09/18 01:16:51,301,  5.756,  0.948,  0.450,
   469,07/09/18 01:19:08,301,  5.800,  0.977,  0.900,
   475,07/09/18 01:19:48,301,  5.692,  1.105,  0.400,
   481,07/09/18 01:20:28,301,  5.776,  1.140,  0.500,
   487,07/09/18 01:21:07,301,  5.731,  1.206,  0.600,
   493,07/09/18 01:21:47,301,  5.761,  1.190,  0.450,
   499,07/09/18 01:24:04,301,  5.801,  1.027,  0.450,
   505,07/09/18 01:24:43,301,  5.765,  0.902,  0.700,
   511,07/09/18 01:25:23,301,  5.739,  0.955,  0.450,
   517,07/09/18 01:26:02,301,  5.798,  0.968,  0.500,
   523,07/09/18 01:26:41,301,  5.716,  1.098,  0.800,
   529,07/09/18 01:28:59,301,  5.764,  0.898,  0.600,
   535,07/09/18 01:29:38,301,  5.827,  0.767,  0.800,
   541,07/09/18 01:30:17,301,  5.715,  0.840,  0.500,
   547,07/09/18 01:30:57,301,  5.750,  0.833,  0.500,
   553,07/09/18 01:31:35,301,  5.719,  0.804,  0.500,
   559,07/09/18 01:33:52,301,  5.771,  0.987,  0.250,
   565,07/09/18 01:34:31,301,  5.757,  1.005,  0.500,
   571,07/09/18 01:35:10,301,  5.764,  1.021,  0.500,
   577,07/09/18 01:35:50,301,  5.828,  0.942,  0.500,
   583,07/09/18 01:36:29,301,  5.728,  1.024,  0.450,
   589,07/09/18 01:38:46,301,  5.640,  1.066,  0.450,
   595,07/09/18 01:39:25,301,  5.754,  1.096,  0.500,
   601,07/09/18 01:40:07,301,  5.624,  1.626,  0.500,
   607,07/09/18 01:40:46,301,  5.884,  1.624,  0.450,
   613,07/09/18 01:41:25,301,  5.927,  1.474,  0.250,
   619,07/09/18 01:43:43,301,  5.822,  0.750,  1.000,
   625,07/09/18 01:44:22,301,  5.808,  0.781,  0.500,
   631,07/09/18 01:45:01,301,  5.832,  0.792,  0.800,
   637,07/09/18 01:45:40,301,  5.663,  1.131,  0.400,
   643,07/09/18 01:46:19,301,  5.797,  1.035,  0.450,
   649,07/09/18 01:48:37,301,  6.174,  1.238,  0.900,
   655,07/09/18 01:49:16,301,  6.528,  1.268,  1.000,
   661,07/09/18 01:49:55,301,  6.853,  1.472,  1.100,
   667,07/09/18 01:50:35,301,  7.119,  1.595,  1.100,
   673,07/09/18 01:51:14,301,  7.255,  1.591,  1.100,
   679,07/09/18 01:52:14,301,  7.781,  1.797,  0.000,
   685,07/09/18 01:52:54,301,  8.267,  1.935,  1.200,
   691,07/09/18 01:53:33,301,  8.902,  2.473,  0.200,
   697,07/09/18 01:54:12,301,  9.228,  2.815,  0.200,
   703,07/09/18 01:54:51,301,  9.327,  2.986,  1.300,
   709,07/09/18 01:55:51,301,  9.605,  3.588,  0.000,
   715,07/09/18 01:56:30,301,  9.877,  3.816,  0.000,
   721,07/09/18 01:57:10,301,  9.884,  3.874,  0.000,
   727,07/09/18 01:57:49,301,  9.974,  3.926,  0.000,
   733,07/09/18 01:58:28,301,  9.905,  4.081,  0.000,
   739,07/09/18 01:59:27,301,  9.916,  3.992,  0.000,
   745,07/09/18 02:00:07,301,  9.792,  3.916,  0.000,
   751,07/09/18 02:00:46,301,  9.729,  3.790,  1.400,
   757,07/09/18 02:01:25,301,  9.630,  3.764,  1.700,
   763,07/09/18 02:02:04,301,  9.575,  3.559,  1.700,
   769,07/09/18 02:03:04,301,  9.247,  3.472,  1.700,
   775,07/09/18 02:03:43,301,  9.041,  3.522,  1.800,
   781,07/09/18 02:04:22,301,  9.040,  3.146,  1.900,
   787,07/09/18 02:05:01,301,  9.045,  2.708,  1.800,
   793,07/09/18 02:05:40,301,  9.003,  2.382,  1.800,
   799,07/09/18 02:06:40,301,  8.694,  2.166,  1.600,
   805,07/09/18 02:07:19,301,  8.530,  2.043,  1.600,
   811,07/09/18 02:07:59,301,  8.402,  1.862,  1.400,
   817,07/09/18 02:08:38,301,  8.279,  1.680,  1.500,
   823,07/09/18 02:09:17,301,  8.150,  1.436,  1.400,
   829,07/09/18 02:10:17,301,  7.917,  1.152,  1.300,
   835,07/09/18 02:10:56,301,  7.752,  1.041,  1.300,
   841,07/09/18 02:11:36,301,  7.561,  1.003,  1.200,
   847,07/09/18 02:12:14,301,  7.446,  0.888,  1.300,
   853,07/09/18 02:12:54,301,  7.293,  0.871,  1.200,
   859,07/09/18 02:13:53,301,  7.128,  0.737,  1.200,
