Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800, Ch 
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
     1,07/03/18 00:05:12,51,  0.00, 90.00,310.658,,107.472,105.111,, 98.838,, 83.692,,, 64.409,,, 52.354,,,, 43.435,,,, 38.929,137.301,152.468,174.479,204.426,236.428,264.869,284.682,291.504,293.411,293.975,295.506,295.871,295.481,295.583,
     2,07/03/18 00:05:14,41, 300.3920,  88.6100, 998.8500, 278.3500,0
     3,07/03/18 00:05:51,51,  0.00, 90.00,310.635,,106.891,104.826,, 98.520,, 84.172,,, 65.251,,, 52.681,,,, 43.838,,,, 39.774,138.379,152.763,174.290,205.634,240.525,263.634,280.402,288.584,291.578,296.544,296.948,296.203,296.201,296.704,
     4,07/03/18 00:05:53,41, 300.4200,  87.8600, 998.8500, 279.4100,0
     5,07/03/18 00:06:31,51,  0.00, 90.00,310.639,,107.214,104.150,, 97.878,, 83.197,,, 64.367,,, 52.340,,,, 43.634,,,, 39.272,137.906,153.929,175.981,204.371,236.481,262.354,283.100,291.245,291.336,293.350,297.092,295.508,294.521,294.851,
     6,07/03/18 00:06:32,41, 300.3650,  87.9200, 998.8500, 286.3600,0
     7,07/03/18 00:07:10,51,  0.00, 90.00,310.642,,106.638,104.111,, 97.721,, 83.134,,, 64.088,,, 51.830,,,, 43.078,,,, 38.809,140.842,156.896,175.273,203.195,236.515,264.770,283.614,292.368,295.752,294.799,295.568,295.893,294.456,294.345,
     8,07/03/18 00:07:11,41, 300.3650,  88.5700, 998.7500, 286.9500,0
     9,07/03/18 00:07:49,51,  0.00, 90.00,310.637,,107.260,104.687,, 98.748,, 84.041,,, 64.980,,, 52.798,,,, 43.625,,,, 39.186,138.481,154.711,176.913,204.945,236.955,265.702,283.243,290.239,292.450,293.789,295.166,296.517,296.779,296.518,
    10,07/03/18 00:07:50,41, 300.4200,  88.2000, 998.7500, 283.3900,0
    11,07/03/18 00:10:07,51,  0.00, 90.00,310.693,,108.533,105.778,, 99.666,, 84.695,,, 66.434,,, 54.217,,,, 45.708,,,, 41.270,141.887,158.667,178.944,205.206,237.483,267.541,284.459,288.568,290.445,291.424,295.571,297.205,295.295,294.596,
    12,07/03/18 00:10:08,41, 300.5330,  89.8800, 998.6500, 290.2700,0
    13,07/03/18 00:10:46,51,  0.00, 90.00,310.692,,108.666,105.619,, 99.916,, 84.908,,, 65.837,,, 54.490,,,, 45.090,,,, 41.947,142.448,158.130,181.169,207.435,237.805,265.501,285.429,291.174,291.027,292.417,295.646,297.037,294.589,294.595,
