Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/04/18 00:05:20,301,  5.024,  0.188,  7.500,
    25,07/04/18 00:06:00,301,  5.080,  0.127,  7.500,
    31,07/04/18 00:06:39,301,  5.013,  0.170,  7.250,
    37,07/04/18 00:07:19,301,  4.988,  0.163,  7.500,
    43,07/04/18 00:07:58,301,  4.970,  0.201,  7.250,
    49,07/04/18 00:10:16,301,  5.049,  0.155,  7.250,
    55,07/04/18 00:10:55,301,  4.947,  0.218,  7.250,
    61,07/04/18 00:11:34,301,  4.940,  0.173,  7.750,
    67,07/04/18 00:12:14,301,  4.838,  0.302,  7.500,
    73,07/04/18 00:12:53,301,  4.989,  0.179,  7.500,
    79,07/04/18 00:15:11,301,  5.031,  0.144,  7.750,
    85,07/04/18 00:15:50,301,  4.956,  0.237,  7.500,
    91,07/04/18 00:16:29,301,  4.984,  0.180,  7.500,
    97,07/04/18 00:17:08,301,  4.991,  0.157,  7.500,
   103,07/04/18 00:17:47,301,  4.966,  0.188,  7.750,
   109,07/04/18 00:20:05,301,  5.057,  0.121,  7.500,
   115,07/04/18 00:20:45,301,  5.073,  0.036,  7.750,
   121,07/04/18 00:21:24,301,  4.980,  0.163,  7.250,
   127,07/04/18 00:22:03,301,  4.872,  0.220,  7.500,
   133,07/04/18 00:22:42,301,  5.006,  0.126,  7.500,
   139,07/04/18 00:25:00,301,  4.949,  0.149,  7.500,
   145,07/04/18 00:25:39,301,  4.923,  0.202,  7.500,
   151,07/04/18 00:26:18,301,  5.016,  0.135,  7.750,
   157,07/04/18 00:26:57,301,  4.949,  0.146,  7.500,
   163,07/04/18 00:27:36,301,  5.017,  0.149,  7.750,
   169,07/04/18 00:29:54,301,  5.013,  0.120,  7.500,
   175,07/04/18 00:30:33,301,  4.950,  0.216,  7.750,
   181,07/04/18 00:31:13,301,  4.976,  0.196,  7.500,
   187,07/04/18 00:31:52,301,  5.013,  0.174,  7.500,
   193,07/04/18 00:32:32,301,  5.063,  0.164,  7.500,
   199,07/04/18 00:34:48,301,  5.091,  0.130,  7.750,
   205,07/04/18 00:35:28,301,  5.089,  0.130,  7.000,
   211,07/04/18 00:36:07,301,  4.989,  0.194,  7.000,
   217,07/04/18 00:36:46,301,  4.947,  0.271,  7.000,
   223,07/04/18 00:37:25,301,  5.012,  0.182,  7.500,
   229,07/04/18 00:39:42,301,  4.998,  0.203,  7.500,
   235,07/04/18 00:40:22,301,  5.100,  0.110,  7.500,
   241,07/04/18 00:41:01,301,  5.002,  0.188,  7.000,
   247,07/04/18 00:41:41,301,  4.966,  0.216,  7.500,
   253,07/04/18 00:42:20,301,  4.993,  0.196,  7.500,
   259,07/04/18 00:44:37,301,  5.054,  0.120,  7.500,
   265,07/04/18 00:45:16,301,  4.983,  0.196,  7.500,
   271,07/04/18 00:45:56,301,  4.953,  0.211,  8.000,
   277,07/04/18 00:46:36,301,  5.060,  0.095,  7.750,
   283,07/04/18 00:47:15,301,  5.067,  0.162,  7.500,
