Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,07/18/2018 00:04:36,11, 22.000,0, 0.990420,  -522821.18,  0.55631077E+02, -0.11298425E+01,  0.55395653E-02, -0.79484273E-05, 202.52
     2,07/18/2018 00:04:36,11, 22.234,0, 0.998330,  -526099.25, -0.58891494E+03,  0.61485492E+01, -0.21463852E-01,  0.25050048E-04, 201.80
     3,07/18/2018 00:04:36,11, 22.500,0, 0.998550,  -497896.31, -0.30719799E+02,  0.33228168E+00, -0.14761064E-02,  0.23985674E-05, 194.66
     4,07/18/2018 00:04:36,11, 23.000,0, 0.999350,  -491340.93, -0.26834972E+02,  0.23040528E+00, -0.69130142E-03,  0.74442946E-06, 164.51
     5,07/18/2018 00:04:36,11, 23.034,0, 0.998920,  -471854.14,  0.34570782E+03, -0.35843588E+01,  0.12177431E-01, -0.13545685E-04, 161.93
     6,07/18/2018 00:04:36,11, 23.500,0, 0.998000,  -458488.50, -0.18654943E+03,  0.19420094E+01, -0.67472235E-02,  0.78235354E-05, 139.23
     7,07/18/2018 00:04:36,11, 23.834,0, 0.998760,  -443142.39, -0.70008956E+03,  0.71579588E+01, -0.24371814E-01,  0.27633403E-04, 125.74
     8,07/18/2018 00:04:36,11, 24.000,0, 0.998930,  -425806.91, -0.78894634E+02,  0.79464585E+00, -0.27313362E-02,  0.32044246E-05, 121.57
     9,07/18/2018 00:04:36,11, 24.500,0, 0.996100,  -420555.62, -0.24482681E+03,  0.25028537E+01, -0.85575056E-02,  0.97866030E-05, 112.93
    10,07/18/2018 00:04:36,11, 25.000,0, 0.997900,  -419212.37, -0.21760618E+03,  0.22018348E+01, -0.74555551E-02,  0.84499679E-05, 111.01
    11,07/18/2018 00:04:36,11, 25.500,0, 0.996590,  -350355.50, -0.67040129E+02,  0.56843600E+00, -0.16372826E-02,  0.16355388E-05, 115.69
    12,07/18/2018 00:04:36,11, 26.000,0, 0.997270,  -405048.28,  0.37139994E+01, -0.13398144E+00,  0.69118214E-03, -0.94254786E-06, 135.47
    13,07/18/2018 00:04:36,11, 26.234,0, 0.998570,  -362499.16, -0.19960195E+03,  0.20529035E+01, -0.70823139E-02,  0.81956017E-05, 137.80
    14,07/18/2018 00:04:36,11, 26.500,0, 0.999160,  -381022.94, -0.11743274E+03,  0.11850354E+01, -0.40048155E-02,  0.45339070E-05, 136.17
    15,07/18/2018 00:04:36,11, 27.000,0, 0.997780,  -365182.85, -0.89628384E+02,  0.85141332E+00, -0.27462610E-02,  0.30209960E-05, 126.25
    16,07/18/2018 00:04:36,11, 27.500,0, 0.997640,  -342718.22, -0.46312602E+02,  0.45109653E+00, -0.15122384E-02,  0.17497174E-05, 113.23
    17,07/18/2018 00:04:36,11, 28.000,0, 0.998550,  -387690.38, -0.11710820E+03,  0.12131660E+01, -0.41884467E-02,  0.48193212E-05, 112.69
    18,07/18/2018 00:04:36,11, 28.500,0, 0.996380,  -378648.46, -0.11704098E+03,  0.11771544E+01, -0.39762234E-02,  0.45129605E-05,  96.42
    19,07/18/2018 00:04:36,11, 29.000,0, 0.996600,  -370650.60, -0.80617683E+02,  0.82249638E+00, -0.28337851E-02,  0.32971856E-05,  84.56
    20,07/18/2018 00:04:36,11, 29.500,0, 0.996140,  -381985.85, -0.12757593E+03,  0.12837891E+01, -0.43448930E-02,  0.49482388E-05, 103.93
    21,07/18/2018 00:04:36,11, 30.000,0, 0.998090,  -485519.98, -0.17352383E+03,  0.17292957E+01, -0.58248531E-02,  0.66381658E-05, 153.41
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    22,07/18/2018 00:09:40,31,317.415, 199.834, 0.999495, 200.236, 0.999537, 190.113, 0.999638, 161.686, 0.999721, 158.170, 0.999649, 137.285, 0.999857, 123.615, 0.999686, 118.643, 1.000000, 111.181, 0.999424, 110.067, 0.999723, 114.577, 0.999251, 134.162, 0.999469, 136.487, 0.999687, 135.418, 0.999528, 125.153, 0.999684, 112.263, 0.999667, 111.703, 0.999737,  95.564, 0.999606,  83.765, 0.999820, 103.450, 0.999454, 151.631, 0.999547
    23,07/18/2018 00:14:35,31,317.620, 198.850, 0.999571, 199.137, 0.999341, 189.138, 0.999674, 161.017, 0.999885, 157.807, 0.999779, 136.748, 0.999765, 123.187, 0.999741, 118.406, 1.000000, 110.853, 0.999538, 109.595, 0.999732, 114.289, 0.999243, 134.123, 0.999606, 135.926, 0.999504, 134.879, 0.999598, 124.937, 0.999670, 112.038, 0.999824, 111.416, 0.999660,  95.601, 0.999618,  83.695, 0.999750, 103.081, 0.999641, 150.990, 0.999898
    24,07/18/2018 00:19:30,31,317.821, 199.747, 0.999616, 199.635, 0.999592, 189.955, 0.999491, 161.682, 0.999769, 158.229, 0.999764, 137.095, 0.999676, 123.754, 0.999800, 119.269, 1.000000, 111.028, 0.999641, 110.104, 0.999864, 114.508, 0.999267, 134.054, 0.999694, 136.243, 0.999770, 135.374, 0.999590, 125.058, 0.999670, 112.499, 0.999731, 111.658, 0.999611,  95.539, 0.999534,  83.753, 0.999783, 103.327, 0.999698, 151.500, 0.999791
    25,07/18/2018 00:24:26,31,318.039, 199.954, 0.999346, 200.248, 0.999478, 190.306, 0.999657, 161.937, 0.999800, 158.357, 0.999685, 137.478, 0.999904, 123.967, 0.999739, 118.744, 1.000000, 111.155, 0.999589, 110.204, 0.999605, 114.457, 0.999373, 134.261, 0.999482, 136.511, 0.999478, 135.427, 0.999490, 125.254, 0.999567, 112.524, 0.999661, 111.853, 0.999633,  95.738, 0.999806,  83.830, 0.999839, 103.388, 0.999541, 151.640, 0.999718
    26,07/18/2018 00:29:21,31,318.252, 199.961, 0.999271, 200.704, 0.999339, 190.433, 0.999718, 162.242, 0.999840, 158.707, 0.999592, 137.895, 0.999771, 123.924, 0.999774, 119.572, 1.000000, 111.384, 0.999507, 110.137, 0.999595, 114.547, 0.999129, 134.173, 0.999365, 136.465, 0.999217, 135.490, 0.999401, 125.223, 0.999456, 112.432, 0.999500, 111.678, 0.999549,  95.489, 0.999527,  83.796, 0.999361, 103.441, 0.999444, 151.806, 0.999507
    27,07/18/2018 00:34:16,31,318.459, 200.776, 0.999222, 201.750, 0.999453, 191.187, 0.999782, 162.794, 0.999909, 159.432, 0.999663, 138.320, 0.999901, 124.240, 0.999724, 119.261, 1.000000, 111.701, 0.999520, 110.444, 0.999663, 114.910, 0.999318, 134.574, 0.999669, 136.791, 0.999585, 135.826, 0.999588, 125.409, 0.999487, 112.501, 0.999613, 111.881, 0.999617,  95.912, 0.999635,  84.037, 0.999788, 103.624, 0.999642, 152.009, 0.999726
    28,07/18/2018 00:39:11,31,318.678, 200.174, 0.999037, 200.403, 0.999147, 190.146, 0.999628, 161.993, 0.999776, 158.482, 0.999520, 137.774, 0.999671, 123.772, 0.999674, 119.141, 1.000000, 111.135, 0.999554, 109.861, 0.999457, 114.543, 0.999006, 134.292, 0.998994, 136.626, 0.999015, 135.478, 0.999434, 125.198, 0.999003, 112.249, 0.999263, 111.708, 0.999013,  95.574, 0.999366,  83.833, 0.999285, 103.344, 0.999230, 151.476, 0.999314
    29,07/18/2018 00:44:07,31,318.897, 199.345, 0.998413, 199.755, 0.998842, 189.657, 0.999355, 161.850, 0.999543, 158.054, 0.999091, 137.340, 0.999358, 123.459, 0.999346, 118.730, 1.000000, 110.978, 0.999056, 109.842, 0.999202, 114.239, 0.998306, 134.193, 0.998932, 136.240, 0.998729, 135.118, 0.999278, 124.911, 0.998997, 112.271, 0.999460, 111.537, 0.999213,  95.457, 0.999347,  83.681, 0.999372, 103.381, 0.999239, 151.413, 0.999286
    30,07/18/2018 00:49:02,31,319.182, 199.703, 0.999539, 199.876, 0.999432, 190.000, 0.999758, 161.768, 0.999819, 158.204, 0.999804, 137.335, 0.999844, 123.512, 0.999900, 119.187, 1.000000, 110.978, 0.999591, 109.937, 0.999781, 114.335, 0.999503, 134.194, 0.999537, 136.129, 0.999446, 135.018, 0.999740, 125.088, 0.999559, 112.172, 0.999466, 111.589, 0.999681,  95.524, 0.999604,  83.705, 0.999821, 103.423, 0.999540, 151.556, 0.999587
