Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    31,07/14/2018 00:54:48,31,315.795, 198.758, 0.999850, 198.435, 0.999693, 188.787, 0.999888, 160.494, 0.999708, 157.413, 0.999680, 136.686, 0.999306, 123.019, 0.999624, 119.745, 1.000000, 110.876, 0.999292, 109.593, 0.999248, 114.111, 0.998711, 133.811, 0.999179, 135.927, 0.999041, 135.033, 0.999122, 124.791, 0.999126, 111.898, 0.999469, 111.336, 0.999812,  95.288, 0.999921,  83.716, 0.999250, 103.237, 0.998871, 151.227, 0.999085
    32,07/14/2018 00:59:42,31,315.844, 199.881, 0.999771, 199.927, 0.999708, 189.850, 0.999627, 161.338, 0.999797, 157.952, 0.999755, 137.155, 0.999664, 123.427, 0.999731, 120.620, 1.000000, 110.944, 0.999202, 109.924, 0.999325, 114.393, 0.999036, 134.062, 0.999239, 136.439, 0.999273, 135.304, 0.999397, 125.203, 0.999301, 112.247, 0.999595, 111.589, 0.999404,  95.583, 0.999646,  83.743, 0.999268, 103.441, 0.998885, 151.357, 0.999204
    33,07/14/2018 01:04:36,31,315.890, 198.972, 0.999521, 198.984, 0.999384, 189.115, 0.999358, 160.867, 0.999392, 157.625, 0.999600, 136.665, 0.999546, 122.880, 0.999347, 120.462, 1.000000, 110.813, 0.999287, 109.746, 0.999697, 114.151, 0.999209, 133.908, 0.999399, 136.023, 0.999413, 134.993, 0.999322, 124.948, 0.999322, 112.052, 0.999417, 111.419, 0.999502,  95.330, 0.999370,  83.476, 0.999376, 103.214, 0.999212, 151.244, 0.999093
    34,07/14/2018 01:09:30,31,315.903, 200.488, 0.999794, 200.364, 0.999577, 191.070, 0.999557, 162.301, 0.999616, 158.987, 0.999767, 137.776, 0.999805, 124.145, 0.999735, 120.448, 1.000000, 111.426, 0.999670, 110.242, 0.999904, 114.900, 0.999716, 134.355, 0.999827, 136.974, 0.999876, 135.476, 0.999798, 125.276, 0.999881, 112.590, 0.999800, 111.784, 0.999894,  95.628, 0.999600,  83.937, 0.999794, 103.694, 0.999786, 151.855, 0.999614
    35,07/14/2018 01:14:24,31,315.940, 201.625, 0.999743, 202.000, 0.999547, 191.691, 0.999727, 163.371, 0.999738, 159.827, 0.999824, 138.542, 0.999851, 124.870, 0.999692, 121.353, 1.000000, 112.007, 0.999656, 110.829, 0.999777, 115.186, 0.999348, 134.926, 0.999692, 137.106, 0.999628, 136.123, 0.999604, 125.811, 0.999771, 112.980, 0.999776, 112.116, 0.999799,  95.971, 0.999789,  83.983, 0.999829, 103.800, 0.999728, 152.082, 0.999809
    36,07/14/2018 01:19:19,31,315.943, 200.447, 0.999919, 200.432, 0.999930, 190.074, 0.999971, 161.781, 0.999915, 158.580, 0.999981, 137.413, 0.999920, 124.155, 0.999951, 120.367, 1.000000, 111.288, 0.999931, 110.123, 0.999893, 114.624, 0.999864, 134.400, 0.999958, 136.488, 0.999894, 135.273, 0.999973, 125.295, 0.999850, 112.173, 0.999973, 111.486, 0.999975,  95.670, 0.999527,  83.833, 0.999982, 103.232, 0.999952, 151.632, 0.999956
    37,07/14/2018 01:24:13,31,315.941, 200.584, 0.999288, 201.169, 0.999302, 190.623, 0.999582, 162.221, 0.999692, 158.672, 0.999374, 137.621, 0.999408, 124.049, 0.999558, 120.507, 1.000000, 111.588, 0.999213, 110.141, 0.999156, 114.631, 0.998559, 134.658, 0.999145, 136.619, 0.998687, 135.601, 0.998960, 125.306, 0.998711, 112.322, 0.999256, 111.502, 0.999119,  95.775, 0.998993,  83.843, 0.999334, 103.537, 0.998936, 151.732, 0.999025
    38,07/14/2018 01:29:07,31,315.954, 199.616, 0.998913, 199.110, 0.999120, 189.710, 0.999625, 161.374, 0.999479, 157.717, 0.999209, 137.094, 0.999168, 123.692, 0.999584, 119.401, 1.000000, 111.094, 0.998901, 109.971, 0.998869, 114.340, 0.997958, 134.060, 0.998304, 136.094, 0.998308, 134.899, 0.998402, 124.775, 0.998558, 111.998, 0.999328, 111.401, 0.999272,  95.404, 0.999459,  83.610, 0.998622, 103.284, 0.998310, 151.068, 0.999136
    39,07/14/2018 01:34:02,31,315.931, 198.958, 0.999365, 198.448, 0.998993, 188.367, 0.999547, 160.726, 0.999545, 157.438, 0.999546, 136.432, 0.999200, 122.802, 0.999657, 119.516, 1.000000, 110.821, 0.999263, 109.279, 0.999136, 114.024, 0.998470, 133.869, 0.999294, 136.026, 0.999229, 134.724, 0.999348, 124.759, 0.999555, 111.976, 0.999861, 111.227, 0.999911,  95.365, 0.999926,  83.613, 0.999650, 103.342, 0.999519, 151.285, 0.999756
    40,07/14/2018 01:38:56,31,315.904, 198.277, 0.999070, 198.315, 0.998938, 188.056, 0.999536, 160.791, 0.999665, 156.947, 0.999431, 136.401, 0.999440, 122.978, 0.999433, 119.191, 1.000000, 110.761, 0.999298, 109.654, 0.999016, 114.086, 0.998948, 133.814, 0.998862, 136.039, 0.998997, 134.936, 0.999254, 124.761, 0.998961, 111.928, 0.999351, 111.411, 0.999403,  95.345, 0.999227,  83.584, 0.999153, 103.060, 0.999279, 151.190, 0.999408
