Record,DateTime,40,TambK,Rh,Presmb,TirK,Rain
     2,07/14/18 00:05:14,41, 304.9740,  66.8400,1011.7500, 251.2200,0
     4,07/14/18 00:05:54,41, 304.8770,  65.6900,1011.7500, 251.2000,0
     6,07/14/18 00:06:33,41, 304.7790,  64.9900,1011.6500, 250.1200,0
     8,07/14/18 00:07:13,41, 304.7520,  64.7700,1011.8500, 250.8800,0
    10,07/14/18 00:07:52,41, 304.7790,  65.9500,1011.7500, 251.0400,0
    12,07/14/18 00:10:10,41, 304.6700,  66.0800,1011.6500, 251.1100,0
    14,07/14/18 00:11:48,41, 304.6810,  66.1700,1011.6500, 251.2700,0
    16,07/14/18 00:12:28,41, 304.6540,  66.3600,1011.7500, 251.2600,0
    18,07/14/18 00:13:07,41, 304.7950,  66.6000,1011.6500, 251.5700,0
    20,07/14/18 00:13:46,41, 304.7520,  65.5600,1011.6500, 251.3100,0
    22,07/14/18 00:16:04,41, 304.8380,  65.7900,1011.6500, 251.8200,0
    24,07/14/18 00:16:43,41, 304.9470,  67.1800,1011.5500, 251.6400,0
    26,07/14/18 00:17:22,41, 304.9900,  66.5200,1011.7500, 251.9900,0
    28,07/14/18 00:18:02,41, 305.0880,  64.8300,1011.7500, 252.2800,0
    30,07/14/18 00:18:41,41, 305.1150,  64.2400,1011.6500, 251.8900,0
    32,07/14/18 00:20:59,41, 305.5210,  65.3500,1011.6500, 252.1300,0
    34,07/14/18 00:21:38,41, 305.5640,  64.2400,1011.7500, 252.6700,0
    36,07/14/18 00:22:17,41, 305.5800,  64.0800,1011.6500, 252.3700,0
    38,07/14/18 00:22:56,41, 305.6230,  63.8400,1011.7500, 252.0200,0
    40,07/14/18 00:23:36,41, 305.7050,  64.6900,1011.6500, 251.8700,0
    42,07/14/18 00:25:56,41, 305.8180,  63.5000,1011.6500, 252.7400,0
    44,07/14/18 00:26:36,41, 305.6500,  63.8400,1011.6500, 252.8200,0
    46,07/14/18 00:27:15,41, 305.7200,  64.0200,1011.6500, 252.9500,0
    48,07/14/18 00:27:54,41, 305.9000,  63.9000,1011.7500, 252.7600,0
    50,07/14/18 00:28:33,41, 305.8450,  61.4300,1011.6500, 252.6000,0
    52,07/14/18 00:30:50,41, 305.9000,  62.6200,1011.7500, 253.4300,0
    54,07/14/18 00:31:29,41, 305.9590,  63.4900,1011.7500, 253.2900,0
    56,07/14/18 00:32:09,41, 305.9860,  63.4900,1011.7500, 252.8800,0
    58,07/14/18 00:32:48,41, 305.9430,  61.7100,1011.7500, 252.8700,0
    60,07/14/18 00:33:27,41, 305.9590,  61.7800,1011.7500, 253.3700,0
    62,07/14/18 00:35:45,41, 305.9310,  61.1700,1011.6500, 253.0100,0
    64,07/14/18 00:36:24,41, 305.9860,  60.9500,1011.7500, 252.5700,0
    66,07/14/18 00:37:03,41, 306.0290,  62.6800,1011.6500, 253.0500,0
    68,07/14/18 00:37:42,41, 305.9700,  62.0900,1011.7500, 252.8900,0
    70,07/14/18 00:38:21,41, 306.0410,  62.1300,1011.6500, 252.8800,0
    72,07/14/18 00:40:39,41, 306.1810,  64.0300,1011.6500, 253.6400,0
    74,07/14/18 00:41:18,41, 306.1810,  66.4800,1011.6500, 253.5100,0
    76,07/14/18 00:41:57,41, 305.8180,  64.0900,1011.6500, 253.9500,0
    78,07/14/18 00:42:37,41, 305.5640,  64.5600,1011.6500, 253.6100,0
    80,07/14/18 00:43:16,41, 305.5100,  66.8600,1011.6500, 253.6700,0
    82,07/14/18 00:45:33,41, 304.9470,  67.4500,1011.7500, 254.0300,0
    84,07/14/18 00:46:12,41, 304.7790,  68.8000,1011.6500, 253.4600,0
    86,07/14/18 00:46:51,41, 304.6970,  70.9100,1011.6500, 253.1500,0
    88,07/14/18 00:47:30,41, 304.5130,  72.2100,1011.6500, 253.3300,0
    90,07/14/18 00:48:09,41, 304.2910,  71.5600,1011.7500, 253.8200,0
    92,07/14/18 00:50:28,41, 303.9120,  73.8200,1011.6500, 253.5700,0
    94,07/14/18 00:51:08,41, 303.8850,  74.4000,1011.7500, 252.7900,0
    96,07/14/18 00:51:47,41, 303.7560,  73.6100,1011.5500, 253.1800,0
    98,07/14/18 00:52:26,41, 303.7280,  74.1100,1011.6500, 253.1400,0
   100,07/14/18 00:53:05,41, 303.8850,  75.0800,1011.6500, 252.3200,0
   102,07/14/18 00:55:22,41, 303.5060,  73.6100,1011.6500, 253.4300,0
   104,07/14/18 00:56:02,41, 303.4630,  73.7100,1011.7500, 252.6100,0
   106,07/14/18 00:56:41,41, 303.4350,  74.4000,1011.7500, 252.9200,0
   108,07/14/18 00:57:20,41, 303.4470,  73.7100,1011.6500, 253.2500,0
   110,07/14/18 00:57:59,41, 303.5600,  74.5000,1011.7500, 253.9000,0
   112,07/14/18 01:00:17,41, 303.6310,  74.5100,1011.7500, 253.5600,0
   114,07/14/18 01:00:56,41, 303.6850,  74.5400,1011.6500, 253.0400,0
   116,07/14/18 01:01:36,41, 303.6030,  73.8400,1011.7500, 252.5500,0
   118,07/14/18 01:02:15,41, 303.4780,  73.4900,1011.6500, 252.4100,0
   120,07/14/18 01:02:54,41, 303.5330,  74.8800,1011.6500, 253.3100,0
   122,07/14/18 01:05:11,41, 303.5330,  73.7000,1011.6500, 253.6100,0
   124,07/14/18 01:05:50,41, 303.4900,  74.2200,1011.7500, 253.6300,0
   126,07/14/18 01:06:29,41, 303.4080,  73.9900,1011.7500, 254.2200,0
   128,07/14/18 01:07:08,41, 303.6460,  75.7300,1011.7500, 253.9900,0
   130,07/14/18 01:07:47,41, 303.7440,  75.2900,1011.7500, 253.1200,0
   132,07/14/18 01:10:05,41, 303.4200,  73.2700,1011.7500, 252.8200,0
   134,07/14/18 01:10:44,41, 303.5330,  74.3600,1011.7500, 253.3800,0
   136,07/14/18 01:11:23,41, 303.5330,  74.6600,1011.6500, 253.0800,0
   138,07/14/18 01:12:02,41, 303.5600,  75.6300,1011.7500, 253.4700,0
   140,07/14/18 01:12:41,41, 303.5330,  75.3700,1011.8500, 254.4600,0
   142,07/14/18 01:14:59,41, 303.4470,  74.2000,1011.7500, 254.3800,0
   144,07/14/18 01:15:38,41, 303.6580,  76.4900,1011.7500, 253.3400,0
   146,07/14/18 01:16:17,41, 303.5760,  74.8100,1011.8500, 254.3800,0
   148,07/14/18 01:16:56,41, 303.4780,  74.5600,1011.8500, 254.0400,0
   150,07/14/18 01:17:35,41, 303.5600,  75.3100,1011.7500, 254.1400,0
   152,07/14/18 01:19:54,41, 303.6850,  78.6800,1011.7500, 252.3300,0
   154,07/14/18 01:20:33,41, 303.5330,  76.0900,1011.7500, 253.1600,0
   156,07/14/18 01:21:12,41, 303.5880,  76.1200,1011.7500, 253.2800,0
   158,07/14/18 01:21:51,41, 303.6740,  76.1900,1011.7500, 252.8900,0
   160,07/14/18 01:22:30,41, 303.7010,  76.0900,1011.6500, 253.8900,0
   162,07/14/18 01:24:48,41, 303.8420,  74.9900,1011.7500, 253.4000,0
   164,07/14/18 01:25:27,41, 303.7710,  75.0800,1011.7500, 253.1900,0
   166,07/14/18 01:26:06,41, 303.6580,  74.4200,1011.6500, 253.4900,0
   168,07/14/18 01:26:45,41, 303.6850,  75.8300,1011.7500, 253.2100,0
   170,07/14/18 01:27:24,41, 303.6460,  75.0900,1011.8500, 253.7500,0
   172,07/14/18 01:29:42,41, 303.5760,  77.4900,1011.7500, 253.4500,0
   174,07/14/18 01:30:21,41, 303.4630,  77.5300,1011.7500, 253.8700,0
   176,07/14/18 01:31:01,41, 303.2790,  77.5900,1011.7500, 253.5400,0
   178,07/14/18 01:31:40,41, 303.2950,  79.1100,1011.7500, 253.2500,0
   180,07/14/18 01:32:19,41, 303.2240,  78.6300,1011.7500, 253.1100,0
   182,07/14/18 01:34:37,41, 303.1970,  80.5000,1011.7500, 254.1700,0
   184,07/14/18 01:35:16,41, 303.2670,  80.5000,1011.8500, 254.1200,0
   186,07/14/18 01:35:55,41, 303.0680,  78.3100,1011.7500, 254.5700,0
   188,07/14/18 01:36:34,41, 303.1110,  79.9700,1011.7500, 253.1700,0
   190,07/14/18 01:37:13,41, 303.2240,  80.4000,1011.8500, 253.6200,0
   192,07/14/18 01:39:31,41, 303.2400,  78.6300,1011.7500, 252.8800,0
   194,07/14/18 01:40:10,41, 303.4630,  80.2800,1011.7500, 253.0700,0
   196,07/14/18 01:40:50,41, 303.4350,  78.8000,1011.7500, 253.5200,0
   198,07/14/18 01:41:29,41, 303.4630,  77.4400,1011.7500, 253.7500,0
   200,07/14/18 01:42:08,41, 303.6460,  77.8500,1011.8500, 254.0100,0
   202,07/14/18 01:44:26,41, 303.7830,  76.1200,1011.7500, 253.6200,0
   204,07/14/18 01:45:05,41, 303.8690,  76.0200,1011.7500, 253.3000,0
   206,07/14/18 01:45:44,41, 303.7830,  76.1300,1011.7500, 254.0500,0
   208,07/14/18 01:46:23,41, 303.9240,  76.6300,1011.8500, 253.9700,0
   210,07/14/18 01:47:02,41, 303.7440,  74.0500,1011.7500, 253.4100,0
   212,07/14/18 01:49:21,41, 303.7830,  75.6700,1011.7500, 253.5700,0
   214,07/14/18 01:50:00,41, 303.8960,  76.4100,1011.6500, 253.4000,0
   216,07/14/18 01:50:40,41, 304.0520,  77.2400,1011.7500, 253.9400,0
   218,07/14/18 01:51:19,41, 303.9670,  75.3200,1011.7500, 253.0500,0
   220,07/14/18 01:51:58,41, 304.0100,  75.1300,1011.7500, 253.6700,0
   222,07/14/18 01:54:16,41, 303.9820,  73.1500,1011.6500, 253.6400,0
   224,07/14/18 01:54:55,41, 303.9120,  73.2600,1011.6500, 253.2500,0
