Record,DateTime,50,Azdeg,Eldeg,TkBBK,Ch22.000,Ch22.234,Ch22.500,Ch23.000,Ch23.034,Ch23.500,Ch23.834,Ch24.000,Ch24.500,Ch25.000,Ch25.500,Ch26.000,Ch26.234,Ch26.500,Ch27.000,Ch27.500,Ch28.000,Ch28.500,Ch29.000,Ch29.500,Ch30.000,Ch51.248,Ch51.760,Ch52.280,Ch52.804,Ch53.336,Ch53.848,Ch54.400,Ch54.940,Ch55.500,Ch56.020,Ch56.660,Ch57.288,Ch57.964,Ch58.800,Ch
     1,07/12/18 00:05:13,51,  0.00, 90.00,316.081,, 92.822, 89.900,, 86.087,, 73.675,,, 58.091,,, 47.202,,,, 39.398,,,, 35.702,134.780,151.652,174.232,204.231,240.071,269.629,285.913,292.221,294.421,295.339,297.645,298.108,296.686,298.257,
     3,07/12/18 00:05:53,51,  0.00, 90.00,316.128,, 92.477, 89.588,, 84.843,, 72.980,,, 57.459,,, 46.620,,,, 39.256,,,, 34.573,134.683,150.528,173.423,204.209,238.692,266.673,284.871,292.556,295.702,298.870,297.643,295.596,297.428,296.878,
     5,07/12/18 00:06:32,51,  0.00, 90.00,316.138,, 91.805, 89.022,, 84.515,, 72.919,,, 57.691,,, 46.868,,,, 37.690,,,, 33.778,134.843,150.177,173.468,203.630,238.613,267.251,286.382,293.159,294.775,294.521,295.165,295.746,296.941,295.995,
     7,07/12/18 00:07:12,51,  0.00, 90.00,316.150,, 92.474, 89.663,, 85.083,, 72.855,,, 57.249,,, 46.899,,,, 38.738,,,, 35.086,134.856,151.157,174.276,204.145,238.215,266.445,284.911,292.047,294.427,295.099,295.630,296.437,296.787,296.262,
     9,07/12/18 00:07:51,51,  0.00, 90.00,316.160,, 92.978, 90.040,, 85.092,, 73.505,,, 57.748,,, 46.669,,,, 38.475,,,, 34.837,134.817,152.172,173.508,203.963,241.979,269.919,285.773,292.215,294.559,294.882,295.296,296.200,297.113,295.993,
    11,07/12/18 00:10:08,51,  0.00, 90.00,316.264,, 92.302, 89.427,, 84.930,, 73.139,,, 57.067,,, 46.908,,,, 39.486,,,, 35.219,133.585,148.915,173.123,203.965,238.512,267.016,285.810,292.915,294.521,295.428,296.217,296.645,297.132,296.761,
    13,07/12/18 00:10:48,51,  0.00, 90.00,316.288,, 92.540, 89.261,, 85.355,, 72.880,,, 56.869,,, 46.556,,,, 38.817,,,, 34.966,133.851,150.482,173.856,204.000,238.371,267.458,285.234,292.459,294.374,294.695,296.229,296.336,296.810,297.153,
    15,07/12/18 00:11:27,51,  0.00, 90.00,316.298,, 91.725, 88.958,, 84.859,, 72.481,,, 57.000,,, 46.151,,,, 38.549,,,, 34.466,134.526,150.735,173.217,203.978,238.128,267.060,285.435,292.528,294.528,296.073,295.841,296.412,297.219,296.790,
    17,07/12/18 00:12:06,51,  0.00, 90.00,316.347,, 91.702, 89.113,, 84.447,, 72.981,,, 57.096,,, 46.574,,,, 38.453,,,, 34.683,134.116,150.780,174.269,204.001,238.148,266.759,285.326,292.406,295.151,295.192,295.557,296.517,297.036,298.940,
    19,07/12/18 00:12:45,51,  0.00, 90.00,316.365,, 91.778, 89.009,, 84.478,, 72.699,,, 56.689,,, 45.969,,,, 38.438,,,, 34.084,134.111,150.171,173.956,203.193,238.070,266.991,285.385,292.625,294.667,295.085,295.803,296.365,296.669,296.340,
    21,07/12/18 00:15:03,51,  0.00, 90.00,316.443,, 92.193, 89.151,, 84.737,, 72.585,,, 56.783,,, 45.888,,,, 38.386,,,, 34.399,134.391,150.712,173.594,203.682,238.155,266.546,285.666,292.222,294.521,295.219,295.479,296.678,296.798,296.533,
    23,07/12/18 00:15:43,51,  0.00, 90.00,316.488,, 92.094, 89.179,, 84.989,, 72.938,,, 57.174,,, 46.222,,,, 38.689,,,, 34.749,136.048,152.032,173.603,203.643,238.591,266.922,285.556,292.572,294.929,295.726,296.085,296.879,297.015,296.342,
    25,07/12/18 00:16:22,51,  0.00, 90.00,316.507,, 92.070, 89.284,, 84.453,, 73.342,,, 56.942,,, 46.900,,,, 38.587,,,, 34.637,134.570,150.432,173.268,203.676,238.569,266.865,285.426,292.330,294.093,295.726,296.010,297.037,297.076,296.689,
    27,07/12/18 00:17:01,51,  0.00, 90.00,316.538,, 92.048, 89.174,, 84.399,, 72.563,,, 56.806,,, 46.827,,,, 38.599,,,, 34.853,135.242,151.284,174.273,204.562,238.471,266.886,285.864,292.496,294.603,295.405,295.290,296.605,297.372,296.733,
    29,07/12/18 00:17:40,51,  0.00, 90.00,316.555,, 92.329, 89.916,, 85.294,, 72.548,,, 58.185,,, 47.283,,,, 39.344,,,, 35.311,135.939,152.446,174.612,204.775,238.741,266.813,285.236,292.302,294.197,295.002,296.273,295.751,296.733,297.010,
