Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,07/16/2018 00:04:33,11, 22.000,0, 0.990420,  -522821.18,  0.55631077E+02, -0.11298425E+01,  0.55395653E-02, -0.79484273E-05, 202.52
     2,07/16/2018 00:04:33,11, 22.234,0, 0.998330,  -526099.25, -0.58891494E+03,  0.61485492E+01, -0.21463852E-01,  0.25050048E-04, 201.80
     3,07/16/2018 00:04:33,11, 22.500,0, 0.998550,  -497896.31, -0.30719799E+02,  0.33228168E+00, -0.14761064E-02,  0.23985674E-05, 194.66
     4,07/16/2018 00:04:33,11, 23.000,0, 0.999350,  -491340.93, -0.26834972E+02,  0.23040528E+00, -0.69130142E-03,  0.74442946E-06, 164.51
     5,07/16/2018 00:04:33,11, 23.034,0, 0.998920,  -471854.14,  0.34570782E+03, -0.35843588E+01,  0.12177431E-01, -0.13545685E-04, 161.93
     6,07/16/2018 00:04:33,11, 23.500,0, 0.998000,  -458488.50, -0.18654943E+03,  0.19420094E+01, -0.67472235E-02,  0.78235354E-05, 139.23
     7,07/16/2018 00:04:33,11, 23.834,0, 0.998760,  -443142.39, -0.70008956E+03,  0.71579588E+01, -0.24371814E-01,  0.27633403E-04, 125.74
     8,07/16/2018 00:04:33,11, 24.000,0, 0.998930,  -425806.91, -0.78894634E+02,  0.79464585E+00, -0.27313362E-02,  0.32044246E-05, 121.57
     9,07/16/2018 00:04:33,11, 24.500,0, 0.996100,  -420555.62, -0.24482681E+03,  0.25028537E+01, -0.85575056E-02,  0.97866030E-05, 112.93
    10,07/16/2018 00:04:33,11, 25.000,0, 0.997900,  -419212.37, -0.21760618E+03,  0.22018348E+01, -0.74555551E-02,  0.84499679E-05, 111.01
    11,07/16/2018 00:04:33,11, 25.500,0, 0.996590,  -350355.50, -0.67040129E+02,  0.56843600E+00, -0.16372826E-02,  0.16355388E-05, 115.69
    12,07/16/2018 00:04:33,11, 26.000,0, 0.997270,  -405048.28,  0.37139994E+01, -0.13398144E+00,  0.69118214E-03, -0.94254786E-06, 135.47
    13,07/16/2018 00:04:33,11, 26.234,0, 0.998570,  -362499.16, -0.19960195E+03,  0.20529035E+01, -0.70823139E-02,  0.81956017E-05, 137.80
    14,07/16/2018 00:04:33,11, 26.500,0, 0.999160,  -381022.94, -0.11743274E+03,  0.11850354E+01, -0.40048155E-02,  0.45339070E-05, 136.17
    15,07/16/2018 00:04:33,11, 27.000,0, 0.997780,  -365182.85, -0.89628384E+02,  0.85141332E+00, -0.27462610E-02,  0.30209960E-05, 126.25
    16,07/16/2018 00:04:33,11, 27.500,0, 0.997640,  -342718.22, -0.46312602E+02,  0.45109653E+00, -0.15122384E-02,  0.17497174E-05, 113.23
    17,07/16/2018 00:04:33,11, 28.000,0, 0.998550,  -387690.38, -0.11710820E+03,  0.12131660E+01, -0.41884467E-02,  0.48193212E-05, 112.69
    18,07/16/2018 00:04:33,11, 28.500,0, 0.996380,  -378648.46, -0.11704098E+03,  0.11771544E+01, -0.39762234E-02,  0.45129605E-05,  96.42
    19,07/16/2018 00:04:33,11, 29.000,0, 0.996600,  -370650.60, -0.80617683E+02,  0.82249638E+00, -0.28337851E-02,  0.32971856E-05,  84.56
    20,07/16/2018 00:04:33,11, 29.500,0, 0.996140,  -381985.85, -0.12757593E+03,  0.12837891E+01, -0.43448930E-02,  0.49482388E-05, 103.93
    21,07/16/2018 00:04:33,11, 30.000,0, 0.998090,  -485519.98, -0.17352383E+03,  0.17292957E+01, -0.58248531E-02,  0.66381658E-05, 153.41
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    22,07/16/2018 00:09:34,31,317.014, 199.466, 0.999749, 199.850, 0.999588, 190.014, 0.999828, 161.564, 0.999917, 157.940, 0.999832, 137.273, 0.999778, 123.656, 0.999913, 120.692, 1.000000, 111.026, 0.999651, 110.133, 0.999779, 114.727, 0.999345, 134.117, 0.999701, 136.392, 0.999502, 135.234, 0.999737, 125.141, 0.999445, 112.289, 0.999914, 111.427, 0.999923,  95.479, 0.999880,  83.755, 0.999907, 103.303, 0.999765, 151.527, 0.999859
    23,07/16/2018 00:14:29,31,317.149, 199.402, 0.999488, 199.791, 0.999453, 189.845, 0.999781, 161.785, 0.999735, 157.927, 0.999840, 137.358, 0.999726, 123.672, 0.999945, 120.255, 1.000000, 111.283, 0.999771, 109.855, 0.999763, 114.322, 0.999569, 134.130, 0.999668, 136.338, 0.999787, 135.554, 0.999825, 125.095, 0.999875, 112.374, 0.999979, 111.623, 0.999944,  95.546, 0.999916,  83.792, 0.999907, 103.580, 0.999759, 151.445, 0.999791
    24,07/16/2018 00:19:23,31,317.275, 199.601, 0.999739, 199.830, 0.999626, 189.601, 0.999870, 161.549, 0.999914, 157.966, 0.999889, 137.166, 0.999871, 123.495, 0.999915, 120.457, 1.000000, 111.334, 0.999894, 110.113, 0.999941, 114.574, 0.999495, 134.617, 0.999728, 136.508, 0.999856, 135.517, 0.999883, 125.198, 0.999745, 112.350, 0.999795, 111.745, 0.999815,  95.660, 0.999854,  83.904, 0.999905, 103.481, 0.999780, 151.691, 0.999755
    25,07/16/2018 00:24:19,31,317.400, 199.472, 0.999336, 199.660, 0.999383, 189.867, 0.999857, 161.493, 0.999746, 157.925, 0.999771, 137.358, 0.999749, 123.650, 0.999809, 120.261, 1.000000, 111.191, 0.999683, 110.233, 0.999573, 114.489, 0.998944, 134.438, 0.999428, 136.457, 0.999452, 135.361, 0.999417, 125.227, 0.999531, 112.280, 0.999595, 111.678, 0.999678,  95.622, 0.999573,  83.719, 0.999470, 103.626, 0.999362, 151.668, 0.999728
    26,07/16/2018 00:29:13,31,317.525, 199.852, 0.999281, 199.943, 0.999136, 189.804, 0.999756, 161.676, 0.999779, 158.017, 0.999599, 136.945, 0.999718, 123.795, 0.999691, 120.265, 1.000000, 111.093, 0.999492, 110.187, 0.999497, 114.351, 0.999147, 134.429, 0.999363, 136.380, 0.999150, 135.438, 0.999268, 125.125, 0.999532, 112.359, 0.999736, 111.743, 0.999317,  95.626, 0.999665,  83.805, 0.999609, 103.413, 0.999277, 151.840, 0.999248
    27,07/16/2018 00:34:09,31,317.627, 200.540, 0.999267, 200.033, 0.999290, 190.100, 0.999627, 162.066, 0.999778, 158.338, 0.999515, 137.566, 0.999520, 124.145, 0.999719, 120.323, 1.000000, 111.287, 0.999389, 110.328, 0.999401, 114.591, 0.999143, 134.560, 0.999032, 136.520, 0.999035, 135.468, 0.999321, 125.275, 0.998946, 112.536, 0.999468, 111.723, 0.999596,  95.593, 0.999518,  83.963, 0.999403, 103.287, 0.999303, 151.824, 0.999455
    28,07/16/2018 00:39:03,31,317.739, 200.228, 0.999400, 200.564, 0.999350, 190.620, 0.999804, 162.045, 0.999744, 158.663, 0.999703, 138.110, 0.999649, 124.151, 0.999810, 120.765, 1.000000, 111.377, 0.999670, 110.354, 0.999567, 114.796, 0.999195, 134.427, 0.999730, 136.581, 0.999483, 135.627, 0.999545, 125.420, 0.999471, 112.350, 0.999837, 111.783, 0.999858,  95.636, 0.999837,  83.896, 0.999821, 103.546, 0.999629, 151.583, 0.999741
    29,07/16/2018 00:43:59,31,317.876, 199.485, 0.999293, 199.789, 0.999222, 189.792, 0.999774, 161.414, 0.999688, 158.075, 0.999484, 137.202, 0.999355, 123.648, 0.999722, 120.138, 1.000000, 111.305, 0.999525, 110.022, 0.999487, 114.420, 0.998807, 134.502, 0.999408, 136.285, 0.999344, 135.249, 0.999317, 125.170, 0.999573, 112.242, 0.999545, 111.759, 0.999639,  95.756, 0.999567,  83.843, 0.999811, 103.432, 0.999186, 151.388, 0.999562
    30,07/16/2018 00:48:56,31,318.000, 199.807, 0.999105, 199.979, 0.999237, 189.491, 0.999544, 161.534, 0.999708, 158.217, 0.999713, 136.913, 0.999416, 123.475, 0.999705, 120.091, 1.000000, 111.161, 0.999396, 109.826, 0.999504, 114.229, 0.998870, 134.172, 0.999364, 136.157, 0.999510, 135.290, 0.999570, 125.014, 0.999773, 112.397, 0.999860, 111.500, 0.999768,  95.521, 0.999786,  83.654, 0.999649, 103.344, 0.999559, 151.374, 0.999597
