Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/16/18 00:05:19,301,  4.176,  0.145,  7.750,
    25,07/16/18 00:05:59,301,  4.194,  0.132,  7.750,
    31,07/16/18 00:06:38,301,  4.191,  0.134,  7.750,
    37,07/16/18 00:07:17,301,  4.135,  0.142,  7.750,
    43,07/16/18 00:07:56,301,  4.175,  0.131,  7.750,
    49,07/16/18 00:10:14,301,  4.165,  0.122,  7.750,
    55,07/16/18 00:10:53,301,  4.149,  0.118,  7.750,
    61,07/16/18 00:11:32,301,  4.155,  0.109,  7.500,
    67,07/16/18 00:12:11,301,  4.144,  0.120,  7.500,
    73,07/16/18 00:12:50,301,  4.181,  0.114,  7.750,
    79,07/16/18 00:15:08,301,  4.202,  0.098,  7.750,
    85,07/16/18 00:15:47,301,  4.209,  0.101,  7.500,
    91,07/16/18 00:16:26,301,  4.172,  0.107,  7.500,
    97,07/16/18 00:17:05,301,  4.169,  0.114,  7.750,
   103,07/16/18 00:17:44,301,  4.145,  0.121,  7.500,
   109,07/16/18 00:20:01,301,  4.188,  0.118,  7.500,
   115,07/16/18 00:20:41,301,  4.226,  0.101,  7.750,
   121,07/16/18 00:21:22,301,  4.192,  0.113,  7.500,
   127,07/16/18 00:22:02,301,  4.183,  0.118,  7.750,
   133,07/16/18 00:22:40,301,  4.169,  0.116,  7.750,
   139,07/16/18 00:24:58,301,  4.195,  0.112,  7.750,
   145,07/16/18 00:25:38,301,  4.186,  0.112,  7.500,
   151,07/16/18 00:26:17,301,  4.184,  0.117,  7.750,
   157,07/16/18 00:26:56,301,  4.175,  0.122,  7.500,
   163,07/16/18 00:27:35,301,  4.166,  0.117,  7.750,
   169,07/16/18 00:29:52,301,  4.230,  0.111,  7.500,
   175,07/16/18 00:30:32,301,  4.234,  0.098,  7.500,
   181,07/16/18 00:31:11,301,  4.172,  0.123,  7.500,
   187,07/16/18 00:31:50,301,  4.229,  0.110,  7.500,
   193,07/16/18 00:32:30,301,  4.188,  0.115,  7.500,
   199,07/16/18 00:34:48,301,  4.243,  0.111,  7.500,
   205,07/16/18 00:35:27,301,  4.210,  0.106,  7.500,
   211,07/16/18 00:36:06,301,  4.203,  0.116,  7.500,
   217,07/16/18 00:36:45,301,  4.201,  0.115,  7.500,
   223,07/16/18 00:37:24,301,  4.200,  0.111,  7.500,
   229,07/16/18 00:39:43,301,  4.200,  0.108,  7.500,
   235,07/16/18 00:40:22,301,  4.181,  0.116,  7.500,
   241,07/16/18 00:41:02,301,  4.161,  0.120,  7.500,
   247,07/16/18 00:41:41,301,  4.220,  0.106,  7.750,
   253,07/16/18 00:42:20,301,  4.209,  0.105,  7.500,
